PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,"Beschreibung zu dem von Franz Julius Manceaux, Waffenfabrikant in Paris, ... angesuchten Priv.",,,,,
4961,Manceaux,Franz Julius,,,,,auf die ... Erfindung und Verbesserung der Verfertigung eines Kapselaufsetzers für,Gewehrschloß,Wien,,1847,11.12.1847
"",,,,,,,"Percussionsgewehre, ...",,,,,
4962,Pfister,Daniel,,,,,Beschreibung der verbesserten Steinschneidmaschine,Steinsäge,Innsbruck,,1843,12.12.1843
"",,,,,,,Theorie und Beschreibung der ... Erfindung der Absonderung und Concentration der Schliche oder,,,,,
4963,Makay,August v.,,,,,,"Schlich, Sand, Sortieren",Cranicza,,1838,23.01.1838
"",,,,,,,jedes verkleinerten Körpers nach der Größe des Korns ... im trockenen Weg zu bewirken,,,,,
"",,,,,,,Beschreibung der Modellen über die ... neu gemachte Verbesserung auf ganz leichte und einfache,,,,,
4964,Moro,Johann,,,,,"Art Rundförmige, wie auch gewöhnliche ordinäre Mauerziegel mit Falz, so wie Ziegel mit Falz-Nute","Rauchfangziegel, Ziegel, Steinverband",Hermagor,,1846,05.03.1846
"",,,,,,,"und Feder zu erzeugen, welche einen unzertrennbaren Rund-, Quer- und Längenverband bilden",,,,,
"",Escher -,,,,Escher -,,"Unsere Entdeckung besteht, daß statt des Leders bei der Kardätschen oder Kratzenbelegen",,,,,
4965,,Gustav Albert v.,Lawson,Samuel,,Kaspar v.,,"Kardenbelag, Gummi",Wien,,1839,27.04.1839
"",Felsenhof,,,,Felsenhof,,Gummi elasticum gebraucht wird,,,,,
4966,Herzig,Joseph,& Söhne,,,,"Die Theile und Vorrichtungen der vervollkommten Vorspinnkrämpel, ...","Vorbereitungsmaschine, Krempeln",Reichenberg,,1843,30.10.1843
4967,Czerweny,Wenzel,,,,,Beschreibung der ... neu erfundenen Tonwechsel - Maschine,"Blasinstrument, Piston",Königgrätz,,1846,18.03.1846
"",,,,,,,"Beschreibung des Verfahrens, um auf ... Maschinen geripptes Papier zu erzeugen, sowohl mit als",,,,,
4968,Haase,Gottlieb,& Söhne,,,,,"Papier, Geripptes",Prag,,1844,22.03.1844
"",,,,,,,"auch ohne Wasserzeichen, ...",,,,,
4969,Konwalinka,Joseph,,,,,"Beschreibung der ... neuen Verbeßerungen an Uhren, ...","Uhr, Wecker",Kapfenberg,,1847,13.06.1847
4970,Schmied,Ferdinand,,,,,Umständliche Beschreibung des ... verbesserten Brandweinbrenn-Apparats ...,"Branntwein, Destillierapparat",Wien,,1844,13.03.1844
4971,Luley,Ferdinand,,,,,Beschreibung und Gebrauch der Farbenreibmaschine ...,Farbmühle,Graz,,1839,27.04.1839
4972,Haidinger,Gebrueder,,,,,"Beschreibung und Zeichnung ... auf die Erzeugung von Ruß von Holz, Steinkohlen etc.","Druckerschwärze, Rußofen",Elbogen,,1842,07.12.1842
