PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatu
313,Klosse,Joseph,Reger,Philipp,,,Recept reine Tafel und Kanzleylichter von Wachs und etwas reinem Unschlitt zu erzeugen,"Kerze, Wachs, Unschlitt",Wien,,1824,23.11.1824
314,Karrer,Georg,,,,,Erklaerung des neu erfundenen Destillir und Extractions Apparates,"Destillierapparat, Branntwein",Wien,,1827,10.01.1827
"",,,,,,,Stoffe oder genaue Beschreibung der ganz neu erfundenen des Regens und Staubes befreyten,,,,,
315,Walz,Mathias,,,,,,Hut,Prag,,1823,30.05.1823
"",,,,,,,Papierhütte,,,,,
316,Heller,Vinzenz jun.,Heller,Vinzent sen.,,,Beschreibung der neu erfundenen Kammzähne-einsäge Maschiene,Kamm,Wien,,1825,22.10.1825
317,Trentsensky,Joseph,,,,,Beschreibung der Zink /:Spianter:/ Platte zum Druck,"Lithographie, Zinkplatte",Wien,,1822,02.01.1822
"",,,,,,,Beschreibung der ... gemachten neuen Erfindung einer ganz neuen an Schönheit die türkischen,,,,,
318,Bluemel,Johann,,,,,,"Schal, Dessin",Wien,,1823,16.09.1823
"",,,,,,,"ächten Schwals weit übertreffende Art von Schwals zu verfertigen, ...",,,,,
"",,,,,,,"Beschreibung der ... Erfindung, welche ... darin besteht: Schwal-Guilland oder Bortour-Tücher mit",,,,,
319,Bluemel,Johann,,,,,,"Schal, Tuch,Dessin",Wien,,1823,17.12.1823
"",,,,,,,"Eckblumen zu machen, nebst einen Rundo in der Mitte",,,,,
"",,,,,,,"Beschreibung der ... Verbesserung einer Maschine, durch welche mit Anwendung der Pferdekraft",,,,,
"",,,,,,,die Drehbank und das Ovalwerk leichter getrieben und somit die verschiedenen Arbeiten aus,,,,,
320,Schmidt,Karl,Schuller,Franz,,,,Getriebe,Wien,,1828,27.11.1828
"",,,,,,,"Silber, Bronce und aus allen anderen Metallen richtiger, reiner, geschwinder und preiswürdiger",,,,,
"",,,,,,,"erzeugt und gepreßt werden, ...",,,,,
"",,,,,,,"Beschreibung der ... Verbesserung, welche ... darin besteht, damß mittelst einer einfachen",,,,,
321,Wahlmueller,Ignaz,,,,,"Vorrichtung und mit Ersparung an Brennmaterial und Zeit alle Gattungen Wein, Branntwein und","Wein, Branntwein, Essig",Wien,,1826,
"",,,,,,,"Malzessig in klarem Zustande erzeugt werden, ...",,,,,
322,Pux,Anton,,,,,"Verbesserung der Lehmannischen Tuch Appretur, ...",Appretur,Wien,,1824,11.08.1824
"",,,,,,,Beschreibung der Würste. Beschreibung von der Zubereitung und Räucherungs-Methode der,,,,,
323,Franquet,Friedrich,,,,,"Westphälischen Schünken, Hamburger geräucherten Rindfleisch und Braunschweiger gepöckelten","Wurst, Pökeln, Selchen, Fleisch",Graz,,1825,12.04.1825
"",,,,,,,und geräucherten Schweinefleisches,,,,,
"",,,,,,,"Beschreibung der ... Erfindung, welche ... darin besteht: auf 1 Pfund Wienergewicht Oconomie",,,,,
324,Dietrich,Joseph,,,,,,Kaffee,Wien,,1823,07.01.1823
"",,,,,,,"Caffee nicht mehr als 12 16/32 Loth Wienergewicht Zukker-Raffinae zu bedürfen, ...",,,,,
325,Blumenthal,Mayer,Hirschler,Samuele,,,"Descrizione del miglioramento che consiste, nella confezione di tre sorta di Candele...",Kerze,Venezia,,1825,04.11.1825
"",,,,,,,"Zeigen an, eine Verbesserung gemacht zu haben, welche darin besteht: Daß wir im Stande sind,",,,,,
326,Illeck,Johann,Sterk,Anton,,,,"Backofen, Feuerung",Wien,,1826,02.12.1826
"",,,,,,,mit einer einzigen Feuerung zwey Backoffen auf alles Gebäck zu heitzen,,,,,
"",Romer - Kiss -,,,,,,Erzeugung der chlorsauren Verbindungen mit Alkalien ... dann in der zweckmäßigen Benutzung,,,,,
327,,Stephan Edl.v.,,,,,,Chlorverbindungen,Wien,,1821,23.11.1821
"",Enyitzke,,,,,,der bis jetzt weggeworfenen Rückstände ...,,,,,
328,Hubineck,Mathias,,,,,Beschreibung einer neu verbesserten Tabakschneidmaschine,"Tabak,Schneidemaschine",Wien,,1827,29.10.1827
"",,,,,,,"Beschreibung der ... Erfindung, welche ... darin besteht: auf eine ganz andere und raffinirte Art 1)",,,,,
329,Flach,Christian,,,,,"Alle Gattungen Torten, Kuchen, Zuckerbutter-Bäckerey ... 2) Lijoner Brustzucker und Brustzelteln","Gebäck, Punsch, Kandiszucker",Wien,,1826,27.11.1826
"",,,,,,,... 3) Porto-Punsch-Essenz und Porto-Punsch ohne Citronen-Säure zu verfertigen,,,,,
"",,,,,,,"Manifesto d'una applicazione metallica la quale preserva il ferro, l'acciajo, ed altri metalli",,,,,
330,Branca,Paolo,,,,,,"Rostschutz, Korrosionsschutz",Genova,,1824,30.04.1824
"",,,,,,,"dall'ossidazione, dando ad essi il color bianco simile a quello della platina",,,,,
"",,,,,,,Spiegazione dell'unito Modello macchina inventata da Gensuol in Francia ... per filare i bozzoli a,"Gensoul'sche Seidenhaspel,",,,,
331,Lambertenghi,Luigi Porro Cte,Robaglia,Antonio,,,,,Milano,,1816,13.08.1816
"",,,,,,,vapore ...,Seidenkokon,,,,
"",,,,,,,"Beschreibung der ... Erfindung, welche ... darin besteht, das rohe Fischbein so fein zu verarbeiten,",,,,,
332,Schultz,Johann Heinrich,,,,,"und Stoffe daraus zu verfertigen, welche dem Seidenzeug gleich sehen ... als Frauenzimmer",Fischbein,Prag,,1827,11.01.1827
"",,,,,,,"Leibbinden, Halsbinden, Damenhütte, Westen, Taschenbeutel, Bänder etc. ...",,,,,
"",,,,,,,Verzeichnis uiber die Manipulations-Art wie die Meerschaum Pfeiffen mit verschiedenen Farben,"Tabakspfeife, Meerschaum,",,,,
333,Pruekner,Ignaz,,,,,,,Wien,,1823,13.11.1823
"",,,,,,,Eingelassen werden,Färben/Meerschaum,,,,
334,Quinquetor,Antonio Cesare,,,,,"Descrizione della scoperta, ... che consiste in sostanza, nella fabbricazione dei veli Crespi ...",Kreppmaschine,Milano,,1822,19.03.1822
335,Turconi,Gaetano,,,,,Descrizione dell'invenzione che ... consiste nel comporre con tre foli proli di cuojo ..,Sandalen,Milano,,1824,26.07.1824
"",,,,,,,,,Verona -,,,
336,Rotari,Giuseppe,,,,,Geanaforo economico per trasportar terra per aria a qualunque altezza ...,"Aufzug, Seilbahn, Hängebahn",,,1822,
"",,,,,,,,,Ramanzini,,,
"",,,,,,,"Beschreibung der neuen Erfindung, oder eigentlich Verbesserung der bisherigen zur",,,,,
337,Prochaska,Franz,,,,,,Krempeln,Iglau,,1825,20.10.1825
"",,,,,,,Wollspinnerey gehörigen Locken- und Pelzmaschine,,,,,
"",,,,,,,Beschreibung der ... Erfindung nehmlich: die Erzeugung mehrerer Gattungen Fußsocken und,,,,,
338,Mack,Alois,,,,,"Strümpfe [aus Leder] ..., dann eine Verbesserung in Reinigung nicht nur dieser ..., sondern auch","Socken, Strumpf, Handschuh",Wien,,1827,23.11.1827
"",,,,,,,vorzüglich der so sehr so allgemein beliebten Glanzhandschuhe gemacht zu haben ...,,,,,
"",,,,,,,"Beschreibung ... der ... Erfindung, welche ... darin besteht: 1. Einen kristallisirten Zucker zu",,,,,
"",,,,,,,verfertigen ... und dem Zuckerwasser ... jeden beliebigen Geschmack ... beyzugeben. 2. Durch den,,,,,
"",Gestaettenbau,,,,,,,,,,,
339,,Johann,,,,,Gebrauch des kristallisirten Zuckers des sogenannten Zuckerwassers um zwey Drittheile,"Zucker, Getränk",Wien,,1827,16.11.1827
"",er,,,,,,,,,,,
"",,,,,,,wohlfeiler zu liefern ...3. Sich mit diesem kristallisirten Zucker auf Reisen ... ein erfrischendes ...,,,,,
"",,,,,,,Getränk bereiten zu können,,,,,
