PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,"Beschreibung der Erfindung, welche darin besteht, in einer kunstreichen geschickten, jedoch sehr",,,,
3931,Kuhlmann,Gustav,,,,,"einfachen und mit wenig Zeitverluste verbundenen Aneinanderreichung einzelner Spitzen Stücke Spitzenmuster, Klöppeln",,Wiesenthal,1831,27.06.1831
"",,,,,,,"und dadurch gleichsam erscheinet, als wäre dieses im Ganzen gearbeitet",,,,
"",,,,,,,"Beschreibung der ... Erfindung und Verbesserung ... verschiedener ... Galanterie- und Massa Galanterie, Goldwaren, Silberwaren,",,,,
3932,Adler,Franz Matthaeus,,,,,"Waaren, erzeugt aus Gold, Goldplattirt, Silber, Pakfong oder Stahl ... mit Bein und Schildkrott Neusilberwaren, Stahlwaren,",,Wien,1838,14.11.1838
"",,,,,,,"auszupressen Hornbearbeitung, Pressen",,,,
"",,,,,,,"Beschreibung des von mir fabrizirten Asphalt-Mastic, welcher zu allen nur möglichen",,,,
"",,,,,,,"Aspahlt, Straßenpflasterung,",,,,
3933,Heymann,A.H.,,,,,"Fußbodenbelegungen und Dachdeckungen, sowohl in einfacher als Mosaik-Arbeit, eben so als",,Wien,1839,11.09.1839
"",,,,,,,"Fußboden, Dach, Mauer/Isolierung",,,,
"",,,,,,,"Cement bei Bauten, usw. angewendet wird",,,,
"",,David Christian,,,,,,,,,
3934,Jaegermann,,,,,,"Beschreibung des Privilegiums einer Schnellmalerei auf allen nur erdenklichen Gegenständen Pauspapier, Schnellmalerei, Kolorieren",,Pilsen,1840,18.08.1840
"",,Martin,,,,,,,,,
"",,,,,,,"Eine neu erfundene Methode, die thierische Kohle wieder zu erneuern und zu restaurieren,",,,,
"",,,,,,,"Knochenkohle/Gebrauchte,",,,,
"",,,,,,,"nachdem diese zu gewißen Manufakturprozeßen, zu welchen man gewöhnlich die thierische",,,,
