PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,"Beschreibung der erfundenen, und beziehungsweise verbesserten Elfenbeinstaubkamm",,,,,
2415,Schaerly,Jakob,Treuer,Alexander,,,,"Kamm, Drechselbank, Kreissäge",Wien,,1837,02.12.1837
"",,,,,,,Maschinen,,,,,
"",,,,,,,"Beschreibung der ... Erfindung, ..., in Verbesserungen an Reisewägen für solche Reisende besteht,",,,,,
2416,Swary,Peter,,,,,die sich dem Einflusse des Straßenstaubes und der kalten Luft und zugleich auch dem Einathmen,"Wagen, Lüftung, Gebläse",Wien,,1838,05.03.1838
"",,,,,,,der in geschlossenen Kutschen bald verunreinigten Luft einziehen wollen oder müßen,,,,,
"",,,,,,,"Beschreibung der ... Erfindung, ..., daß an die Stelle der sonst üblichen aus behaarten Thierfellen",,,,,
"",,,,,,,,"Schneiderei, Zuschneiden, Wattieren,",,,,
2417,Swary,Peter,,,,,"verfertigten Pelzen eine Winterbekleidung construirt, die keine Thierfelle, sondern ein",,Wien,,1838,05.03.1838
"",,,,,,,,Winterrock,,,,
"",,,,,,,"warmhaltendes Material anderer Art enthalten, ...",,,,,
"",,,,,,,"... Neue Methode, Wasser, Wein und alle Gattungen erfrischender Getränke, ohne chemischen","Kohlensäureapparat, Sodawasser,",,,,
2418,Mathis,Ferdinand,,,,,"Zusatz, mittelst neuer Maschinen fabriksmäßig moussiren zu machen, so wie auch einer neuen","Abfüllapparat/Sodawasser,",Wien,,1838,16.10.1838
"",,,,,,,Maschine derselben in Flaschen zu füllen und zu pfropfen,Flaschenkorkmaschine,,,,
"",,,,,,,"Erfindung einer neuen Aufzugs-Maschine, ..., daß alle Körner, Sämereyen oder sonstige ... durch",,,,,
"",,,,,,,"Vermahlen oder Stampfen verkleinerte Materialien von einem Orte an einen andren, ... entweder",,,,,
2419,Grimm,Anton,,,,,,"Elevator, Förderband, Mühle",Fischamend,,1830,17.05.1830
"",,,,,,,"senkrecht, schief oder horizontal in dem möglichst kürzesten Zeitraume ... hingeleitet werden",,,,,
"",,,,,,,können,,,,,
"",,,,,,,"... zeigen ... an, in Verfertigung der Männertouren mit Federn eine neue Verbesserung erfunden zu",,,,,
2420,Wessely,Anton,Wessely,Thomas Anton,,,,"Perücke, Stickmaschine",Wien,,1837,02.08.1837
"",,,,,,,"haben, ...",,,,,
"",,,,,,,"Beschreibung der ... an der Entdeckung und Erfindung in der Erzeugung des Schreib-Druck,",,,,,
2421,Osterried,Ludwig,,,,,,Papier,Wien,,1838,05.04.1838
"",,,,,,,"Lythographischen und anderen Papiers, ..., eine wesentliche Verbesserung gemacht zu haben, ...",,,,,
2422,Rumpel,Johann,,,,,Beschreibung der neuen Erfindung rücksichtlich der Fabrication der Filzhüte ohne Leimung ...,"Hut, Filz/Ungeleimter",Wien,,1835,13.12.1835
"",,,,,,,"Beschreibung der ... Entdeckung, ..., daß er Kerzen sowohl von Unschlitt als Wachs mit festen",,,,,
2423,Hannl,Eduard,,,,,,"Unschlitt, Wachs, Kerze, Docht",Wien,,1824,28.06.1824
"",,,,,,,"Dochten erzeuge, die er Argantische Kerzen nenne, ...",,,,,
"",,,,,,,"Gesuch um ein Privilegium zur Einführung und Vervollkommnung einer Maschine, geeignet die",,,,,
"",,,,,,,,"Seidenkokon, Seidenhaspel,",,,,
2424,Davy,Henry Savill,,,,,"Seide aus den Cocons zu ziehen, sie zu winden, zu drehen und sie auf die Spulen zu bringen, durch",,Wien,,1824,28.06.1824
"",,,,,,,,"Spinnmaschine, Spulmaschine",,,,
"",,,,,,,eine einzige und nämliche Operazion,,,,,
"",,,,,,,"Beschreibung der ... Erfindung, ...: Aus der bey den Blaufarbfabriken abfallenden Kobaltspeise oder",,,,,
2425,Gersdorff,Johann Rudolph v.,,,,,"in Ermangelung derselben aus Nikel- und Kobalterzen, Nickelmetall darzustellen, und durch","Kobaltspeise, Nickel",Wien,,1824,02.07.1824
"",,,,,,,"Legierung mit diesem, weisse, dehnbare Metallkomposizionen zu Stande zu bringen",,,,,
2426,Kuhn,August,,,,,Beschreibung einer neu erfundenen transportablen Dunstgas Beleuchtungs Lampe,"Lampe, Vergaser",Wien,,1837,07.07.1837
"",,,,,,,Beschreibung der ... Erfindung ... in der Verfertigung einer neuen Art von Hydrostatischen oder,,,,,
2427,Swary,Peter,,,,,"astatischen Lampen ..., bei welcher das Oel dem Dochte von Anfang bis zum Ende immer gleich",Lampe/Hydrostatische,Wien,,1838,05.03.1838
"",,,,,,,zutritt,,,,,
2428,Wurm,Karl,,,,,"Beschreibung der ... Erfindung, welche in der construction von equilibrir Zeigeruhren besteht, ...",Uhrzeiger,Wien,,1836,20.10.1836
2429,Vaerini,Giuseppe,,,,,Nuove fare Locomotrici delle Barche ... [Schiffsantrieb],"Schiffsantrieb, Getriebe",Venezia,,1837,21.10.1837
"",,,,,,,"1.) Verbesserung d. Cylinder an den Lampen und Lampenlustern, ... 2.) Diese Cylinder den Vortheil",,,,,
2430,Jung,Joseph,,,,,,Lampenzylinder,Wien,,1838,30.08.1838
"",,,,,,,"... haben, das man solche auf Luster oder Tafellampen mit Glaskugeln verwenden kann, ...",,,,,
"",,,,,,,Beschreibung der ... Verbesserung ...: Die obere Platte der Filzhüte vermittelst einer neuen,,,,,
2431,Uetz,Leopold,,,,,,Hut,Wien,,1837,15.09.1837
"",,,,,,,"leichteren Unterlage so zu verfertigen, daß solche nicht nur eine schönere Form erhalten, ...",,,,,
"",,,,,,,"Beschreibung und Zeichnung der ... Erfindung, ...: durch Anwendung der kreisförmigen",,,,,
"",,,,,,,,"Seidenband, Bandstuhl, Broschierlade,",,,,
2432,Reisenhofer,Johann Evangelist,,,,,"Broschierschützen auf Seiden-Band-Mühlstühlen, mit Säge oder Spindelladen alle Arten",,Wien,,1839,26.10.1839
"",,,,,,,,"Schützenregulator, Quatrillieren",,,,
"",,,,,,,"quardrillirter, und broschirten Seidenbändern zu erzeigen",,,,,
"",,,,,,,Bestandtheile der neuerfundenen zusammengesetzten aromatischen Rasier oder Toiletten-,,,,,
2433,Mittrenga,Alois,,,,,,"Rasierwasser, Parfüm",Wien,,1834,11.08.1834
"",,,,,,,Essenze,,,,,
2434,Brunner,Franz,,,,,Beschreibung und Verbesserung der Thon Pfeiffenköpfe,"Tabakspfeife, Tonwaren",Wien,,1838,28.07.1838
2435,Girardet,Charles,,,,,"Beschreibung der ... Erfindung ...: eine neue Art Maschin Männer Ueberschuhe zu verfertigen, ...",Galosche,Wien,,1839,05.04.1839
"",,,,,,,"Beschreibung des Verfahrens aus der Conferva rivularis, bullosa und reticularis, Wasserfaden,",,,,,
"",,,,,,,"Wasserwolle, Grasleder, alle Gattungen Papier, geleimt, oder ungeleimt, von Pak, Druk, Schreib,",,,,,
2436,Langer,Joseph,,,,,,"Wasserfaden, Papier",Wien,,1837,23.05.1837
"",,,,,,,"und weißen Post und Velin, gefärbt oder weiß, mit und ohne Beymischung von Leinden Hadern zu",,,,,
"",,,,,,,erzeugen,,,,,
"",,,,,,,"Beschreibung des ... Privilegiums auf die Erfindung einer hellen Extract aus Knoppern zu bereiten,",,,,,
"",,,,,,,,"Knopper, Extrakt, Färbemittel,",,,,
2437,Weikersheim,Markus Heinrich,,,,,"welcher die Gallöpfel und den Sumach in der Seiden- Baumwollen-Türkisch-rothfärberey ersetzt,",,Wien,,1838,20.03.1838
"",,,,,,,,Gerbsäure,,,,
"",,,,,,,"als auch in der Gerberey besonders zur Sämisch Leder Erzeugung anwendbar ist, ...",,,,,
