PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,Ort,Jahr,Einreichdatu
"",,,,,,,"Descrizione dell'invenzione che ... consiste, nel vagliare dalla pelle stivalletti ossia coturni di un Sol",,,,
830,Vescovi,Stefano,,,,,,"Stiefel, Zuschneiden/Schuhmacher",Venezia,1826,18.12.1826
"",,,,,,,"pezzo, di ordinaria grandezza ... [Stiefelerzeugung]",,,,
"",,,,,,,,"Feuchtigkeitsschutz, Mauer/Isolierung,",,,
831,Girzik,Peter Anton,,,,,Verfahrungs-Art wie die neu entdeckte Kitt Composition verfertiget wird,,Wien,1827,30.10.1827
"",,,,,,,,Trockenlegung,,,
"",,,,,,,"Beschreibung der ... Erfindung, welche ... darin besteht, mittelst einer Maschine den Schnee zu",,,,
"",,,,,,,,"Schneeschmelzmaschine,",,,
832,Selka,Vinzenz Jakob,,,,,"schmelzen, und das geschmolzene Schneewasser durch Leitungsrohre in die Kanäle dergestalt zu",,Wien,1827,21.08.1827
"",,,,,,,,Strassenreinigung,,,
"",,,,,,,"schaffen, daß die Wegschaffung des Schnees viel schneller, ... sey, ...",,,,
"",,,,,,,"Beschreibund der ... Erfindung, ... 1.Alle möglichen Gattungen Gußwaren etc.- 2.alle Gattungen",,,,
"",,,,,,,"Draht, ... sowie auch alle Gattungen .. Bleche ... und 3.alle möglichen Gattungen mit dem Hammer",,,,
833,Arlt,Friedrich,,,,,,"Nickelwaren, Metallwaren",Wien,1824,17.08.1824
"",,,,,,,"getriebener, auf der Drehbank von außen aufgezogen oder von innen heraus gedrückte und",,,,
"",,,,,,,"gestampfte oder gepreßte Arbeiten, so wie auch alle Gattungen Köpfe daraus zu verfertigen",,,,
"",,,,,,,"Beschreibung der ... Erfindung und Verbesserung, ..., daß Taschenuhren verfertigt werden, welche",,,,
"",,,,,,,"ohne Uhrschlüssel aufgezogen auch die Zeiger gerichtet werden können, ohne daß man genöthigt",,,,
834,Detz,Ignaz,,,,,,Uhr,Langenlois,1828,19.03.1828
"",,,,,,,"ist, das Gehäuse ... zu öffnen, Viertl und Stund von selbst schlagen, ... wie aus zwey Werken",,,,
"",,,,,,,bestehen und sowohl mit einer als auch mit zwey Federn ...,,,,
"",,,,,,,"Beschreibung einer neuen Erfindung, durch die Brüder von Girard, ""aus Talg, Unschlitt und",,,,
835,Girard,Henri Joseph de,Girard,Philippe de,,,"anderer Fettigkeit eine wachsartige Materie, und aus dieser kerzen zu machen, welche so schön","Kerze, Unschlitt",Hirtenberg,1827,04.04.1827
"",,,,,,,"und gut als die vom reinen Wachse, brennen, und viel wohlfeiler zu stehen kommen",,,,
836,Hagemann,Bernhard,Weilamann,David,,,Zeichnung und Beschreibung der Erfindung eiserne Räder statt hölzerne anwendbar zu machen,Wagenrad,Wien,1829,14.12.1829
"",,,,,,,"Beschreibung der Erfindung, daß mit einer Waage mittelst besonderer Vorrichtung, wodurch alles,",,,,
"",,,,,,,"was immer namenhabende Gegenstände von verschiedener Größe und Schwere, als Waaren,",,,,
837,Ellenberger,K.,Tschapeck,J.,,,"beladene Wägen, Vieh etc. mit besonderer Leichtigkeit, Bequemlichkeit und Genauigkeit,",Dezimalwaage,Wien,1827,07.07.1827
"",,,,,,,"abgewogen werden kann. Diese Maschine kann überall hingestellt, und sehr leicht transportirt",,,,
"",,,,,,,werden,,,,
838,Fleischer,Valentin,,,,,Beschreibung der Fallschutzhaube für Kinder,"Kopfschutz, Schutzhaube",Wien,1829,11.05.1829
839,Bucher,Maximilian,,,,,Diese Kaffeh und Thee Dampfkochmaschine bestehet aus folgenden Bestandtheilen: ...,"Kaffeemaschine, Teemaschine",Wien,1825,02.12.1825
"",,,,,,,"Beschreibung der ... Verbesserung, welche ... darin besteht, die Druckfedern bei Wägen mittelst","Wagen, Wagenachse,",,,
840,Hagemann,Bernhard,,,,,,,Wien,1830,03.12.1830
"",,,,,,,"einer sehr einfachen Vorrichtung mit den Achsen des Wagens beweglich  zu machen, ...",Federung/Wagen,,,
"",,,,,,,"Beschreibung ... welche darin besteht, daß: 1. Hiedruch bei Fabrizirung der Schwals zu einen",,,,
841,Esche,Johann David,,,,,"Vierhunderter vierfärbigen Dessin die bisherige Quantität Karten bei den Lioner, (Dschakor-","Schal, Dessin, Jacquardmaschine",Wien,1830,02.08.1830
"",,,,,,,"Maschinen:) um die Hälfte vermindert werden können, ...",,,,
"",,,,,,,"Beschreibung Zweyer Zeichnungen, der unterm 4.May 1825 privilegierten Kaffee Koch und",,,,
842,Sperl,Joseph,Scheffer,Joseph,,,,Kaffeemaschine,Wien,1828,12.05.1828
"",,,,,,,"Aufgußmaschine, und der nun angebrachten Oberserwärmungspfanne",,,,
"",,,,,,,"Beschreibung der Verbesserung, welche darin besteht: 1. daß sie die Zubereitung der Papier so",,,,
"",,,,,,,"vervollkommnet haben, daß sie gegenwärtig jede Art Verzierungen, selbst ganz erhabener",,,,
843,Rahn,Heinrich,Spoerlin,Michael,,,,"Papierborte, Papiermachè",Wien,1826,21.09.1826
"",,,,,,,"Gegenstände, daraus prägen können; 2. daß die daraus geprägten Verzierungen auf eine viel",,,,
