PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,,Schlagworte,,Ort,Jahr,Einreichdatum
4698,Loeffler,Alois,,,,,"Beschreibung ... der ... Erfindung ..., daß diese Uhren sehr bedeutend einfacher construirt sind, ...",Uhr,,Wien,,1842,09.08.1842
"",,,,,,,"Beschreibung zweyer Maschinen, mittelst welchen, der aus schwarzen Hadern gewonnene",,,,,,
4699,Bischof,Joseph,,,,,,"Halbzeug, Papier",,Laibach,,1843,08.07.1843
"",,,,,,,Halbzeug jenem aus weißen Hadern erzeugt ähnlich geliefert wird,,,,,,
4700,Czech,Markus,Pollak,Anna,,,"Beschreibung einer gemachten neuen Verbesserung in der Erzeugung des Essigs, ...",Essig,,Wien,,1845,10.04.1845
4701,Dietz,Johann,,,,,Beschreibung eines neu entdeckten Verfahrens zur Erzeugung von Knoppern-Extrakt ...,"Knopper, Extrakt",,Wien,,1845,09.07.1845
"",,,,,,,Genaue Beschreibung der ... neu erfundenen Hebel-Preß-Maschine zur Erzeugung von Metall-,,,,,,
4702,Neufeld,Gustav Adolph,,,,,,"Löffel, Gabel, Hebelpresse",,Wien,,1845,20.05.1845
"",,,,,,,"Löffeln und Gabeln, sammt der Zeichnung",,,,,,
4703,Siegl,Joseph,,,,,Beschreibung der ... Erfindung ... einer neuen Frictions Zündmassa ...,Reibzündmasse,,Wien,,1845,04.06.1845
4704,Hawerl,Stephan,Proscke,August,,,Beschreibung der Erzeugung des sogenannten Klauen-Oehles,"Ochsenklaue, Klauenöl",,Wien,,1845,27.05.1845
"",,,,,,,"Beschreibung der ... Erfindung und Verbesserung, ..., den inländischen Grauschiffer zu",,,,,,
4705,Altlechner,Laurenz,,,,,,Grauwackenschiefer,,Wien,,1845,12.07.1845
"",,,,,,,manigfaltigen Kunst- und Luxusgegenständen zu verwenden,,,,,,
"",,,,,,,Beschreibung der neuerfundenen Commercialwaaren-Bezeichnung und der hiermit verbundenen,"Stoff, Signieren, Plombieren,",,,,,
4706,Gohde,Friedrich,Hollub,Eduard,,,,,,Wien,,1845,27.06.1845
"",,,,,,,Controllmaschine,Registrierapparat,,,,,
"",,,,,,,"Beschreibung der ... neuen Erfindung, ..., daß sie Regenschirme verfertigen, welche man zu sich in",,,,,,
4707,Rossini,Gebrueder,,,,,,Knirps,,Graz,,1846,03.07.1846
"",,,,,,,"die Tasche stecken, und auf jeden Spazierstock ... anbringen kann ...",,,,,,
"",,,,,,,Descrizione del perfezionamento ... al metodo già cognito da brillare il riso col mezzo di un,,,,,,
4708,Guioni,Giuseppe,,,,,,Reismühle,,Milano,,1846,10.06.1846
"",,,,,,,tavolanio di Sughero ... [Reismühle],,,,,,
4709,Cantor,Adolph,,,,,Beschreibung der ... Erfindung und Verbesserung in der Färberey und Druckerey ...,"Adrianopelrot, Zeugdruck, Färben",,Wien,,1846,27.05.1846
4710,Bellon,Alexander,,,,,"die von mir gemachte Erfindung, eine ausgezeichnete gut Lederwichse zu erzeugen, ...",Wichse,,Wien,,1847,17.04.1847
"",,,,,,,Descrizione del nuovo Ingrasso salino applicabile alla concimatura e bonificamento di qualunque,,,,,,
