PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatu
"",,,,,,,"Beschreibung der ... Erfindung, welche ... darin besteht, daß: Da die Zeichnung der Baurisse und",,,,,
"",,,,,,,Flächen Anlagen durch das gewöhnliche Verfahren bey Erfindung Messung und Eintheilung von,"Millimeterpapier, Zeichnen,",,,,
219,Bernard,Franz Aloys,,,,,,,Wien,,1822,24.12.1822
"",,,,,,,"Gebäuden mit großer Mühe ... verbunden ist es gelungen, ... nach den Maßen quadrierter",Technisches,,,,
"",,,,,,,"Bauristafeln einen wichtigen Dienst zu leisten, ...",,,,,
"",,,,,,,"... Verbesserung, welche darin besteht, daß sie 1. alleTücher so zu richten wissen, daß sie niemals",,,,,
"",,,,,,,"die Farbe verlieren können. 2. sie auch alle Tücher, welche mit einem Glanz behaftet, so in",,,,,
"",,,,,,,,"Appretur, Dekatiermaschine,",,,,
220,Dischon,Jakob,Haury,Franz Karl,,,"Ordnung zu bringen, daß dem Tuch weder ein Wasser, noch sonst etwas Nasses mehr schaden",,Wien,,1825,26.09.1825
"",,,,,,,,Zeugdruck,,,,
"",,,,,,,"kann. 3. Ist ihre neu erfundene Decatier Kunst Maschine eingerichtet, daß zwey Personen täglich",,,,,
"",,,,,,,150 Ellen verfertigen können,,,,,
"",,,,,,,"Beschreibung des ... erfundenen und verbesserten Gährungsmittels, wodurch mit Beseitigung der",,,,,
221,Passold,Johann Christian,Thaler,Franz,,,"Germ oder Hefe das Luxusgebäck, und das Zwiback viel geschmackvoller, der Gesundheit weit","Gärungsmittel, Gebäck, Bäckerei",Wien,,1825,29.11.1825
"",,,,,,,"zuträglicher, und auch wohlfeiler erzeugt werden kann",,,,,
"",,,,,,,Descrizione de mezzi d'invenzione della nova Stadera ... d'Induno avente la proprieta di una,,,,,
222,Bernosconi,Pasquale,,,,,,Waage,Milano,,1804,03.08.1804
"",,,,,,,Costante inalterabile preccisione del peso.,,,,,
223,Andreoli,Faustino,Andreoli,G.,,,Esatta descrizione di tutti i mezzi che la ditta ... perfezionare la Carta Vellina,"Papier, Velinpapier",,,1806,
