PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatu
"",,,,,,,Beschreibung der Verfertigung von Fischbeinhüten aller Art sowohl für Männer als Damen,,,,,
474,Geilinger,Hans,Wallisser,Joseph Ignaz,,,,"Hut, Tschako, Helm, Kappe",Wien,,1822,03.09.1822
"",,,,,,,"Tsacots, Helme und Kappen",,,,,
"",,,,,,,"Beschreibung der neuen Erfindung ..., welche ... darin besteht, daß er aus Fischbein und Roßhaar,",,,,,
"",,,,,,,"aus Fischbein allein, aus spanischen Rohr, Weiden, oder aus beiden letzteren zusammen, wie",,,,,
"",,,,,,,,"Hut, Kappe, Feldflasche, Handtasche,",,,,
475,Gutseel,Lorenz,,,,,"immer geformte und beliebig gefärbte, Frauen- und Männer-Hüte, Kappeln, dann Feldflaschen",,Wien,,1822,06.07.1822
"",,,,,,,,Galanterie,,,,
"",,,,,,,"Reticule und andere ähnliche Gallanterie-Arbeiten aus Fischbein, und Fischbein und Roßhaar",,,,,
"",,,,,,,zusammen flechte,,,,,
"",,,,,,,"Ausführliche Beschreibung der ... erfundenen neuen Methode zur Erzeugung von Spitzen-Shawls,",,,,,
476,Schaller,Lorenz,,,,,,"Schal, Spitzen",Wien,,1822,22.08.1822
"",,,,,,,"Spitzenkleidern, auch großen und kleinen Tüchern auf Spitzenart",,,,,
"",,,,,,,"Beschreibung der ... Erfindung, welche ... darin besteht, durch eine von ihm neu erfundene, und",,,,,
"",,,,,,,"am Weberstuhle angebrachte Maschine, die möglichst vollkommene Gleicheit, und beliebige",,,,,
477,Haas,Philipp,,,,,,Webstuhl,Wien,,1822,22.04.1822
"",,,,,,,"Dichtigkeit erzweckt zu haben, ... Anwendbar auf alle mögliche Baumwollwerberwaaren,",,,,,
"",,,,,,,"vorzüglich aber auf feine, und dünne Artikel, als Organtine ... sowohl glatt als facionirt",,,,,
"",,Heinrich Anton,,,,,"Verbesserung über Hydraulische Maschinen als Brunnen, Druckwerke, und Wasserhebe-, und",,,,,
478,Fricke,,,,,,,"Pumpe, Brunne, Feuerspritze",Wien,,1822,08.02.1822
"",,Ludwig,,,,,"Feuerspritzen, nehmlich doppelt wirken in Einen und in zwey Stiefeln",,,,,
"",,,,,,,,"Wasserleitungsrohr,",,,,
479,Schera,Domenico,,,,,Machina inventata ... per la Trapanazione dei tubbi di pietra servienti per li acquedotti ...,,Triest,,1822,04.04.1822
"",,,,,,,,Steinbohrmaschine,,,,
