PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatu
"",,,,,,,"Beschreibung der ... Verbesserung, welche ... darinn besteht, daß: Die Lastwägen auf hölzernen",,,,,
"",,,,,,,oder metallenen Bahnen durch Anwendung fester Dampfmaschinen /:locomotive steam-enginer:/,,,,,
"",,,,,,,"oder durch Wasserräder, Gegengewichte ... mittelst Seilen oder Ketten gezogen werden, wodurch",,,,,
"",,,,,,,,"Eisenbahn, Kettenschleppschiffahrt,",,,,
892,Gerstner,Franz Anton v.,,,,,"der Transport der Güter ... in ebenen, vorzüglich aber in gebirgigen Gegenden viel wohlfeiler und",,Wien,,1822,21.11.1822
"",,,,,,,,Transport,,,,
"",,,,,,,"schneller bewirkt wird, als es durch Kanäle, Strassen oder durch die bisher bekannten",,,,,
"",,,,,,,"Eisenbahnen /: railways :/ geschehen kann, worauf die Wägen mit Pferden oder beweglichen",,,,,
"",,,,,,,Dampfmaschinen fortgezogen werden,,,,,
893,Pergamenter,Salomon,,,,,Beschreibung der ... Erfindung welche ... darin besteht: mechanische Luftfächer zu verfertigen ...,Fächer,Wien,,1822,17.07.1822
"",,,,,,,"Beschreibung der ... Erfindung einer Pantsch- und Reinigungsmaschine für Cattun, Manschester","Waschmaschine, Appreturmaschine,",,,,
894,Leonhardt,Johann Gottlob,,,,,,,Prag,,1822,29.07.1822
"",,,,,,,und Leinwand mittelst Pantschern und Walzen,Pantschmaschine,,,,
895,Hummel,Joseph,,,,,Beschreibung der ... erfundenen Schanirgabeln auf derley Schirmen,"Regenschirm, Sonnenschirm",Wien,,1822,18.02.1822
"",,,,,,,Genaue Beschreibung der neuen Entdeckung: aus Leinwand und Zwillich Tuchgattungen zu,,,,,
896,Kapuneck,Franziska,Kapuneck,Wenzel,,,,"Wasserdichtes Tuch, Luftdichtes Tuch",Wien,,1822,12.01.1822
"",,,,,,,"verfertigen, die wasserdicht, und lufthältig sind",,,,,
"",Ponjand de,,,,,,,,,,,
897,,Jakob Emanuel,,,,,"Beschreibung und Zusammensetzung des Toilettegeistes, ...","Seifengeist, Seife",Prag,,1821,25.10.1821
"",Nanclas,,,,,,,,,,,
"",,,,,,,Descrizione della invenzione che ... consiste in una macchina ossia barca o nave a maneggio motta,,,,,
898,Prandi,Giuseppe,,,,,,"Schiffsantrieb, Getriebe",Milano,,1829,03.01.1829
"",,,,,,,"da due o piu cavalli situati nella barca stessa, ... [Göpelschiffe]",,,,,
"",,,,,,,Descrizione della scoperta che ... consiste nel dare ad ogni sorta di pelli la vernice di qualsivoglia,,,,,
"",,,,Guglielmo,,,,,,,,
899,Bernareggi,Francesco,Charansonnay,,,,"colore in modo che le stesse pelli si vendono assai lucide, morbide e pieghevoli in ogni verso senza","Leder, Lack",Milano,,1821,13.08.1821
"",,,,Enrico,,,,,,,,
"",,,,,,,apportare danno alla vernice medesima [Lackiertes Leder],,,,,
"",,,,,,,Descrizione dell'invenzione che consiste nell'introduzione in questo Stato di Macchine per formare,,,,,
900,Meynard,Giorgio,Nicod,Ambrogio,,,"i denti ai pettini d'avorio, di corno, e di Bosso, per cui si ottiere maggiore esatezza nel lavoro, e",Kamm,Genova,,1827,09.02.1827
"",,,,,,,risparmio di tempo,,,,,
"",,,,,,,Descrizione del miglioramento che ... fatto il modo di applicare il vapore nell'uso di trarre la Seta,,,,,
901,Rota,Andrea,,,,,,"Seidenkokon, Seidenhaspel",Milano,,1818,10.03.1818
"",,,,,,,"dai bozzoli, ... [Seidenhaspel",,,,,
"",,Giacomo Filipino,,,,,"Descrizione della nuova Scoperta, che ... consiste in un unico apparecchio trasportabile al domicilio",,,,,
902,Millien,,,,,,,Bad,Milano,,1827,09.05.1827
"",,Celestino,,,,,li chi lo domianda per un completo bagno ... [Badeapparat],,,,,
903,Weichsel,Anton,,,,,Beschreibung zur Verhärtung des Unschlitts zu den ökonomischen Tafel Kerzen,"Unschlitt, Kerze",Graz,,1827,18.10.1827
"",,,,,,,"Beschreibung der ... Erfindung, bestehend in der Verfertigung einer neuen Art Streichriemen zum",,,,,
904,Richter,Wenzel,,,,,,Abziehen/Rasiermesser,Wien,,1822,24.06.1822
"",,,,,,,Abziehen der Rasiermesser,,,,,
905,Sartory,Johann Nepomuk,,,,,Beschreibung über die Erfindung Wasser zum Sott zu bringen,"Siedeofen, Kochapparat",Wien,,1822,15.02.1822
"",,,,,,,Beschreibung der ... Erfindung einer Maschine die sich selbst durch zwey Oehllichter in immer,,,,,
906,Hoepper,Franz,,,,,"währenden Bewegung erhält, u.so mächtig wirkt, daß sie gleich der Dampfmaschine zur",Heißluftmaschine,Wien,,1822,24.08.1822
"",,,,,,,Betreibung aller technischen Werke angewendet werden kann ...,,,,,
"",,,,,,,"Beschreibung und Zeichnung der ... Verbesserung an der Watertwist Maschine, ..., daß der Faden",,,,,
907,Girardony,Franz,,,,,"Statt mit den gewöhnlichen Fliegeln mittelst Glocken, und einer Vorrichtung an der Spulle",Spinnmaschine,Wien,,1822,18.07.1822
"",,,,,,,"ungestört von aller äußeren Einwirkung ruhig, und ordentlich aufgewickelt werden kann, ...",,,,,
"",,,,,,,"Beschreibung der ... Verbesserung und Verfahrungsart im Distilliren der Brandwein und Geister, ...",,Karolinenthal/Pr,,,
908,Billaudet,Alexander,,,,,,"Branntwein, Destillierapparat",,,1822,30.09.1822
"",,,,,,,[Text deutsch und französisch],,ag,,,
"",,,,,,,,,Maierhöfen/Bö,,,
909,Sorger,Franz,,,,,Die Bearbeitung der Juchte. Bereitung des Birkenoels,"Gerberei, Leder, Birkenöl",,,1822,18.05.1822
"",,,,,,,,,hmen,,,
"",,,,,,,Beschreibung der ... Erfindung welche ... darin besteht: daß derselbe zu der von den wiener,,,,,
"",,,,,,,"Webermeister Michael Bayerleithner erfundenen Methode, Säke ohne Nath zu verfertigen, jene",,,,,
"",,,,,,,,,Böhmischtrüba,,,
910,Zagicek,Franz,,,,,"neue Verbesserung erfunden habe, nach welcher nicht nur der Sak, sondern großere, Baum-",Sack,,,1821,16.11.1821
"",,,,,,,,,u,,,
"",,,,,,,"Schafwolle, Stroh-Bak- und jede Art, ... blos mit einer einzigen auf den Boden des Sakes",,,,,
"",,,,,,,"glattgewebten Leiste, ... auf einem ... einfachen Weberstuhl, ... verfertigt werden können",,,,,
"",,,,,,,Genaue Beschreibung den Damast aus inlaendischen Rohstahl zu raffinieren der feineren,,,,,
"",,,,,,,,"Damaszenerstahl, Stahlwaren,",,,,
"",,,,,,,"Schleifferei auf Zinn Kupfer Eisen Messing und Glasscheiben, wie auch Stahlsteiner und Perln zu",,,,,
911,Touaillon,Joseph F.,Weber,Karl Friedrich,,,,"Raffinade/Stahl, Vergolden,",Wien,,1822,30.04.1822
"",,,,,,,"pressen zu löthen, und auf einer eigens hiezu eingerichteten Maschine zu schleiffen, und die",,,,,
"",,,,,,,,"Platinieren, Schleifmaschine",,,,
"",,,,,,,"stählernen Instrumente, auf den nassen Wege zu vergolden, und mit Plattin zu belegen",,,,,
"",,,,,,,"Beschreibung der Erfindung, Sammet in der Länge zu machen, anwendbar bei Band und Wagen-",,,,,
912,Rothe,Johann,Seehorst,Karl,,,"Borten, wie auch bei verschiedenen anderen Posamentier Arbeiten, auf Hand- Schub- und","Samtband, Bandstuhl",Wien,,1822,22.03.1822
"",,,,,,,Mühlstühlen,,,,,
