PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,Ort,Jahr,Einreichdatum
"",,,,,,,Descrizione dell'invenzione e miglioramento che ... fatto per la fabbricazione della stearina e,,,,
3760,Conconi,Agostino,,,,,"dell'oleina, dell'acido stearico e dell'acido oleico [Erzeugung von Stearin und Olein, Stearinsäure","Stearin, Olein, Stearinsäure, Oelsäure",Milano,1839,14.07.1839
"",,,,,,,und Oelsäure],,,,
3761,Comoth,Peter Hubert,Herke,A.J.,,,"Zeignung und Beschreibung über eine Verbesserung an die vorgespunst vorrichtung, ...",Vorbereitungsmaschine,Brünn,1844,01.10.1844
"",,,,,,,,"Damm, Erdbau, Unterbau,",,,
"",,,,,,,"Beschreibung der Maschinen zur leichteren Aufdämmung und Ausgrabung, und Verführung des",,,,
3762,Scotti,Friedrich v.,,,,,,"Feldeisenbahn, Kran, Drehkran,",Wien,1844,04.06.1844
"",,,,,,,Erdreiches zum Unterbau der Eisen-Bahnen ...,,,,
"",,,,,,,,Förderung,,,
"",,,,,,,,"Seidenraupe, Zuchtstand,",,,
"",,,,,,,Beschreibung der Maschienen für die Erzeugung der Seidenrauppen und für das Spinnen und,,,,
3763,Scotti,Friedrich v.,,,,,,"Seidenkokon, Seidenhaspel, Meßrad,",Wien,1843,23.02.1843
"",,,,,,,"Filieren der Seide, ...",,,,
"",,,,,,,,"Fadenkreuzung, Spinnmaschine",,,
"",,,,,,,Descrizione dell'invenzione che ... fatto e consistente nel modo di tessere le maglie di tutte le,,,,
3764,Bosca,Giuseppe,,,,,,"Maschen, Wirkmaschine",Milano,1840,19.03.1840
"",,,,,,,finesse ... [Maschen weben],,,,
"",,,,,,,Descrizione della scoperta che ... consiste nel poter fare uso del combustibile fossile antracite,,,,
"",,,,,,,,"Anthrazit, Hochofen, Eisen,",,,
3765,Maumari,Giovanni,,,,,"senza fumo nero ne odore bituminoso, impiegandolo nelle fonderie da minerale-ferreo, in quelle",,Milano,1840,08.01.1840
"",,,,,,,,Schmelzofen,,,
