PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,,Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,"Beschreibung der von der Franziska Hillinger, k.k. Thürhüttersgattin ... - gemachten Verbesserung",,,,,,
3126,Hillinger,Franziska,,,,,"eines unter dem Namen Wiener Doppel-KöllnerWasser, ..., daß selbes 1.) dem von Johann Maria",Parfüm,,Wien,,1841,15.12.1841
"",,,,,,,"Farina, so berühmten Köllner Wasser nicht nur ganz ähnlich ist, und so erzeugt wird, ...",,,,,,
3127,Fleisch,Franz,,,,,"Beschreibung des von dem Gefertigten verbesserten Mongolphie'schen Stoßheber, ...",Stoßheber,,Wien,,1842,19.09.1842
"",,,Toscano del,,,,Beschreibung des Mechanismus des Fall-Apparates eines sogenannten Stesso fuoco mortale,"Feuerlöschmittel, Rauchfang,",,,,,
3128,Del Baner,Johann Toscano,,Johann,,,,,,Wien,,1838,03.02.1838
"",,,Banner,,,,selbst absterbenden Feuers,Absperrklappe,,,,,
"",,,,,,,"... über die neue Verbesserung und Erfindung: Schmelzapparate zu verfertigen, womit einestheils",,,,,,
"",,,,,,,"alle Gattungen Gußstahl ... erzeugt werden können; anderentheils für Schmelzungen,",,,,,,
"",,,,,,,"Legierungen, Reduktionen und Ausscheidungen für andere Körper mit Vortheil angewendet","Schmelzofen, Tiegelofen,",,,,,
3129,Fischer,Georg,,,,,,,,Hainfeld,,1839,01.05.1839
"",,,,,,,werden können. Ferner mit diesen Apparaten eine eben so vortheilhafte als vorzügliche Feilen,"Feilenhaumaschine, Härten/Feile",,,,,
"",,,,,,,Erzeugung vermittelst einer Maschine zum Hauen und eines Anstriches zum Härten der Fertigen,,,,,,
"",,,,,,,Feilen zu erzwecken,,,,,,
"",,,,,,,,"Zucker, Raffinade/Zucker,",,,,,
3130,Raffelsberger,M.,,,,,"Beschreibung der ... Entdeckung eines neuen Apparat für Abdampfung des Zuckers, ...",,,Wien,,1832,29.12.1832
"",,,,,,,,"Verdampfapparat, Destillierapparat",,,,,
"",,,,,,,Beschreibung der Erfindung des Tien Steel zur Verfertigung aller Gattungen Schneide-Werkzeuge,"Schneidewerkzeug, Werkzeugstahl,",,,,,
3131,Scheger,Karl Joseph,,,,,,,,Wien,,1839,28.02.1839
"",,,,,,,"besonders aber zu Schafscheren auf englische Art und großen schweren Handwerkzeugen, ...","Härten/Stahl, Schafschere",,,,,
"",,,,,,,"Beschreibung der ... Erfindung, ..., daß man Kochapparate ... mit einem Heizmantel umgiebt, ...,",,,,,,
"",,,,,,,wodurch ... das offene Flammenfeuer ... wie auch die strahlende Wärme wie bei Sparherden ... auf,,,,,,
3132,Prause,J.E.,,,,,,"Kochgeschirr, Heizmantel",,Wien,,1841,08.04.1841
"",,,,,,,"den zu siedenden Gegenstand geleitet ... wird. Dieses Mantel Kochgeschirr kann von Thon, Eisen,",,,,,,
"",,,,,,,Kupfer usw. ... erzeugt werden ...,,,,,,
3133,Isack,Karl,,,,,Beschreibung der ... Verbesserung der elastischen Damen Bracellets ...,Armband,,Wien,,1842,28.02.1842
"",,,,,,,,"Trommelfell, Imprägnierung/Stoff,",,,,,
3134,Krause,Friedrich,,,,,"Beschreibung des Verfahrens bei Verfertigung der neuen Trommel- u. Paukenfelle, ...",,,Wien,,1842,01.03.1842
"",,,,,,,,Wasserdichter Stoff,,,,,
"",,,,,,,"Beschreibung der Erfindung, daß sie mit neu erfundenen und verbesserten Maschinen zum","Baumwolle, Krempeln,",,,,,
"",Escher -,,Escher -,,,,,,,,,,
3135,,Gustav  Albert v.,,J. Kaspar v.,,,"Reinigen, Vorbereiten & Feinspinnen der Baumwolle ein dem besten englischen Garne","Vorbereitungsmaschine,",,Zürich,,1827,01.11.1827
"",Felsenhof,,Felsenhof,,,,,,,,,,
"",,,,,,,gleichkommendes u. wohlfeileres Gespinst liefern,"Spinnmaschine, Garn",,,,,
"",,,,,,,Beschreibung der ... erfundenen u. verbesserten Methode Schofwolle so zu waschen und zu,,,,,,
3136,Kern,Albert,,,,,,"Schafwolle, Wollwäsche, Waschmittel",,Wien,,1836,14.03.1836
"",,,,,,,"reinigen, daß dadurch die darin sich befindenden Haarläuse leicht abgelößt ...",,,,,,
3137,Frischaus,A. Ignaz,,,,,Bereitung der ... neu erfundenen Wr. Wirtschafts Mineral Magenschmieder,Schmiermittel,,Wien,,1838,06.03.1838
"",,,,Johann Georg,,,,"Hasenbalg, Imprägnierung/Filz,",,,,,
3138,Bevelaqua,Johann Georg,Bevelaqua,,,,Beschreibung einer ... erfundenen neuen Beitze zur Erzeugung Hüte aus Hasenhaar,,,Prag,,1838,14.02.1838
"",,,,jun.,,,,"Färben/Hut, Hut",,,,,
"",,,,,,,Beschreibung der Verfertigung der in der Glinsker Steingut-Fabrikke erzeugten rothen türkischen,,,,,,
3139,Wollf,Friedrich,& Co,,,,,Tabakspfeife,,Glinsko,,1838,19.01.1838
"",,,,,,,Tabakspfeifen,,,,,,
3140,Kotoczek,Wenzel,,,,,Beschreibung des von dem Unterzeichneten neu erfundenen Ofens,Ofen,,Wien,,1838,26.06.1838
3141,Kauffmann,Karl,,,,,Wesenheit einer neuen Erfindung der Zug-Lampen-Gläser mit Einfalzung,Lampenzylinder,,Wien,,1841,07.04.1841
"",,,,,,,Beschreibung der ... neu erfundenen und bereits erbauten und noch zu erbauenden Schrott und,,,,,,
3142,Glembowiecky,Franz,,,,,,Mühle,,Wien,,1837,30.12.1837
"",,,,,,,Mahlmühlen,,,,,,
"",,,,,,,"Beschreibung u. Muster einer Gattung von Seiden, Halbseiden und Schafwollenstoff, der auf","Seidenstoff, Halbseidenstoff,",,,,,
