PrivRegNr,Name1,,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
3493,Demuth,Karl,,,,,,Beschreibung der neuen verbesserten Bedachung von geriefelten oder kanelirtem Blech,"Wellblech, Dach",Wien,,1843,30.03.1843
"",,Giovanni Battista,,,,,,,,,,,
3494,Lande,,,,,,,Descrizione della maniera die procedere per fare il sapone ... [Seife],Seife,Wien,,1843,05.02.1843
"",,Conte,,,,,,,,,,,
"",,,,,,,,,"Kochsalz, Kesselsteinmittel,",,,,
3495,Danzenberg,Jakob,,Zappert,Bruno,,,Beschreibung der Erfindung zur Verhinderung des Wasserstein-Ansatzes in Dampfkesseln,,Wien,,1843,21.08.1843
"",,,,,,,,,Dampfkessel,,,,
3496,Hammerschmid,Franz,,,,,,"Beschreibung von einen verbesserten geschweiften Luftzugkochofen, ...",Kochherd,Wien,,1843,06.06.1843
"",,,,,,,,Descrizione della nuova scoperta ... che consiste in sostanza in nuovi mezzi meccanici per facilitare,,,,,
3497,Beck,Thomas Richard,,,,,,,"Wagen, Getriebe",Milano,,1839,30.06.1839
"",,,,,,,,la locomozione,,,,,
3498,Meisels,Abraham,,,,,,"Beschreibung der ... Erfindung einer Uhrwerksartigen Fruchtmahlmühle, ...","Mühle, Gewichtsantrieb",Tarnow,,1839,05.02.1839
"",,,,,,,,Beschreibung der erfundenen Verbesserung der bereits im Jahre 1837 ... vom 11.04.Z.9174/674,,,,,
3499,Basch,Meyer,,,,,,,Hohlmaß,Lemberg,,1841,11.11.1841
"",,,,,,,,priv. unverfälschbaren Hohlmaße,,,,,
"",,,,,,,,Bereitungs Methode des neu zusammen gesetzten aromatischen Wieder Lieblings conservations,,,,,
3500,Filz,Johann,,,,,,,Parfüm,Wien,,1838,04.07.1838
"",,,,,,,,Wasser ...,,,,,
"",,,,,,,,"Descrizione della Macchina per fabbricar la carta di qualsivoglia lunghezza, chiamata Machine",,,,,
3501,Molina,Paolo Andrea,,,,,,,"Rotationspapier, Papiermaschine",Milano,,1828,14.04.1828
"",,,,,,,,pour faire le papier sans fin ... [Rotationspapier],,,,,
"",,,,,,,,"Descrizione della nuova invenzione che ... consiste: in un meccanismo applicato alla macchina,",,,,,
3502,Campiglio,Antonio,,,,,,,"Notenpult, Lesepult, Umblättern",Milano,,1842,27.06.1842
"",,,,,,,,serviente per voltare i fogli della musica e dei libri ... [Noten und Buchblätter umblättern],,,,,
"",,,,,,,,Descrizione della nuova invenzione ... che consiste in sostanza in un meccanismo,,,,,
"",Crossi -,,,,,,,,,,,,
3503,,Giovanni,,,,,,simultaneamente tendente eriscaldare due ... stanze con un fuoco ... [Zwei Zimmer mit einem,Zentralheizung,Milano,,1843,27.03.1843
"",Martiani,,,,,,,,,,,,
"",,,,,,,,Ofen zu heizen],,,,,
"",,,,,,,,"Descrizione colle relative Cinque Tavole di disegni dalle Machine a filare Lino, Canape, e Lana ...","Flachs, Hanf, Wolle,",,,,
3504,Preyssl,Francesco,,Preyssl,Leopoldo,,,,,Milano,,1839,14.06.1839
"",,,,,,,,"[Flachs-, Hanf- und Wollvorspinnmaschinen]",Vorbereitungsmaschine,,,,
3505,Gavazzi,Pietro,,,,,,Descrizione della nuova scoperta che ... consiste nel ridurre la torba ... [Torfbriketts],"Torf, Brikett, Presse",Milano,,1839,08.03.1839
"",,,,,,,,Allegato A da unirsi alla suplica ... nella quale addomanda un privileggio ... nella quale,,,,,
3506,Picaluga,Gaetano,,,,,,"fabbricazione di una Stoffa detta Castorini, Molettone, felpa e simili fatta coi Cascami di seta ...","Seidenabfälle, Stoff",Milano,,1842,29.03.1842
"",,,,,,,,[Ein Stoff aus Seidenabfällen],,,,,
3507,Hemmerle,Sebastian,,Strnadt,Vinzenz,,,Beschreibung der verbesserten Erzeugung des Essiges,Essig,Wien,,1829,04.05.1829
"",,,,,,,,"Beschreibung der ... Erfindung, ..., Flüssigkeiten mit einem Hitzegrade, beträchtlich unter ihrem","Zucker, Raffinade/Zucker,",,,,
3508,Reyer,,,Schlick,,,,,,Wien,,1829,14.06.1829
"",,,,,,,,"Kochpunkte, ..., abzudampfen, besonders bey der Raffinirung des Zuckers ...",Verdampfapparat,,,,
"",,,,,,,,"Descrizione del metodo di miglioramento nella composizione, e distillazione del Rosolio ad uso di","Maraschino, Canellino,",,,,
3509,Luxardo,Girolamo,,,,,,,,Venezia,,1828,14.10.1828
"",,,,,,,,"Zara di Maraschino, e Canellino ... [Rosoglio, Maraschino und Canellino durch Destillation]",Destillierapparat,,,,
"",,,,,,,,,"Schiffbau, Schiffsantrieb,",,,,
3510,Marquardt,Heinrich,,,,,,"Beschreibung des Bootes, der Maschine und des Dampferzeugungs-Apparates",,Wien,,1839,16.04.1839
"",,,,,,,,,Dampfmaschine,,,,
"",,,,,,,,"Beschreibung der Vegetabilien aus welchen ein Extract bereitet wird, womit die Schafwolle als","Schafwolle, Wollwäsche, Waschmittel,",,,,
3511,Strasser,Philipp,,,,,,,,Wien,,1839,24.06.1839
"",,,,,,,,auch Manufactur-Stoffe rein und hellweiß gewaschen werden,Seifenwurzel,,,,
3512,Rhein,Franz,,,,,,Beschreibung der verbesserten Druckwalzenmaschine mit erhabenen gestochenen Desseins ...,"Zeugdruck, Druckwalze, Molettieren",Prag,,1839,28.06.1839
"",,,,,,,,Beschreibung einer Verbesserung der bereits priv. im vorigen Jahre 1838 neu erfundenen Schaf-,,,,,
