PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
3856,Robertson,Joseph Clinton,,,,,Darstellung einer verbesserten Hydraulischen Dreh- und Dampfmaschine,Reaktionsrad,Wien,,1840,08.01.1840
"",,,,,,,"Neue Wege und Verfahrungsweise der Aufbewahrung von Genußmittel, animal. u. vegetabil.","Lebensmittel,",,,,
3857,Sachs,Johann,,,,,,,Wien,,1840,25.01.1840
"",,,,,,,Substanzen und Flüßigkeiten,Konservierung/Lebensmittel,,,,
3858,Hoor,Anton,Masatsch,Johann,,,Beschreibung der Wanzentinktur,"Ungeziefer, Wanzenvertilgung",Prag,,1843,28.07.1843
3859,Austin,Friedrich,,,,,"Eine neue Verbesserung bei Erzeugung von Tull anglais-Spitzen, ...","Tüll, Spitzen, Bobinetmaschine",Wien,,1843,05.07.1843
3860,Singer,Peter,Smzecher,Alois,,,Beschreibung und Erklärung eines neuen Klavierstimm-Schlüssels,"Klavier, Stimmen",Wien,,1843,09.08.1843
"",,,,,,,,"Oelgas, Destillierapparat, Steigleitung,",,,,
3861,Orsay,Maximilian d' Graf,,,,,"Beschreibung einer neuen Beleuchtungs-Art, Pelletan-Licht genannt",,Wien,,1843,17.07.1843
"",,,,,,,,Lampe,,,,
"",,,,,,,"Beschreibung unserers Verfahrens, durch welches wir das unter dem Namen ""Garancine""",,,,,
3862,Pflugbell,Benjamin Gottlieb,,,,,bekannte Krapp-Präparat wohlfeiler und eben so vollkommen herstellen als dasselbe bis heute,Garancin,Wien,,1843,11.07.1843
"",,,,,,,aus dem Auslande bezogen wird,,,,,
"",,,,,,,"Beschreibung unseres Verfahrens, durch welches wir den durchs Ausfärben erschöpften Krapp",,,,,
3863,Pflugbell,Benjamin Gottlieb,,,,,,Garanceaux,Wien,,1843,11.07.1843
"",,,,,,,aufs Neue zum Färben brauchbar machen,,,,,
3864,Reinhard,Johann Baptist,,,,,"Beschreibung der ... Verbeßerung des Firnißes, ...",Firnis,Wien,,1844,16.08.1844
"",,,,,,,"Beschreibung der ... Erfindung und Verbesserung, ..., Buchstaben oder Ziffer aus einer sehr wenig",,,,,
3865,Heyd,Bernhard,,,,,,"Legierung, Rostfreie, Metallbuchstabe",Wien,,1844,21.08.1844
"",,,,,,,oxodierenden Massa in allen Formen u. Größen ... zu erzeugen,,,,,
"",,,,,,,"Beschreibung der ... neu erfundenen Methode, der Seide auf mechanischem Wege den höchsten",,,,,
3866,Hottinger,Adolph,,,,,,"Seidenglanz, Appretur, Streckmaschine",Wien,,1844,26.08.1844
"",,,,,,,"Grad von Glanz und die größtmögliche Strekkung zu ertheilen, ...",,,,,
3867,Hartig,Anton,,,,,Privilegiums - Beschreibung der sogenannten ledernen Bracelett-Handschuhe,Stulphandschuh,Wien,,1844,30.08.1844
"",,,,,,,"Beschreibung ...: eine Komposition oder Maße zu bereiten, mittelst welcher Stoffe ... vollkommen","Gummi, Imprägnierung/Stoff,",,,,
3868,Wetzlar,Gottfried,,,,,,,Wien,,1844,19.07.1844
"",,,,,,,wasserdicht und geruchlos fabricirt werden können,Wasserdichter Stoff,,,,
3869,Hell,Ferdinand,,,,,Beschreibung des Instrumentes Euphonion,"Baßtuba, Klappe/Blasinstrument",Wien,,1844,05.04.1844
"",,,,,,,Beschreibung der von dem Hernn Anton Rainer Ofenheim angegebenen Reise-Badeapparates mit,,,,,
3870,Ofenheim,Anton Rainer,Reiss,August,,,,Bad,Wien,,1843,07.08.1843
"",,,,,,,immerwährendem Regen,,,,,
"",,,,,,,,"Samt/Geschnittener,",,,,
"",,,,,,,... Bittet um Verleihung eines Privilegiums: Mittelst neuer Erfindung einer angebrachten Maschine,,,,,
"",,,,,,,,"Felbel/Geschnittener,",,,,
3871,Neusser,Matthaeus,,,,,"auf Mühlstühlen, Samet, Felber und Blisch zu verfertigen, wodurch die Maschine von selbst",,Wien,,1844,13.01.1844
"",,,,,,,,"Plüsch/Geschnittener,",,,,
"",,,,,,,schneidet,,,,,
"",,,,,,,,"Schneidemaschine, Bandstuhl",,,,
3872,Krause,Friedrich,,,,,Beschreibung des Verfahrens bei Erzeugung der von mir erfundenen Staubhüte,Hut,Wien,,1843,22.05.1843
"",,,,,,,Beschreibung der ... erfundenen Verbesserung an der Maschine zur Reinigung des Hanf- und,,,,,
3873,Sonnleithner,Ignaz v.,,,,,,"Werg, Krempeln",Wien,,1843,24.07.1843
"",,,,,,,Flachswerges,,,,,
3874,Katlein,Gustav,,,,,Beschreibung einer Verbesserung an den Holz- und Torf-Kasten ...,"Kohlenkiste, Blechbearbeitung",Wien,,1844,22.10.1844
"",,,,,,,"... zeigt ... an, eine Verbesserung der bereits im Jahre 1841 priv.Maschine gemacht zu haben,",,,,,
3875,Werecki,Stanislaus,,,,,"welche nicht nur zum Erdäpfelquetschen bei den Brandwein-Brennereien, sondern auch zu Lehm","Kartoffel, Reibmaschine/Kartoffel",Wien,,1844,20.09.1844
"",,,,,,,und allerley Massen ... geeignet ist ...,,,,,
"",,,,,,,,,"Deutsch-Jaßnik,",,,
