PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,"Auf die Verbesserung der Demuthischen Wiener-Mode-Zigarrenrörchen, ..., daß man mittelst",,,,,
3231,Hoechstaetter,Mathias,Schwarz,J.A.,,,Patronen von beliebigen Material mehrere Stunden mit jeder Gattung Rauchtabak ohne zu,"Zigarrenetui, Zigarre",Wien,,1842,20.08.1842
"",,,,,,,"stopfen fortrauchen könne, ...",,,,,
"",,,,,,,Spiegazione annessa ai Disegni dell'Invenzione di Novello Movimento Rotario mediante un Gomito,,,,,
3232,Morgan,William,,,,,"Triplo con rispettivi Fusti regolatori non che Radiali, inserviente ad uso di Spingere Vasi in Acqua","Schiffsantrieb, Mühle, Getriebe",Trieste,,1828,06.07.1828
"",,,,,,,oppine atto a Molini d'acqua [Schiffs- und Mühlenantrieb],,,,,
"",,,,,,,Geheim zu haltende Beschreibung der bei der vereinigten Fürstl.Schönburgschen,,,,,
"",Schoenburg -,,,,,,Eisengewerkschaft zu Rettenegg in Steyermark zur Vereinfachung und Verbesserung der,,,,,
3233,,,,,,,,"Luppenfrische, Stabeisen, Geleise",Wien,,1837,11.08.1837
"",Hartenstein,,,,,,"Eisenmanipulation im Allgemeinen, besonders aber zur wohlfeileren Erzeugung von",,,,,
"",,,,,,,"Flachschienen, gemachten neuen Erfindung, ...",,,,,
"",,,,,,,,"Aloe, Agave, Pitte, Pisang,",,,,
"",,,,,,,"Beschreibung über die ... Verbesserung und neue Erfindung, ..., sich verschiedener exotischer","Flachs/Neuseeländischer, Spinnfaser,",,,,
"",,Jakob Franz,,,,,,,,,,
3234,Hemberger,,,,,,"Spinn-Gewächse zu bedienen, um mittelst derselben bey verschiedenartigen Anwendungen, den","Seil, Stoff, Borte, Flachsersatz,",Wien,,1838,17.04.1838
"",,Heinrich,,,,,,,,,,
"",,,,,,,"Flachs, den Hanf, die Baumwolle und die Seide zu entbehren, ...","Hanfersatz, Baumwollersatz,",,,,
"",,,,,,,,Seideersatz,,,,
"",,,,,,,"Beschreibung der Entdeckung und Verbesserung meiner Lampe von besonderer Beschaffenheit,",,,,,
3235,Beale,Josua Taylor,,,,,welche zum Brennen zusammengesetzter Stoffe in Verbindung mit athmosphärischer Luft,"Lampe, Vergaser",Wien,,1838,01.06.1838
"",,,,,,,"anwendbar ist, ...",,,,,
"",,,,,,,Beschreibung der vom Gefertigten neu erfundenen Verbesserung in Erzeugung der elastischen,,,,,
3236,Isak,Karl,,,,,,"Armband, Handschuhhalter",Wien,,1839,23.07.1839
"",,,,,,,HandBrasceleten und Handschuhträger ohne Schlüssen,,,,,
"",,,,,,,"Beschreibung einer Maschine zur Erzeugung von Stiften, nebst Angaben von Verbesserungen",,,,,
"",,,,,,,,"Nagel, Schneidemaschine, Niete,",,,,
3237,Bengueret,Justin,Wagner,Ludwig,Jeanrenand,Izidor,"dieser Maschine, wodurch sie auch zur Erzeugung von Nieten geschickt gemacht und die",,Wien,,1839,13.07.1839
"",,,,,,,,Presse,,,,
"",,,,,,,erzeugten Stiften vervollkommet werden,,,,,
"",,,,,,,"Beschreibung der ... Erfindung und Verbesserung auf einen Wagen, ..., daß der Wagen keinen",,,,,
3238,Bajer,Alexander,Rosenbusch,Eduard,,,"Baum/:Langwith:/ hat, auf Druck und Zirkel-Federn hängt, das vordere Gestell samt Kutschersitz","Wagen, Federung/Wagen, Reibscheit",Wien,,1840,01.04.1840
"",,,,,,,"eine eigene Reibung hat, die Räder gleich groß und von ungewöhnlicher Höhe sind, ...",,,,,
3239,Nicoladoni,Alois,,,,,"Beschreibung des von dem Unterzeichneten erfundenen Haitz-Apparats, Calorifére genannt","Zentralheizung, Ofen",Wien,,1840,30.06.1840
"",,,,,,,"Beschreibung der hydraulischen Maschine zum Schöpfen u. Heben der Wassers auf jede Höhe, in","Wasserhebemaschine, Schöpfwerk,",,,,
3240,Tschoffen,Moritz,,,,,,,Wien,,1841,16.06.1841
"",,,,,,,einem Strahl,Pumpe,,,,
"",,,,,,,"Beschreibung nebst 3 Zeichnungen die Erfindung betreffend, die Gichtflammen Gase,",,,,,
"",,,,,,,,"Hochofen, Puddelofen, Gichtgas,",,,,
3241,Morell,Bernhard v.,,,,,"aufzufangen, und auch selbsten zu erzeugen, zum Betrieb von allen Gattungen von Gewerben,",,Wien,,1841,24.06.1841
"",,,,,,,,Luftvorwärmer,,,,
"",,,,,,,welche einer großen Hitze bedürfen,,,,,
3242,Dietrich,Karl,,,,,Beschreibung des zu privilegirten Fußböden von Papier,"Papier, Fußboden",Wien,,1842,13.07.1842
"",,,,,,,"Beschreibung der von Johann Lamatsch, Magister der Pharmacie, neu erfundenen und mir",,,,,
3243,Lamatsch,Johann,Wieser,Michael,,,,"Kochgeschirr, Verzinnen, Zinnlegierung",Wien,,1842,03.02.1842
"",,,,,,,Endesgefertigten [Michael Wieser] abgetretenen Verzinnungs-Methode,,,,,
3244,Selka,Anton,,,,,Beschreibung des von dem Unterzeichneten neu erfundenen Wassertrettungsapparates,Schwimmgürtel,Wien,,1842,12.04.1842
"",,,,,,,"Beschreibung der Bereitung der Flüssigkeit, welche zur Aufüllung, den Appretes, zur Appretirung","Leder, Färben/Leder, Appretur,",,,,
3245,Wedelis,Anton Salomon,,,,,,,Wien,,1842,04.07.1842
"",,,,,,,des Leder diene,"Schwarz, Rot, Gelb, Weiß, Grün",,,,
"",,,,,,,"Beschreibung zu dem ... Patente ... auf die Erfindung, der Preßspänen mittelst einer besonderen",,,,,
3247,Regen,Sophie,geb. Heimann,,,,"Vorrichtung einen solchen Glanz und eine derartige Festigkeit und Dauer zu geben, daß dieselben","Preßspan, Appretur",Wien,,1840,20.11.1840
"",,,,,,,"hiedurch den englischen gleich kommen, ...",,,,,
"",,,,,,,"... zeigt ... an, eine Verbesserung in der Dampfschifffahrt gemacht zu haben, welche in der",,,,,
"",,,,,,,,"Dampfmaschine, Dampfkessel,",,,,
3248,Fletcher,Matthew,,,,,"Anwendung seiner am 06. Nov. 1841 priv. Dampfmaschine, so wie auch in einem neu erfundenen",,Wien,,1842,09.06.1842
"",,,,,,,,"Wasserrad, Schiffsantrieb",,,,
"",,,,,,,Dampfkessel und verbesserten Wasserrädern besteht ...,,,,,
"",,,,,,,"... zeigt ... an, eine Entdeckung gemacht zu haben, welche in der Anwendung des Dampfes zu",,,,,
3249,Fletcher,Matthew,,,,,"rotierenden Dampfmaschinen besteht, Durch diese Entdeckung wird eine bedeutende Ersparniß","Expansionsmaschine, Dampfmaschine",Wien,,1842,22.07.1842
"",,,,,,,"an Brennstoff erzielt, ...",,,,,
"",,,,,,,"... zeigt ... an, eine Erfindung gemacht zu haben, welche in der Anwendung des Principes seiner",,,,,
3250,Fletcher,Matthew,,,,,"bereits am 03.01., 29.03. und 27.05.1842 priv. u. verb. kreisförmigen Dampfmaschine zu","Wasserturbine, Wasserkraftmaschine",Wien,,1843,21.01.1843
"",,,,,,,"Wasserrädern, ...",,,,,
"",,,,,,,"Beschreibung der Erfindung die Lokenwickler betreffend, welche von Gold, Silber, oder andern",,,,,
"",,,,,,,,"Lockenwickler, Haarschmuck,",,,,
3251,Hennig,Julius,Reihl,Eduard,,,"beliebigen Metal sehr reich verziert, oder sehr einfach verfertiget werden können, wodurch sie als",,Wien,,1843,07.02.1843
"",,,,,,,,"Goldwaren, Silberwaren",,,,
"",,,,,,,Haarschmuck dienen,,,,,
3252,Pasetti,Antonio,,,,,Macchina Tipografica perfezionata per un più celere metodo di stampa [Schnelldruckmaschine],Schnelldruckpresse,Wien,,1838,10.02.1838
"",,,,,,,,"Zuckerrübe, Keilpresse,",,,,
3253,Kasperowski,Adam,,,,,Beschreibung der Keilpressen. Beschreibung der drey beweglichen Lauterkessel,,Zurawniki,,1837,30.11.1837
"",,,,,,,,Raffinade/Zucker,,,,
