PrivRegNr,Name1,,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,,Beschreibung eines [mit Dampf getriebenen] Hammerwerkes zum Erzeugen und Schleifen der,,,,,
5371,Jurmann,Karl,,,,,,,"Säbel, Bajonett, Hammerwerk",Wien,,1845,05.08.1845
"",,,,,,,,Säbelklingen und Seitenwaffen [Abschrift],,,,,
5372,Lazzaroni,Giovanni Battista,,,,,,Ordigni serico-tecnici-economici per la filatura della seta ... [Seidenspinnmaschine],"Seide, Spinnmaschine",Milano,,1845,19.08.1845
5373,Alberizzi,Luigi,,,,,,"Descrizione della nuova invenzione di tappetto, o suppedaneo pieghe ... [Fußschemel]",Fußschemel,Pavia,,1845,01.04.1845
"",,,,,,,,"Descrizione della invenzione ... che consiste in sostanza di fabbricare durre il ferro, a mezzo di una",,,,,
5374,Bazo,Pietro,,,,,,,"Kupfer, Eisen",Venezia,,1846,22.01.1846
"",,,,,,,,macchina a vapore [Kupfererzeugung und Eisenschmelzung],,,,,
"",,,,,,,,Descrizione del nuovo miglioramento che ... consiste nella sostituzione di alcuni regoli ai Cilindri,,,,,
5375,Cerin,Serafino,,,,,,,Wäscherei,Padova,,1847,08.10.1847
"",,,,,,,,per facilitare l'azione del vapore sulla biancheria ... [Dampfwäscherei],,,,,
"",,,,,,,,Descrizione della nuova scoperta che ... consiste in sostanza di applicare la Miniatura ad olio sopra,,,,,
5376,Bonaldi,Francesco,,,,,,la Tela dietro la impressione di qualunque disegno sia in rume che in litografia ... [Leinwand-,"Leinwand, Zeugdruck",Venezia,,1847,02.03.1847
"",,,,,,,,Zeugdruck],,,,,
5377,Magrini,Enrico,,,,,,"Descrizione dello spinello ... per estrarre con facilità, e senza dispersione i fluidi dalle Botti [Pipe]",Pipe,Udine,,1846,28.09.1846
"",,,,,,,,Descrizione della nuova scoperta che ... consiste in sostanze nel fabbricare un nuovo Sapone,,,,,
5378,Levi,Giacomo Giorgio,,,,,,,Seife,Venezia,,1840,04.05.1840
"",,,,,,,,giallo: ... [Gelbe Seife],,,,,
"",,,,,,,,Descrizione della invenzione che ... consiste in sostanza nell'avere creati nuovi meccanismi per,,,,,
"",,,,,,,,,,San Vito del,,,
5379,Zuccheri,Paolo G.,,,,,,mezzo dei quali la seta greggia sorte lavorate per trame ed organzino ... [Aus roher Seide Trama,"Trama, Organtin, Spinnmaschine",,,1845,10.04.1845
"",,,,,,,,,,Tagliamento,,,
"",,,,,,,,und Organtin zu erzeugen],,,,,
5380,Klemm,Joseph,,,,,,Beschreibung der Verbesserung der englischen Zifferblatt Waage,Schnellwaage,Wien,,1849,23.07.1849
"",,,,,,,,"Beschreibung des ... zu Brüssel erfundenen neuen Sistems von streckbaren, geplätteten,",,,,,
5381,Marschal,Desire Joseph,,,,,,,"Eisenbahnschwelle, Geleise, Oberbau",Wien,,1843,23.06.1843
"",,,,,,,,unspröden und unoxidirbaren eisernen Eisenbahnblöcken ...,,,,,
5382,Sessevalle,Anatol,,,,,,Beschreibung ... auf neu erfundene Hakenschnallen ...,Schließe,Wien,,1846,02.11.1846
"",,,,,,,,"Verbesserungen Tücher und Fabrikate von einer ununterbrochenen Länge zu verarbeiten ...,",,,,,
"",,,,,,,,"ebenfalls neue Materialien für Körper der Filzhüte zu benützen, ferner in der Art Viehhaare zu",,,,,
5383,Bonfil,Ralph,,,,,,,"Filz, Filztuch, Verfilzen, Walken",Wien,,1839,15.09.1839
"",,,,,,,,"preparieren, um sie zum Filzen zu bereiten, und endlich gewebte wollene Tücher und andere",,,,,
"",,,,,,,,Fabrikate zu walken,,,,,
"",,,,,,,,"Ausführliche Beschreibung ... behufs eines Verfahrens, vermittelst dessen man im Stande ist,",,,,,
"",,,,,,,,mineralische oder sogenannte Steinkohlen zu schmelzen und die Erzeugnisse dieser Schmelzung,,,,,
5384,Polak,D.M.,,,,,,"zu benützen um Kohlenstaub in Stückkohlen, trockene oder magere in fette Kohlen, Torf in ein","Steinkohle, Teer, Brikett, Kitt",Wien,,1843,10.10.1843
"",,,,,,,,kräftiges Brandmaterial um zu schaffen und überdies aus der geschmolzenen Kohle einen,,,,,
"",,,,,,,,wasserdichten Kitt zu bilden,,,,,
"",,,,,,,,Beschreibung neuer Apparate und Vorrichtungen zur Wäscherei und zum Auslaugen und auch zu,,,,,
5385,Mercier,Sophie,,,,,,,Waschmaschine,Wien,,1847,11.08.1847
"",,,,,,,,andern Gebrauche,,,,,
5386,Jeiteles,Israel,,,,,,"Beschreibung der ... neuen Verbesserung in der Bürsten-Erzeugung, ...",Bürstenbinder,Wien,,1847,15.01.1847
5387,Emanuel,Henry,,,,,,Henry Emanuel's Verbesserungen an Atmosphärischen Eisenbahnen,Druckluftbahn,Wien,,1846,05.05.1846
5388,Bovill,George Hinton,,,,,,"Verbesserungen im Leiten des Gases für die Beleuchtung von Städten, Eisenbahnen usw.","Leuchtgas, Gasleitung",Wien,,1846,05.05.1846
"",,,,,,,,bitten ... um die ... Ertheilung eines ... Erfindungs-Privilegiums auf ihre Verbesserungen an den,,,,,
5389,Brenine,Ambrose,,Heathcoat,John,,,"Maschinen und Vorrichtungen, welche zum Abhaspeln oder Spinnen der Seide verwendet werden","Seide, Seidenhaspel, Spinnmaschine",Wien,,1846,04.11.1846
"",,,,,,,,... [Text dt.u.engl.],,,,,
"",,,,,,,,,"Wagen, Eisenbahnwagen,",,,,
5390,Bergue,Charles de,,,,,,Neues Federn System für Eisenbahn und andere Wägen,,Wien,,1846,04.11.1846
"",,,,,,,,,Federung/Wagen,,,,
"",,,,,,,,Verbesserungen in den Mitteln und Apparaten Feuer und Feuersbrünste zu dämpfen und zu,,,,,
5391,Mackenzie,Charles,,Philipps,William Henry,,,,Feuerlöscher,Wien,,1846,04.11.1846
"",,,,,,,,löschen,,,,,
5392,Friderik,Johann,,Loeve,Paul,,,Die Verbesserung in der Erzeugung undurchsichtiger Spielkarten,Spielkarte,Wien,,1843,25.01.1843
"",,,,,,,,"Beschreibung der von Karl Friedenthal, Ritterguts Besitzer, Erb- und Gerichts-Herr auf",,,,,
5393,Friedenthal,Karl,,,,,,"Geismansdorf, Laupitz und Jensch in preuß. Schlesien, und Pächter der k.k. Rutzendorfer",Hefe,Wien,,1845,28.04.1845
"",,,,,,,,"Brennerei in N.Oe., erfundenen Zusammenstellung Preßhefe /:trockene Gern:/ ... zu erzeugen, ...",,,,,
"",,,,,,,,"Zeichnungen und Beschreibungen eines mechanischen Streichers und eines ... mit Farbenbehälter,",,,,,
5394,Ganahl,Karl,,,,,,"wodurch bewirkt wird, daß eine beliebige Anzahl von Farben u. Schattirungen zu gleicher Zeit mit","Zeugdruck, Farbenbürste",Feldkirch,,1845,01.11.1845
"",,,,,,,,"einem Druck auf gewebte Stoffe, Papiere oder sonstige Gegenstände gedruckt werden kann ...",,,,,
"",,,,,,,,"Beschreibung der ... Entdeckung und Verbesserung, welche ... in einer neuen Spinn-Maschine mit",,,,,
5395,Coster,Franz de,,,,,,,"Spinnmaschine, Krempeln",Wien,,1845,07.08.1845
"",,,,,,,,"Kämmen, zum Flachs- und Hanf /:auch Werg:/ Spinnen geegnet, besteht, ...",,,,,
"",,,,,,,,Specification ... für gewisse Verbeserungen in der Verfertigung von Brennstoff und in Apparaten zu,,,,,
5396,Parsons,John,,,,,,,"Brikett, Pressen",Wien,,1845,13.12.1845
"",,,,,,,,dessen Anwendung,,,,,
"",Fontaine -,Peter Armand Graf,,,,,,"Beschreibung einer neuen Erfindung der Verfertigung von künstlichen Holzkohlen, oeconomische",,,,,
5397,,,,,,,,,"Brikett, Holzkohleersatz",Wien,,1845,29.12.1845
"",Moreau,v.,,,,,,"Kohlen genannt, die die natürliche in allen und jedem Gebrauche erstetzen können",,,,,
