PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,,Schlagworte,,Ort,Jahr,Einreichdatu
"",,,,,,,"Beschreibung der ... neuen Erfindung, welche ... darin besteht, daß er den Seidenplüsch (Felber)",,,,,,
63,Monecke,Sigfried,,,,,durch eine bloße Unterlage von seinem Tuche und eigene chemische Zubereitung ... Hüte zu,Hut,,Wien,,1821,24.09.1821
"",,,,,,,formen wisse ...,,,,,,
"",,,,,,,"Beschreibung der ... Verbesserung, welche ... darin bestehet, ein Schreibpapier unter dem",,,,,,
64,Drexler,Anton Ferdinand,,,,,"allgemeinen Namen Schulpapier zu erzeugen, welches durch sichtbare Linien theils das Schreiben",Schreibpapier,,Wien,,1824,01.10.1824
"",,,,,,,den Anfängern erleichtert ...,,,,,,
65,Reck,Friedrich,,,,,"Beschreibung der ... neuen Erfindung, welche ... darin besteht: Ein neues Tabakpfeifenrohr ...",Tabakspfeife,,Wien,,1823,23.09.1823
66,Sobetzki,Franz,Stumpf,Joseph,,,Beschreibung der ... entdeckten Verbesserung der metallenen Schreibfedern,Schreibfeder,,Wien,,1823,
67,Bollinger,Rudolph,Bollinger,Samuel,,,Beschreibung der ... neuen Verbesserung einer Zylinder-Handmühle ...,Handmühle,,Wien,,1822,18.07.1822
"",,,,,,,Beschreibung der Methode der in der k.k.priv.Gundramsdorfer Papier Fabrick auf gestellte,,,,,,
68,Uffenheimer,Jonathan Gabriel,,,,,,"Papier/Bleichen, Bleichen/Papier",,Wien,,1818,16.06.1818
"",,,,,,,Kunstbleiche geruchlos und unschädlich zu bleichen,,,,,,
69,Emperger,Anton Edl.v.,Emperger,Eugen Edl.v.,,,Neu erfundene Bleyweiß-Erzeugungsart,Bleiweiß,,Wien,,1819,27.03.1819
70,Bawinger,Laurenz,,,,,Genaue Beschreibung der Verfertigung von Papierhüten ...,Hut,,Wien,,1820,25.04.1820
"",,,,,,,"Zubereitung des Graphits zu feuerfestem, geruchlosen und unabfärbigen Küchengeschirr und","Kochgeschirr, Ofen,",,,,,
71,Smetana,Franz Anton,,,,,,,,Jamenitz,,1819,15.08.1819
"",,,,,,,Oefen,"Graphit/Kochgeschirr, Graphit/Ofen",,,,,
72,Effinger,Josefine,,,,,Beschreibung der ... neu erfundenen Stroh-Hüte,Hut,,Wien,,1820,
73,Jaeckel,Joseph,,,,,Beschreibung der Erfindung; Glas ohne Pottasche oder deren Surrogate ... und ohne Bleioxyd,Glas,,Wien,,1818,25.08.1818
"",,,,,,,"Beschreibung der ... neuen Erfindung ..., dass man alle Arten Damenhüte ohne Näherei mittels",,,,,,
74,Hauer,Georg,,,,,"Modeln verfertigen kann, sowohl aus bekannten Seiden, als auch aus eigens zur Verfertigung",Hut,,Wien,,1822,07.03.1822
"",,,,,,,dieser Hüte zubereiteten aufgelegten Stoffen ...,,,,,,
75,Landriani,Chevalier,,,,,Vier Stück Zeichnungen der Spinnmaschine [ohne Text],Spinnmaschine,,,,1826,
76,Braunlich,Karl Friedrich,& Sohn,,,,Abrisse und Erklärung der neu erfundenen Sammet-Band-Mühlstühle,"Bandstuhl, Samtband",,Wien,,1806,29.05.1806
"",,,,,,,,"Ditanaklasis, Orphica, Xaenorphica,",,,,,
