PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,Descrizione dell'invenzione del nuovo metodo d'incepare le campane con ceppi di ghiso e perni e,,,,,
5625,Barigozzi,Ermanno,,,,,,"Glockenstuhl, Läutwerk",Wien,,1850,12.12.1850
"",,,,,,,ruote di ferro [Eiserne Glockenstühle],,,,,
5626,Ott,Johann,,,,,Beschreibung des Sperrkopfes ... für hydraulische Doppelpressen,"Presse, Sperrstock",Wien,,1851,30.10.1851
"",,,,,,,Beschreibung der ... Erfindung eines Aufwinderegulators für Mull-Feinspinnmaschinen ...,,,,,
5627,Hartmann,Richard,,,,,,"Spinnmaschine, Fadenregulator",Dresden,,1847,05.06.1847
"",,,,,,,[Abschrift],,,,,
5628,Badel,Bernhard,,,,,"Beschreibung eines neuen Verfahrens, um fette Körper zu destilliren","Fett, Destillierapparat",Wien,,1849,22.11.1849
5629,Maserati,Antonio,,,,,Descrizione di un nuovo Muline a vento a del suo Meccanisme ...[Windmühle],Windmühle,Trieste,,1849,17.12.1849
"",,,,,,,Descrizione della nuova invenzione che ... consiste in sostanza in una macchina per una,,,,,
5630,Omboni,Carlo,,,,,,Reismühle,Como,,1850,23.12.1850
"",,,,,,,operazione preparatoria alla pilatura del riso [Reismühle],,,,,
5631,Krach,Gebrueder,,,,,Beschreibung der ... erfundenen Oberröcke oder Paletots die auf beiden Seiten zu tragen sind,"Mantel, Schneiderei",Prag,,1849,06.02.1849
5632,Noblé,Henry,,,,,Beschreibung und Zeichnung der Erfindung ... betreffend eine Lampe mit 2 oder 3 Luftzügen ...,Lampe,Wien,,1850,28.03.1850
"",,,,,,,"Beschreibung der ... neuen Hebmaschine für Wasser und alle Flüßigkeiten, sowie für feste Körper",,,,,
5633,Graf,Paul Wilhelm,,,,,,"Pumpe, Hebemaschine",Olmütz,,1846,11.05.1846
"",,,,,,,...,,,,,
5634,Remenka,Johann,,,,,"Beschreibung der ... Verbesserung in Verfertigung der Accordeons oder Blasbalgharmonika, ...",Ziehharmonika,Wien,,1847,10.03.1847
5635,Lieber,Ernst Ferdinand W.,,,,,Beschreibung & Erklärung des Separateurs,"Zuckerrübenpresse, Walzenpresse",Wien,,1847,12.02.1847
"",,,,,,,"Beschreibung für ein Verfahren aus Blei, Zinn, Zink und andern leicht flüßigen Metalle und","Bleiplatte, Zinnblech, Zinkblech,",,,,
5636,Fleisch,Franz,,,,,,,Wien,,1850,25.02.1850
"",,,,,,,"Legirungen Bleche ..., eben so Cilinder ... darzustellen ...","Bleirohr, Zinnrohr, Zinkrohr",,,,
"",,,,,,,Recept eine verbesserte Gesicht Pomade so wie auch das dazu gehörige Waschwasser für das,,,,,
5637,Casati,Alexandrine v.,,,,,,Hautcreme,Wien,,1838,11.06.1838
"",,,,,,,Gesicht,,,,,
5638,Schubert,Franz,,,,,Beschreibung der ... verbeßerten Wagen Maschin Fußtritte,Trittbrett,Wien,,1846,11.05.1846
5639,Wetterneck,Joseph,,,,,Zeichnung und Beschreibung der Verbesserungen an den sogenannten Gonval'schen Turbinen ...,Wasserturbine,Wien,,1847,20.02.1847
"",,,,,,,"Beschreibung der ... Erfindung, ..., daß mit einer neuen Maschine alle Arten von Nägel aus Draht","Nagel, Schneidemaschine,",,,,
5640,Chalange,Liphard,,,,,,,Wien,,1841,16.11.1841
"",,,,,,,oder aus anderem Metal ... gemacht werden können; ...,Kopfstauchen,,,,
"",,,,,,,"Beschreibung einer Maschine, welche mit stehndem Wasser in Bewegung gesetzt wird, und zu","Wasserkraftmaschine, Perpetuum",,,,
5641,Koeller,Johann,,,,,,,Wolfsegg,,1846,10.12.1846
"",,,,,,,jedem Triebwerk verwendbar ist,mobile,,,,
5642,Czapek,Joseph Ernst,,,,,Beschreibung der ... neu erfundenen Maschinen zur Erzeugung der rohen Zündhölzchen ...,"Zündholz, Hobelmaschine",Litschau,,1847,10.02.1847
5643,Bauer,Franz,Boehm,Karl,Riegler,Anton,Beschreibung der Bereitung der neu erfundenen Stearin Kerzen,"Stearin, Kerze",Wien,,1847,04.03.1847
"",,,,,,,Beschreibung der ... Entdeckung u. Verbesserung eines neuen Heitzungs-Systems mittelst,,,,,
"",,,,,,,"Verbindung des aus der Koks-Erzeugung gewonnenen Wärmestoffes, und einem damit",,,,,
5644,Bazile,Eugen,,,,,,"Koksofen, Zentralheizung",Wien,,1846,30.11.1846
"",,,,,,,verbundenen neuen System der freyen und natürlichen Einblasung /:Insufflation:/ der,,,,,
"",,,,,,,atmosphärischen Luft währen der Entwicklung und Comustion des Gases,,,,,
5645,Smith,Benjamin,,,,,Verbesserungen im Schmelzen der Kupfererze [Text dt.u.engl.],"Kupfer, Schmelzen",Wien,,1847,16.02.1847
"",,,,,,,Beschreibung der ... neuen Erfindung ... Pickelhauben und Helm Kappen aus jeder Gattung,,,,,
5646,Skallitzky,Wilhelm,,,,,,"Pickelhaube, Helm",Wien,,1850,04.02.1850
"",,,,,,,Leinenstoff /:Leinwand:/  zu erzeugen ...,,,,,
"",,,,,,,,,"Sommerfeld,",,,
5647,Kirst,Fr.,,,,,Erklärung des Kirst'schen neuen Condensations Apparat,"Dampfmaschine, Kondensator",Niederlausitz/Pr,,1848,23.11.1848
"",,,,,,,,,eußen,,,
"",,,,,,,"Beschreibung der ... Erfindung und Verbesserung, ...: aus der von den Gärbern bereits gebrauchten",,,,,
"",,,,,,,,"Gerberlohe, Extraktion, Gerbsäure,",,,,
5648,Hoering,Mathias,,,,,"Knoppern, Fichten und Eichen Lohe, den noch so reichlich darin befindlichen Gärbe- und",,Budweis,,1850,15.02.1850
"",,,,,,,,Farbextrakt,,,,
"",,,,,,,Färbestoff auf eine neue Art auszuziehen ...,,,,,
"",,,,,,,"Beschreibung der ... Entdeckung ...: daß er wasserdichte Zeuge mittelst Oehlfarben ververtiget,",,,,,
"",,,,,,,,"Wasserdichter Stoff, Wachstuch,",,,,
5649,Mayer,Stephan,,,,,"auf welchen Landschaften, Portraits, Karten, Verordnungen, Annoncen abgedrückt, und nach dem",,Linz,,1851,12.02.1851
"",,,,,,,,"Oelgemälde, Zeugdruck",,,,
"",,,,,,,"Trockenwerden ... nur überhaucht werden dürfen, um ein feuriges ... Oehlgemälde fertig zu haben",,,,,
"",,,,,,,,"Taschnerwaren, Zwirn/Imprägnierter,",,,,
5650,Lederer,Maria,geb. Schawel,,,,Beschreibung der ... neuen Verbesserung in Erzeugung von Taschnerwaren ...,,Wien,,1849,07.10.1849
"",,,,,,,,Imprägnierung/Zwirn,,,,
"",,,,,,,"Beschreibung der Erfindung ... betreffend das Fortbewegen von durch Dampf, oder anderer außer",,,,,
5651,Wenzl,Anton,,,,,,"Bergbahn, Wagen, Getriebe",Wien,,1850,05.07.1850
"",,,,,,,"thierischer Kräfte zu treibender, Wägen auf gewöhnlichen Straßen und Eisenbahnen",,,,,
