PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,Ort,Jahr,Einreichdatum
"",,,,,,,... bittet um Verleihung eines ausschl. Priv. ... auf die Einführung und Vervollkommnung einer von,,,,
5292,Clegg,Samuel,,,,,"ihm erfundenen Klappe, vermöge welcher ... man alle Gattungen Fuhrwerke auf den Eisenbahnen",Druckluftbahn,London,1839,01.03.1839
"",,,,,,,"fortschaffen kann, und zwar ... mittelst atmosphärischen Druckes [Text dt. u. it.]",,,,
5293,Hofner,Joseph,,,,,Beschreibung des ... auf ... eine neue Erfindung und Entdeckung in der Sigelung ...,Siegelapparat,Wien,1850,15.02.1850
5294,Hirschfeld,Wilhelm Karl,,,,,Beschreibung meiner verbesserten Kerzen-Industrie,"Unschlitt, Kerze",Triest,1847,19.09.1847
5295,Davy,Henry Savill,,,,,"Beschreibung gewisser Verbesserungen in der Construction des Gasmessers, ...",Gasmesser,Wien,1845,11.09.1845
5296,Dorr,Ebeneser May,,,,,Auf eine Erfindung und Verbesserung in der Fabrikation von Huf-Nägeln,"Hufnagel, Walzwerk",Wien,1845,04.08.1845
"",,,,,,,Descrizione della nuova scoperta invenzione ... che consiste in sostanza nell'applicare il gaz ossido,,,,
5297,Campioni,Luigi,Rezia,Giacomo,Falck,Enrico,,"Glas, Perle, Schmelzofen, Gasfeuerung",Porlezza,1845,14.04.1845
"",,,,,,,"di carbonio, od idrogene carbonato ... alla fabbricazione di qualunque sorta di vetro e cristalli",,,,
5298,Ascher,Jakob,,,,,"... Beschreibung ... der von ihm erfundenen Glasur-Zündhölzchen, ...","Zündholz, Glasur, Feuchtigkeitsschutz",Bad Teplitz,1847,29.07.1847
5299,Orth,Louis v.,,,,,Beschreibung einer neu erfundenen Typen-Spritz-Maschine,Schriftgießmaschine,Wien,1847,30.10.1847
5300,Stegmann,Ludwig,,,,,Beschreibung des neu erfundenen Luftreinigung- und Rauchableitungs Apparates,"Lüftung, Gebläse",Wien,1849,20.09.1849
"",,,,,,,"Descrizione e disegni della Macchina idraulica sotte il nome di ""Idroforo"" ...","Wasserhebemaschine, Bewässerung,",,,
5301,Molin,Antonio,,,,,,,Venezia,1850,27.03.1850
"",,,,,,,[Wasserhebemaschine],Entwässerung,,,
"",,,,,,,Beschreibung eines neu entdeckten Filtrir-Apparates zur Reinigung und Entfärbung des aus,,,,
5302,Cosciancich,Polikarp,,,,,,"Essig, Filtrierapparat",Triest,1847,28.02.1847
"",,,,,,,schlechtem rothem Weine erzeugten Essigs [Text dt. u. it.],,,,
5303,Josz,Bernard,Josz,Joseph,,,Erfindung der Tipenpetschaften ...,"Siegelapparat, Stempel",Triest,1843,
"",,,,,,,"Descrizione del modo di lavorare ed intessere i panierini, cestelli, vasi, bicchieri, paralumi, tele,",,,,
5304,Tommasi,Jacopo,,,,,,"Galanterie, Glasfaser",Venezia,1846,29.01.1846
"",,,,,,,"ornamenti femminili, e qualunque siasi altra manifattura di Vetro filato ... [Glasgespunst]",,,,
"",,,,,,,"Beschreibung und Zeichnung der ... Verbesserung der Lastwinden, ..., daß man die Lasten nicht nur",,,,
5305,Tschoffer,Moritz v.,,,,,"heben, sondern auch mit Leichtigkeit zur Seite setzen kann, welches vorzüglich für den",Wagenheber,Wien,1846,14.11.1846
"",,,,,,,Eisenbahnbetriebe wichtig ist,,,,
5306,Bollinger,Jakob,,,,,Beschreibung eines neu construirten und verbesserten Bierabkühlungs-Apparates ...,"Bier, Kühlapparat",Wien,1848,10.09.1848
"",,,,,,,"Beschreibung ... der Einmauerung eines Dampfkessels ... Grundsätze, auf welchen die",,,,
5307,Romming,G.,,,,,,"Dampfkessel, Feuerung",Brünn,1845,22.02.1845
"",,,,,,,"Construction der Heizung beruht, ...",,,,
5308,Locatelli,Luigi Melchiore,,,,,Descrizione del sistema di trattura della seta dei bozzoli ... [Die Seide von den Kokons abhaspeln],"Seidenkokon, Seidenhaspel",Milano,1845,30.05.1845
"",,,,,,,Descrizione della nuova invenzione ... consistente in dischi à ruotaje concentriche in Metallo ...,,,,
5309,Sieber,Pietro Cristoforo,,,,,,"Lokomotive, Wagenrad, Spurkranz",Parigi,1845,22.02.1845
"",,,,,,,[Spurkränze für Eisenbahnräder],,,,
"",,,,,,,"Descrizione ... di ... spremere ... di olij ..., la idea per la ... il privilegio e che ... consiste nell'applicare",,,,
5310,Perini,Francesco,,,,,,Oelpresse,Wien,1844,15.05.1844
"",,,,,,,una macchina a vapore ... [Dampfölpresse],,,,
"",,Fortunato,,,,,,,,,
"",,Giacomo Antonio,,,,,,,,,
"",,,,,,,...invenzione per un sistema di mosaico in porcelana e pelle macchine usative all'invenzione,,,,
5311,Esquille,Ruggiero Burand,,,,,,"Porzellanmosaik, Tonpresse",Venezia,1844,20.09.1844
"",,,,,,,[Porzellanmosaik und dazu gehörige Maschinen] [Text frz.],,,,
"",,de Monestrol,,,,,,,,,
"",,Marquis de,,,,,,,,,
"",,,,,,,"... überreicht ... die Beschreibung ... einer neu erfundenen Vorrichtung, bedeutend größere",,,,
5312,Morawetz,Franz,,,,,Quantitäten Wasser mit einem unbedeutend größeren Aufwande von Brennmateriale ... zu,"Dampfkessel, Feuerung",Wien,1844,20.10.1844
"",,,,,,,erhitzen,,,,
"",,,,,,,Beschreibung der ... Erfindung ...: daß sie mittelst einer eigends erfundenen maschinenartigen,,,,
5313,Heller,Balduin,Heller,Joseph,,,Vorrichtung an allen Stoff- und Butzenknöpfe ... den Ueberzug ... zu befestigen als auch den Knopf,"Knopf, Stoffüberzug, Hebelpresse",Prag,1844,14.12.1844
"",,,,,,,"selbst ... herzustellen in der Lage sind, ...",,,,
