PrivRegNr,Name1,,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,,"Beschreibung der ... Erfindung ...: in Vorrichtungen aller ... Arten, ... Requisiten und Beleuchtungs-","Lampe, Dekoration, Theaterrequisiten,",,,,
1588,Hoer,Karl,,,,,,,,Wien,,1834,21.08.1834
"",,,,,,,,"und Dekorirungsgegenständen der ... 1829 ganz neu entstandenen Illuminations Leih-Anstalt, ...",Transparent,,,,
"",,,,,,,,Descrizione del miglioramento che ... consiste in una Macchina la quale servi amacinare nel tempo,,,,,
1589,Dolci,Francesco,,,,,,,Sumachmühle,Verona,,1822,23.08.1822
"",,,,,,,,"stesso e polverizzare le frondi foglie dello Scodano ossia Somaci, ... [Sumachmühle]",,,,,
1590,Machowetz,Wenzel,,,,,,Beschreibung der von mir beabsichtigten Verbesserung der Männer Röcke und Beinkleider ...,"Kleidung, Schneiderei, Gummiband",Wien,,1834,23.10.1834
"",,,,,,,,"Beschreibung der ... Verbesserung, ...: 1. die ... Wagen, Mühlen und Maschinen Schmier ... 2. eine",,,,,
"",,,,,,,,Maschinen Salbe /:Frictions Liquor:/ zu erzeugen ... 3. einen Liquor zur Glänzung des Leders ... 4.,,,,,
1591,Mueller,Karl Ludwig,,,,,,,"Schmiermittel, Wichse, Fußbodenpasta",Wien,,1830,10.11.1830
"",,,,,,,,dieser Liquor ... zugleich eine Zimmerwichse ... wodurch die parquet Fußböden hellglänzend ...,,,,,
"",,,,,,,,werden können,,,,,
"",,,,,,,,"Beschreibung der ... Erfindung, ..., daß derselbe auf Bandmacher-Mühlstühlen Haaraßer Hals-Flöre",,,,,
1592,Tumfort,Franz,,,,,,,"Bandstuhl, Harrasband",Wien,,1821,17.04.1821
"",,,,,,,,verfertiget,,,,,
"",,,,,,,,"Descrizione della scoperta ... del modo di fabbricare ed apparecchiare li Pesci cotti ammarinati,","Aal, Marinieren, Bratapparat, Binderei,",,,,
1593,Bevilacqua,Antonio,,,,,,,,Venezia,,1821,10.05.1821
"",,,,,,,,"consistenti in Anguille arroste, ed Anguille fritte, ... [Fischmarinierung]",Mühle,,,,
"",,,,,,,,Descrizione della Scoperta che ... consiste nella fabbricazione di macchina a vapore ...,,,,,
1594,Bruschetti,Giuseppe,,,,,,,Dampfmaschine,Milano,,1825,02.09.1825
"",,,,,,,,[Dampfmaschine],,,,,
"",,,,,,,,Meine neue Erfindung besteht in der Bereitung und Zusammensetzung eines ... Parfüms ... unter,,,,,
"",,,,,,,,"dem Nahmen: allgemeiner Parfüm ... Die Haarpomade. Die flüssigen, dann auch durchsichtigen","Parfüm, Pomade, Seife, Hautcreme,",,,,
1595,Corda,Albert Daniel,,,,,,,,Wien,,1825,04.10.1825
"",,,,,,,,"und undruchsichtigen Seifen ... Handpulver. Handteig- und Milch. Handpomade oder Creme, Die",Glasblasrohr,,,,
"",,,,,,,,Glasblaserpfeifen ...,,,,,
"",,,,,,,,"Beschreibung der ... Verbesserung, ...: Strohgeflechte von beliebiger Anzahl Strohhalmen, reiner",,,,,
"",,,,,Josephine (geb.,,,,,,,,
1596,Miesel,Marie v.,,Periboni,,,,"und mit mehr Zeitersparniß erzeugt, und daraus jede Gattung Strohhütte nach florentiner Art","Stroh, Flechtmaschine, Hut",Wien,,1825,11.11.1825
"",,,,,Miesel),,,,,,,,
"",,,,,,,,können verfertiget werden,,,,,
"",,,,,,,,Nützliches oekonomisches Haus und Reisebüchlein nebst einen immerwährenden vollkommenen,,,,,
"",,,,,,,,Waschregister für Haushaltungen und auf Reisen. Auch Uebersichtstabelle für Einnahme und,,,,,
1597,Selka,Vinzenz Jakob,,,,,,,"Wäschetabelle, Merkbuch",Wien,,1825,19.09.1825
"",,,,,,,,Ausgaben nebst einem immerwährenden Datum und Monathzeuger nebst einer Börse-Tabelle,,,,,
"",,,,,,,,und Mittelen zur Heraubsbringung aller art Fleken ...,,,,,
