PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,,"Pisang, Blumenrohr, Wegerich,",,,,
"",,,,,,,,"Feigenbaum, Aloe, Agave, Pitte,",,,,
"",,,,,,,"Beschreibung einer neuen Erfindung und Verbesserung in der Fabrikation aller Papier-Gattungen,",,,,,
"",,Jakob Franz,,,,,,"Karataloe, Ravanala, Jute, Ananas,",,,,
3307,Hemberger,,,,,,"..., durch Anwendung eines aus Vegetabilien bereiteten Stoffes die hadern und andere bisher",,Wien,,1838,15.12.1838
"",,Heinrich,,,,,,"Kokospalme, Palme, Fächerpalme,",,,,
"",,,,,,,hierzu verwendete Stoffe theilweise oder ganz zu ersetzen,,,,,
"",,,,,,,,"Flachs/Neuseeländischer, Zuckerrohr,",,,,
"",,,,,,,,Papier,,,,
"",,Jakob Franz,,,,,"Verbesserungen bei dem Baue von Eisenbahnen, wornach man jede Anhöhe leicht ersteigen, und",,,,,
3308,Hemberger,,,,,,,"Bergbahn, Steigung",Wien,,1838,31.10.1838
"",,Heinrich,,,,,jeden Abhang ohne Gefahr befahren kann,,,,,
"",,,,,,,"Beschreibung der Dampf-Tambours, Trommeln Röhren, sogenannten Tammbouretten, zum",,,,,
"",,,,,,,,"Trockenapparat, Wäscherolle,",,,,
3309,Karis,Franz,Kurth,Eduard,,,trocknen der nassen Wäsche und einer mechanischen Rolle ohne Ende zum mangen der Wäsche;,,Wien,,1841,20.12.1841
"",,,,,,,,Waschmaschine,,,,
"",,,,,,,sodann eines Sicherheits-Dampf-Kübels,,,,,
"",,,,,,,,"Broschieren, Webstuhl, Stoff,",,,,
3310,Haas,Philipp,,,,,"Beschreibung der neuen Methode zu Broschieren, ...",,Wien,,1838,24.09.1838
"",,,,,,,,Broschierter,,,,
"",,,,,,,"Beschreibung des Lufterwärmungs Apparates, welches bey Hochöfen zur Schmelzung des",,,,,
3311,Steininger,Christian,,,,,"Eisensteines, und bey den Frischfeuern zur Verfrischung des Roch und Zerreneisen als eine neue","Hochofen, Frischofen, Luftvorwärmer",Wels,,1833,01.08.1833
"",,,,,,,Verbesserung in Anwendung kömt,,,,,
3312,Fleischer,Gebrueder,,,,,Beschreibung der von uns neu erfundenen Cigarrentaschen,Zigarrenetui,Wien,,1842,01.12.1842
