PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,Ort,Jahr,Einreichdatum
"",,,,,,,Perfezionamenti immaginati ... nelle diverse operazioni richieste ad ottenere da bozzoli la seta,,,,
5108,Verità,Ferdinando,,,,,,"Organtin, Seidenhaspel, Seidenkokon",Milano,1844,31.05.1844
"",,,,,,,perfettamento organzinata [Organzinseide aus dem Seidekokon gewinnen],,,,
"",,,,,,,,"Lack, Korrosionsschutz,",,,
5109,Gimper,Johann,,,,,Beschreibung einer neu erfundenen Steinlack,,Wien,1844,13.12.1844
"",,,,,,,,Feuchtigkeitsschutz,,,
5110,Hueber,Joseph,,,,,Nachtrags-Beschreibung der ... neuen Ofenheitzmaschine ...,Ofen,Wien,1845,17.09.1845
5111,Schmid,Anton,,,,,Beschreibung der Verbesserung des Bierkühl-Apparates,"Bier, Kühlapparat",Wien,1846,13.05.1846
"",,,,,,,"Beschreibung der Erfindungs des Hector Ledru zu Paris, bestehend in einer neuen Maschine,",,,,
"",,,,,,,"genannt Automanometrique, welche die Functionen 1) einer Dampfmaschine, 2) einer",,,,
5112,Ledru,Hector,,,,,,"Dampfmaschine, Pumpe, Gebläse",Wien,1847,01.10.1847
"",,,,,,,"hydraulischen Maschine, 3) einer Luftpumpe, 4) einer Blasemaschine und Luftdruckmaschine, und",,,,
"",,,,,,,5) eines Ventilators zur Erneuerung der Luft versieht [Text dt.u.frz.],,,,
"",,Jakob Franz,,,,,Beschreibung der ... Verbesserung ...: Mittelst eines eigenthümlichen Apparatts ... aus gewissen,,,,
5113,Hemberger,,,,,,,"Kerze, Presse",Wien,1847,11.11.1847
"",,Heinrich,,,,,"Fettstoffen, ..., sowohl Lichter als Kerzen zu erzeugen",,,,
5114,Kappeler,Balthasar,,,,,Beschreibung des neuerfundenen Feuergewehres,Gewehr,Wien,1848,13.06.1848
5115,Kappeler,Balthasar,,,,,Beschreibung der Blutegel-Maschine,Blutentziehung,Wien,1848,13.06.1848
5116,Zahony,J.C.R.v.,,,,,"Beschreibung des neu erfundenen Apparates, um im luftleeren Raume Flüßigkeiten abzudampfen","Vakuumapparat, Verdampfapparat",Görz,1834,02.08.1834
"",,,,,,,Beschreibung der Erfindung einer Bleiröhren-Streckmaschine und eines Verfahrens um die zu,,,,
5117,Bohr,Ludwig R.v.,,,,,"ektrischen Leitungen bestimmten Drähte dergestalt mit Bleiröhren ... zu überziehen, daß der","Bleirohr, Rohrziehbank, Kabel",Kottingbrunn,1847,11.03.1847
"",,,,,,,"Leitungsdraht ... vollkommen isolirt und ... geschützt wird, ...",,,,
"",,,,,,,Beschreibung einer Verbesserung in der Einrichtung der priv. Oelgas-Brenner des Herrn Carl v.,,,,
5118,Hoenig,Johann,Nagy,Carl v.,,,,"Lampe, Brenner",Wien,1847,11.12.1847
"",,,,,,,Nagy /: mit dessen Einverständniß:/ ...,,,,
"",,,,,,,"Versiegelte Beschreibung ... der Erfindung: geographische Landkarten, Pläne, Zeichnungen etc.",,,,
5119,Raffelsp[b]erger,Franz,,,,,,"Holzschnitt, Kartographie",Wien,1837,15.01.1837
"",,,,,,,durch die Typographie erzeugen zu können,,,,
"",,,,,,,"... zeigt ... an, noch eine ... Verbesserung der kreisförmigen Dampfmaschinen, welche kreisförmige",,,,
"",,,,,,,"Bewegung zu Luftpumpen der Dampfmaschinen und andern Pumpen, dann der",,,,
5120,Fletcher,Matthew,,,,,,"Dampfmaschine, Pumpe, Drehkolben",Wien,1842,30.03.1842
"",,,,,,,"Dampfschiffwasserrädern ... angewendet werden kann, gemacht zu haben, welche in ... einer",,,,
"",,,,,,,"neuen Methode besteht, die Reibung zu vermeiden, ...",,,,
"",,,,,,,"... zeigt ... an, eine Verbesserung der kreisförmigen Dampfmaschinen gemacht zu haben, welche",,,,
5121,Fletcher,Matthew,,,,,"kreisförmige Bewegung zu Luftpumpen der Dampfmaschinen und andern Pumpen, dann zu","Dampfmaschine, Pumpe, Drehkolben",Wien,1841,08.11.1841
"",,,,,,,dampfschiffswasserrädern mit größtem Vortheil angewendet werden kann,,,,
5122,Huber,Joseph,,,,,"Beschreibung der ... Erfindung, aus Eisenblech Messer- und Gabelhefte zu erzeugen","Messerheft, Gabelheft, Eßbesteckheft",Sierning,1844,04.10.1844
5123,Loosey,Karl,,,,,Beschreibung der Verbesserung in der Fabrication des Eisens und Stahles,"Eisen, Raffinade/Eisen, Stahl",Wien,1845,04.02.1845
