PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,,Schlagworte,,Ort,Jahr,Einreichdatum
2836,Kauffmann,Christian,,,,,Beschreibung ... über die Zeichnung seiner neu verbeßerten Sonnenlampen,Lampe,,Wien,,1841,25.01.1841
"",,,,,,,"Beschreibung der ... Erfindung, ...: alle Arten Linien und Rubricken ... mittelst einer Maschine,",,,,,,
2837,Bartsch,Joseph Gregor,,,,,,"Liniermaschine, Papier, Rubriziertes",,Wien,,1840,24.12.1840
"",,,,,,,"genannt: Universal-Rastrir- und Rubricirmaschine, herzustellen, ...",,,,,,
"",,,,,,,"Beschreibung der ... Erfindung, nämlich von verschiedenen Gold, Silber und Bronz allerley Artikeln",,,,,,
"",,,,,,,"von Schmukwaare, Filigran nudirter Arbeit, dann gestampfter oder gepreßter, ... zu verfertigen,","Goldwaren, Silberwaren,Bronzewaren,",,,,,
2838,Katzer,Georg,,,,,,,,Wien,,1841,16.01.1841
"",,,,,,,"daß Samt, Atlas, Gros de Naple, Stichereyen und verschiedene andere edle Stoffe, als Emailie","Schmuck, Filigran, Emaillieren",,,,,
"",,,,,,,"dienen, ...",,,,,,
"",,,,,,,"Um die Band-Mühlstühle bey der nähmlichen Zahl von Bändern /:Lauf:/ kürzer zu machen, hat der",,,,,,
2839,Schwerdtner,Johann,,,,,,"Kreisschütze, Bandstuhl",,Wien,,1839,06.10.1839
"",,,,,,,"Unterzeichnete Kreisförmige Schützen restruirt, ...",,,,,,
"",,,,,,,"Beschreibung sammt zwey Muster der ... neu erfundenen Verbesserung, die echten und",,,,,,
2840,Laun,Johann,,,,,,"Goldborte, Silberborte, Bandstuhl",,Wien,,1841,30.04.1841
"",,,,,,,"Leonischen Borden auf einen MaschinMühlstuhl zu erzeugen, ...",,,,,,
2841,Bollini,Angelo,,,,,Descrizione dei due Inchiostri ... [Tinte],Tinte,,Milano,,1840,20.10.1840
"",,,,,,,Descrizione: Articoli risguardenti il metodo da tenersi per la Fabbricazione del plaqu'd'oro sopra,,,,,,
2842,Santagostino,Camillo,,,,,,"Silber, Dublee",,Milano,,1836,31.10.1836
"",,,,,,,l'argento [Goldplattierung auf Silber],,,,,,
"",,,,,,,Beschreibung der ... Erfindung: 1.) eine ganz neue Gattung Oelsparlampen und Kerzen Dochte zu,,,,,,
2843,Denner,Heinrich,Lessmann,Philipp,,,,"Docht, Geldbörse, Tabaksbeutel",,Wien,,1840,05.04.1840
"",,,,,,,"verfertigen, ... 2.) Geld, Tobaksbeutel, und Geldbörsen ohne Nath",,,,,,
