PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel Schlagworte,,,Ort,Jahr,Einreichdatu
"",,,,,,,"... zeiget ...an, eine neue Erfindung gemacht zu haben, ..., eine Gattung Gewölbe- und",,,,,
952,Handl,Karl Michael,,,,,"Ziegel, Gewölbeziegel, Schamottestein",,Wien,,1823,06.03.1823
"",,,,,,,"Mauerziegeln sowohl aus gemeinen, als überhaupt aus Feuerfester Tonerde zu verfertigen, ...",,,,,
"",,,,,,,Beschreibung der Erfindung daß:selbe alle Gattungen Sonnenschirme ausgenommen runde,,,,,
953,Hirschfeld,Karl,Koller,Joseph,Pichler,Joseph,Sonnenschirm,,Wien,,1823,27.05.1823
"",,,,,,,(welche dermalen bestehen) auf eine besondere Art zu erzeugen im Stande sind,,,,,
"",,,,,,,Beschreibung eines Pianoforte mit einem neu erfundenen gewölbten Resonanzboden und,,,,,
954,Anders,Johann,,,,,"Klavier, Resonanzboden",,Wien,,1824,12.10.1824
"",,,,,,,Verbesserten Mechanik,,,,,
"",,,,,,,"Beschreibung der Verbesserung daß: sie sogenannte Waschhosenträger verfertigen, welche nicht",,,,,
"",,,,,,,"nur an Dauerhaftigkeit die bisher gewöhnlichen übertreffen, sondern auch noch den Vortheil",,,,,
955,Dufek,Johann,Forschner,Ernst,,,"gewähren, daß sowohl die Federüberzüge als die Bänder ohne etwas zu zertrennen gewaschen, Hosenträger",,Wien,,1824,19.10.1824
"",,,,,,,"und was Metall daran ist, beliebig herausgenommen werden kann, um die sich ansetzenden",,,,,
"",,,,,,,Grünspann zu verhindern,,,,,
"",,,,,,,"Beschreibung der ... Erfindung, ..., daß die Filtzhüte, wenn sie damit gesteift werden jeden",,,,,
956,Baal,Anton sen.,Baal,Anton jun.,,,"Wechsel der Witterung trotzen, und ihre Elastizität wege des bey dieser Massa befindlichen fetten Hut",,Wien,,1824,16.09.1824
"",,,,,,,"Körpers sowohl in Wasser als auch ausser Wasser stets beybehalten und nicht brechen, ...",,,,,
"",,,,,,,"Beschreibung der ... Entdeckung, ..., daß der Schmelzofen nach einer ganz neuen Art gebauet ist,",,,,,
"",,,,,,,in welchem alle Gattungen Metall ... in selbst verfertigten besonders feuerbeständigen,,,,,
957,Reisser,Robert,,,,,"Schmelztiegeln, ... geschmolzen werden, und bei diesem Ofen, durch die getroffene Einrichtung Schmelzofen, Gießerei, Schlaglot",,Wien,,1824,23.10.1824
"",,,,,,,"die bisher angewendeten Holzkohle entbehrlich gemacht, und die Gießerei mit Steinkohle",,,,,
"",,,,,,,betrieben wird,,,,,
"",,,,,,,"Beschreibung der ... Entdeckung, ..., jeden Keller oder unterirdisches Gewölbe ohne Ausnahme,",,,,,
"",,,,,,,"welche dem Eindringen des Wassers ausgesetzt sind, durch einen durch ihn erfundenen Mörtel Mauer, Keller, Gewölbe,",,,,,
958,Vedrine,Louis di,,,,,,,Wien,,1824,29.10.1824
"",,,,,,,"dergestalt zu sichern, daß solche nicht der geringsten Feuchtigkeit mehr unterliegen und das Feuchtigkeitsschutz, Estrich",,,,,
"",,,,,,,Wasser auf immer verschwindet,,,,,
959,Schefteles,Beermann,,,,,"Beschreibung der Compositions-Massen, woraus seine Zwey Gattungen Kertzen bestehen Kerze, Unschlitt, Wachs",,Wien,,1824,02.09.1824
"",,,,,,,"Beschreibung der Farben-Compositionsmasse, wovon die gefärbten Spermazet- und",,,,,
960,Paklor,Anton,Wertheimer,Jakob,,,"Kerze, Unschlit, Wachs, Färben/Kerze",,Wien,,1824,10.11.1824
"",,,,,,,"Inslichtkerzen bereitet und erzeugt werden, ...",,,,,
"",,,,,,,"Die neu erfundene Bauart ...: 1. daß nach jeder ... Zeichnung eines Gebäudes, ... nach Belieben ...",,,,,
961,Hoegelmueller,Georg R.v.,Lux,Johann Georg,,,ein Gerippe von Holz oder Eisen aufgeführt wird. 2. Die Zwischenräume ... werden ... mit Holzriegelwandbau,,Wien,,1823,24.06.1823
"",,,,,,,"Mauerziegeln ausgefüllt, und von beiden Seiten mit Malter angeworfen ...",,,,,
"",,,,,,,"Beschreibung der ... Erfindung eine Gantz neue Composition, womit man die sonst in Ostindien",,,,,
962,Gersch,Ferdinand,,,,,"Zeugdruck, Dessing",,Wien,,1824,14.01.1824
"",,,,,,,und England gebundene Seidenstoffe und Tücher wie auch Baumwollen Zeuge Drucken kann ...,,,,,
"",,,,,,,"Diese neue Entdeckung, ..., besteht im Wesentlichen darin: ""daß er Gallerte und Leim von",,,,,
"",,,,,,,vorzüglicher Schönheit Güte und Brauchbarkeit aus zermalmten Knochen ohne alle Säuren und,,,,,
963,Emperger,Anton Franz Edl.v.,,,,,"Gallerte, Leim, Papin'scher Topf",,Wien,,1823,30.12.1823
"",,,,,,,Alcalien bloß durch Erhöhung der Temperatur in verschlossenen Raum / eigentlich mit Hilfe des,,,,,
"",,,,,,,"Pappinnyschen Topfes / erzeuge, und diese Erzeugung bereits im Großen ausgeführt habe""",,,,,
"",,,,,,,"Beschreibung der ... Erfindung, ..., daß 1.) Auf einem eigens erfundenen Webstuhl alle Gattungen",,,,,
"",,,,,,,"gewebter Waaren mit verschiedenen Dessings, sowohl fassonirt, croisirt, als auch gestickt,",,,,,
964,Pfundmayr,Serafin,,,,,"doppelte Stuck jedes Stuck nach beliebiger Breite, ... zu verfertigen ...2.) Können auch vier Stück ... Webstuhl, Dessin, Drahtgewebe",,Wien,,1825,31.03.1825
"",,,,,,,"verfertigt werden ... 6.) Kann auf diesem Stuhle ... zwey Stuck feiner Metalldrahtwaren, zu Sieb-",,,,,
"",,,,,,,und Papierformen verfertigt werden,,,,,
"",,,,,,,"... Miteigenthümer des Privilegiums auf eine verbesserte Wappendruckmaschine zeiget ... an, daß",,,,,
"",,,,,,,"er eine neue Verbesserung dieser Maschine erfunden habe, vermöge welcher der Druck und",,,,,
965,Wilda,Gottfried,,,,,Druckmaschine,,Wien,,1830,30.01.1830
"",,,,,,,"Gegendruck reiner, vollkommener, schneller, wohlfeiler, und mit weniger Kosten Aufwand",,,,,
"",,,,,,,bewerkstelliget werden könne,,,,,
"",,,,,,,"Beschreibung der ... Erfindung und Verbesserung der Bandmühlstühle, ..., mittelst einer neuen",,,,,
966,Neuffer,,Wreden,,,,Bandstuhl,,Wien,,1823,09.12.1823
"",,,,,,,"Vorrichtung zu doppelten Lauf auf jedem Nühlstuhle die doppelte Quantität Band zu erzeugen, ...",,,,,
"",,,,,,,"Verbesserung der Schmelzöfen, oder Vervollkommnung des Schmelzprozesses an Ersparung von",,,,,
967,Dingler,Heinrich,,,,,"Brennmaterial, Zeit und Metallabgang durch Hinzuführen zweyer der jetzigen Verbrennungs- Hochofen, Feuerung",,Wien,,1824,30.01.1824
"",,,,,,,Theorie entsprechenden Gasarten:,,,,,
"",,,,,,,"Beschreibung der ... Erfindung, ..., daß er alle Gattungen gefärbter Lein und Baumwoll-Waaren in",,,,,
968,Strauss,Albert,,,,,"Stücken und Kleidern durch chemische Entfärbung ihre ursprüngliche weiße Farbe, ohne dem Baumwollwaren, Leinwand, Entfärben",,Wien,,1824,05.02.1824
