PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatu
"",,,,,,,"Beschreibung der ... Erfindung, mittelst eines in der Form und Größe einer gewöhnlichen",,,,,
1063,Strixner,Johann Baptist,,,,,,Gewehrschloß,Wien,,1824,03.11.1824
"",,,,,,,Gewehrpfanne angebrachten Wellenbaumes ein doppeltes Feuer hervorzubringen,,,,,
1064,Schleinitz,Anton Edl.v.,,,,,Erklärung über die Verbesserung des Schriftgußinstrumentes,Schriftgießapparat,Graz,,1832,27.02.1832
1065,Vallier,Joseph,,,,,Beschreibung des einfachen unbeweglichen geruchlosen Senkgruben Apparates,"Senkgrube, Abort",Wien,,1825,19.04.1825
"",,,,,,,Diese neue Art von Rubriquen Eintragung ohne Feder Dinte Bleystift oder sonstigen,,,,,
1066,Mueller,Ignaz,,,,,"Schreibmateriale, ..., welche besonders anwendbar ist zu Wäsch-Speise-Bier-Wein-Liquer-Billard-","Wäschetabelle, Registrierapparat",Wien,,1825,25.01.1825
"",,,,,,,Kaffeehauß Holzzetteln oder Tabellen ...,,,,,
"",,,,,,,"Dieser Posamentirer Hand Stuhl ist mit mehreren Wellen, und verschiedener breite aller Dessenen",,,,,
1067,Kienesperger,Joseph Franz,,,,,"von Gold, Silber, Seiden und Atlas Borten zu bereitet, wodurch die Czako und Corsse Hütte Borten",Borte,Wien,,1824,02.09.1824
"",,,,,,,in einem bogen eines halbrunden Zirkels bearbeitet werden,,,,,
"",,,,,,,"Beschreibung der Compositions-Masse, woraus die 2 Gattungen Kerzen, ... bereitet und erzeugt",,,,,
1068,Wertheimer,Jakob,,,,,,"Kerze, Wachs, Unschlitt, Docht",Wien,,1824,02.11.1824
"",,,,,,,werden; als die Bereitung der zu beiden Kerzengattungen vorgerehteter Dochte; ...,,,,,
"",,,,,,,"... zeiget ... an, eine neuen Endteckung gemacht zu haben, ..., daß er nicht nur nach der in",,,,,
"",,,,,,,"Frankreich üblichen Art, aus glatten, gestreiften u. dessinirerten Metalldraht Geweben, alle",,,,,
1069,Philippi,Johann Gottfried,,,,,"Gattungen von Damen-Arbeits, dann Obst, Blumen u. Dessert Körbchen ... zu erzeugen im Stande","Drahtgewebe, Dessin, Galanterie, Sieb",Wien,,1825,06.04.1825
"",,,,,,,"sey, sondern auch Stürze zu Nachtlampen, über Speisen Obst, Blumen u. Pflanzen usw. ... Endlich",,,,,
"",,,,,,,"zu Masken, concaven Sieben ...",,,,,
"",,,,,,,Beschreibung des ... neu erfundenen Baues der Schlösser auf einfache oder doppelte Jagd- oder,,,,,
1070,Contriner,Johann,,,,,,"Gewehrschloß, Jagdgewehr",Wien,,1825,18.11.1825
"",,,,,,,Luxus Kapsel gewehre,,,,,
1071,Hennig,Georg,,,,,Beschreibung der tragbaren - Brücken Waage,Dezimalwaage,Wien,,1826,31.03.1826
1072,Rossy,Anton,,,,,Beschreibung der ökonomischen Klappen-Kiel-Schreibfedern,Schreibfeder,Wien,,1824,11.11.1824
"",,,,,,,"Beschreibung überdie Entdeckung, Erfindung und Verbesserung 1. des Chinesischen Zeichen",,,,,
"",,,,,,,,"Tusch, Oelfarbe, Aquarellfarbe, Ruß,",,,,
"",,,,,,,Tusches ... 2. Vervollkommnung der Zeichnungs und Mahlerfarben. 3. Von der Raffinirung des,,,,,
