PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,Desc[r]izione della Machina di nuova invenzione ... dalla ditta Fratelli Andreoli per la fabbricazione,,,,
1520,Andreoli,Pietro,,,,,Papiermaschine,,Toscolano,1825,28.08.1825
"",,,,,,,... di Carta ... [Papiermaschine],,,,
1521,The Losen,Gebrueder,,,,,"Beschreibung zur beiliegenden Zeichnung einer ... Wollwasch-Maschine Wollwäsche, Waschmaschine",,Rittersfeld,1825,20.10.1825
"",,,,,,,"Beschreibung der einzelnen Bestandtheile des Mechanismus der ... durch Wasser, Dampf, oder",,,,
1522,The Losen,Gebrueder,,,,,"irgend eine andere Kraft in Bewegung zu bringenden, übrigens ganz von selbst gehenden Vorspinn- Vorbereitungsmaschine",,Rittersfeld,1825,07.10.1825
"",,,,,,,Maschine,,,,
1523,Reichenberger,Salomon,,,,,"Beschreibung der neuen Erfindung in der Leder-Gerber und Ferberey Leder, Gerberei, Färben/Leder",,Wien,1825,21.10.1825
"",,,,,,,"Schneiderei, Knopfloch, Flechtarbeit,",,,,
1524,Fridmann,Markus,Grossmann,Isaak,,,Beschreibung der neu verbesserung der Kleidermacherey,,Wien,1825,21.10.1825
"",,,,,,,"Kordel, Roßhaar",,,,
"",,,,,,,"Beschreibung der ... Verbesserung seines products, ...: 1. daß sie als Tinte äusserst wenig ... Satz",,,,
1525,Honig,Ferdinand,,,,,bilde ... 2. daß sie eine mehr als gewöhnliche tierische Schwärze besitzt ... 3. daß sie ... keiner ... Tinte,,Wien,1825,10.11.1825
"",,,,,,,Verbleichung unterliegen könne. 4. daß sie unter gar keinen Umständen schimmle ...,,,,
"",,,,,,,"Beschreibung, Zeichnung u. Revers der ... Erfindung, ...: mittels einer hydropneumatischen Pumpe",,,,
"",,,,,,,"Leuchtgas, Gasregulator, Presse,",,,,
1526,Browne,John,,,,,"... das Gas zusammen zu pressen, und das zusammengepresste Gas auf eine neue Art durch Ein-",,Wien,1825,09.05.1828
"",,,,,,,"Ventil, Lampe",,,,
"",,,,,,,"und Auslaßklappen in die Lampe oder Globen zu füllen, und dann zum Verbrauche zu vertheilen",,,,
"",,,,,,,Beschreibung des neu erfundenen Privilegiums ...: Aus besonders rein geläutertem Unschlitte,,,,
"",,,,,,,gegossene mit in Spiritus getränkten baumwollenen Umfassung umhüllten Holz- Stroh- Binsen-,,,,
1527,Poehm,Vinzenz,,,,,"Unschlitt, Kerze, Docht",,Wien,1825,22.03.1825
"",,,,,,,"und Wachskerzel-Dochten, vorzüglich mit Wachholderholzdochten versehene ...",,,,
"",,,,,,,"Unschlittafelkerzen zu erzeugen, ...",,,,
1528,Tosi,Giovanni Battista,,,,,"Dissegno ... Serrame a Luchetto ... [Schloß] Schloß, Schlüssel",,Wien,1827,19.12.1827
1529,Vanni,Ignazio,,,,,"Chymischer Process, den Indig aus blaugefärbter Wolle zu gewinnen [Text dt.u.ital.] Indigo, Extraktionsapparat, Farbextrakt",,Wien,1830,16.04.1830
"",,,,,,,"... Erfindung, ...: daß er eine oder mehrere Mangen zugleich in jeder beliebigen Dimension nach",,,,
"",,,,,,,dem Prinzip der englischen Patent-Mange mit abwechselnd vor- und rückwärts gehender,,,,
1530,Schlesinger,Michael,,,,,"Wäscherolle, Appreturmaschine",,Wien,1830,30.12.1830
"",,,,,,,Bewegung mittelst einer Dampfmaschine ... in betrieb setzt und mit dieser gleichzeitig den Gang,,,,
"",,,,,,,"einer Glättmaschine bewirkt, wodurch die Appretur von Stoffen ... erzeugt wird ...",,,,
"",,,,,,,"Beschreibung meiner ... Verbesserung, Essigsaures Bley mittels Holzessig zu erzeugen. Bleizucker, Holzessig,",,,,
1531,Richter,Anton,,,,,"Beschreibung der Holzessig Reinigung. Beschreibung der Erfindung, Bleiweiß zu erzeugen. Raffinade/Holzessig, Bleiweiß,",,Wien,1824,15.12.1824
"",,,,,,,Beschreibung meines verbesserten Verkohlungs-Ofen Verkohlen,,,,
1532,Tschuda,Vinzenz,,,,,"Beschreibung der Dampfapparate zur Oehlmanipulazion Oel, Wärmeapparat, Pumpe",,Triest,1832,06.02.1832
"",,,,,,,"Beschreibung der ... Erfindung, mittelst einer Preß-Walzen-Maschine eiserne Nägel durch den",,,,
1533,Bernard,Johann,Seidenkoehl,Anton,,,"Nagel, Presse",,Prag,1827,27.02.1827
"",,,,,,,Druck aus einem glühenden Eisenstangl zu bilden,,,,
"",,,,,,,Beschreibung der Verbesserung der Maaßgeschirre /:Zimenter:/ aus reinen feinen Zinn zum,,,,
1534,Danzl,Johann Alois,Danzl,Joseph Georg,,,"Hohlmaß, Zinngeschirr",,Wien,1824,14.09.1824
"",,,,,,,"Gebrauche für Branntweiner, Wein-Bierwirthe, Essighändler, Handelsleute etc.",,,,
