PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,Ort,Jahr,Einreichdatum
"",,,,,,,L'oggeto di questo meccanismo è di far rimontare le barche sui canali navigabili e in seguito anche,,,,
1375,Torchi,Luigi,,,,,,"Schiffsantrieb, Getriebe",Milano,1835,28.04.1835
"",,,,,,,"sui fiumi, approfitando della forza stessa delle correnti [Schiff zur Bergfahrt]",,,,
"",,,,,,,"Diese Verbesserung besteht darin, daß die Nähte auswendig durch einfaches Uiber einanderlegen",,,,
1376,Fritz,Franz,,,,,,"Schneiderei, Kleidung",Graz,1835,16.02.1835
"",,,,,,,des Stoffes mittelst Durchnähens ... gemacht werden ...,,,,
"",,,,,,,"Darstellung der Geheimniße bei Erzeugung der feuerfesten Schmelz-Tiegel, Töpferarbeiten,",,,,
1377,Dirnboeck,Johann August,Schindler,Johann Michael,,,,Schmelztiegel,Graz,1835,16.02.1835
"",,,,,,,chemischen Apparatur und Ziegel zu Schmelzöfen,,,,
"",,,,,,,"... zeigt an, daß er eine neue Erfindung gemacht habe, ..., daß auf alle Meublex die feinsten",,,,
1378,Knobloch,Anton,,,,,"Zeichnunge, Portraits u. Schriften auf Gold Silber u. Metal mittels einer gestochenen Stahlplatte ...","Druckmaschine, Dessin, Möbel",Wien,1834,08.07.1834
"",,,,,,,aufgepreßt werden können,,,,
"",,,,,,,"Beschreibung der ... Erfindung, ..., die für Kastenbeschläge gebräuchlichen Knöpfe nicht mehr aus",,,,
"",,,,,,,"zwey oder mehreren gegossenen theilen zu erzeugen, sondern in einem einzigen Stücke ..., daß",,,,
1379,Steimlen,Christoph,,,,,,Beschlag,Wien,1834,25.06.1834
"",,,,,,,"solche mittelst einer eigenen Maschiene gebogen, glatt oder mit jeder beliebigen Verzierung",,,,
"",,,,,,,versehen und sodann die Handringe eingehängt werden können ...,,,,
"",,,,,,,"Beschreibung der ... Erfindung einer neuen Kopp-Schrott- und Mahlmühle, und einen zu deren",,,,
1380,Wurm,Franz Xaver,,,,,,"Tretrad, Getriebe, Mühle",Wien,1832,01.07.1832
"",,,,,,,Betreibung oder zu sonstigen Zwecken erfundenen Pferdegetriebes ...,,,,
"",,,,,,,"Beschreibung der ... Erfindung, ..., in den Papierfabriken die Papiermasse vor der Verfertigung des",,,,
"",,,,,,,"Papiers aus einem Pump- oder Preßwerke zu reinigen und zu verfeinern so zwar, daß beim",,,,
1381,Brauer,Christian,,,,,,Papier,Hohenelbe,1833,20.04.1833
"",,,,,,,"Schreiben die Tinte an den radirten Stellen des Papirs fließe und durchschlage, ganz beseitiget",,,,
"",,,,,,,"wird, ...",,,,
"",,,,,,,"Beschreibung der ... Erfindung, ..., daß er eine Maße unter dem Namen venetianischer Fluß zur",,,,
1382,Jaeckel,Joseph,,,,,,"Kunstedelstein, Perle",Wien,1835,24.05.1835
"",,,,,,,Verfertigung aller Gattungen Steine und Perlen erzeuge,,,,
"",,,,,,,Bereitungs-Methode des neu chemisch zusammen gesetzten aromathischen Wassers; für die,,,,
1383,Filz,Johann,,,,,"verschiedenartige Anwendung am Toilette bestimt, und von gefertigten mit dem Nahmen Pariser",Parfüm,Wien,1831,16.07.1831
"",,,,,,,Damenconservationswasser bezeichnet,,,,
"",,,,,,,"Beschreibung der ... Entdeckung u. Verbesserung, ..., aus thierischen Knochen aller Art ein Mehl",,,,
1384,Koehler,Heinrich Wilhelm,,,,,,"Knochenmehl, Kunstdünger",Tirchlowitz,1831,01.02.1831
"",,,,,,,"als ein chemisches Düngungsmittel zu bereiten, ...",,,,
"",,,,,,,"Beschreibung der ... Entdekung eines neuen Schlemmapparates, welche ... darin bestehe: 1. Die",,,,
1385,Guenther,Ignaz,,,,,sämtlichen Satzmehlwässer ... auf einmal zur Aufbereitung aufzunehmen ... 2. die,Schlemmapparat,Eule,1828,01.03.1828
"",,,,,,,aufgenommenen Pochsatzmehlwässer ... zu konzentrieren ...,,,,
"",,,,,,,Beschreibung und Zusammensetzung des [Holzimprägnier]Apparates. Beschreibung und,,,,
1386,Lafite,Friedrich,Weber,Franz Xaver,,,,"Holz, Imprägnierung, Dampfkessel",Graz,1827,22.10.1827
"",,,,,,,Behandlung des weichen Holzes. Behandlung des harten Holzes,,,,
1387,List,Klemens,,,,,Beschreibung des Gas Apparates,Leuchtgas,Wien,1835,18.09.1835
"",,,,,,,Beschreibung der ... Verbesserungen der privilegirten Degartirmaschine des aus Teplitz gebürtigen,,,,
1388,Schkrohowsky,Andreas,,,,,Israelitten Samuel Morawetz durch meine dadurch neu entstandene Tuch-Reinigungs- und,"Dekatiermaschine, Appreturmaschine",Prag,1826,18.05.1826
"",,,,,,,Appretirungsmaschine ...,,,,
"",,,,,,,Beschreibung einer neuen Erfindung und Verbesserung zur Erzeugung Verfeinerten und,"Tonwaren, Töpferofen, Glasur,",,,
1389,Kranke,Friedrich,Peroutka,Johann,,,,,Voitsberg,1829,18.09.1829
"",,,,,,,verbesserten Hafnergeschirre durch die in Steyermark bey Voitsberg befindlichen Tonarthen,Schlämmapparat,,,
"",,,,,,,"Beschreibung der ... Erfindung, ...: daß er auf Schildkrötschalen und Horn alle Metale vorzüglich",,,,
1390,Schmidt,Karl,,,,,,"Hornbearbeitung, Dessin, Galanterie",Wien,1836,13.04.1836
"",,,,,,,Gold und Silber dann Perlmutter in allen Farben nach jeder Zeichnung aller Art einpreßt,,,,
"",,,,,,,,"Abort, Wagen, Zimmerklosett,",,,
1391,Levasseur,Charles Ferd.,,,,,Description des appareils des fosses mobiles indodores,,Wien,1820,23.08.1820
"",,,,,,,,Düngergewinnung,,,
"",,,,,,,Beschreibung der ... Verbesserung in der Erzeugung von Wachs-Wachsplatirten-Spermaceti und,,,,
1392,Hellmer,Ignaz,,,,,anderen Kerzen von jedem dazu dienlichen Materiale in jeder beliebigen Form und Größe durch,"Kerze, Docht, Unschlitt, Wachs",Wien,1835,30.06.1835
"",,,,,,,"Anwendung von ganz besonders zubereiteten Dochten, ...",,,,
"",,,,,,,Beschreibung der Erfindung: Die Hasenhaare oder Schafwolle behufs der Filzung mit einer neu,,,,
1393,Haintz,Joseph,Muck,Joseph,,,"erfundenen Flüssigkeit zu beitzen und dem Stoff eine solche Qualität zu geben, daß die daraus","Hasenbalg, Filz, Hut, Kappe",Prag,1830,29.06.1830
"",,,,,,,"verfertigten Hüte, Kappen und sonstigen Kleidungsstücke geschmeidiger als die bisherigen sind",,,,
"",,,,,,,Beschreibung der Erfindung neuer Seife und Lichtererzeugungs- und Unschlittschmelzungs,,,,
1394,Nowotny,Josef,,,,,"Apparate, wie auch der Verbesserung der Erzeugung der Seife insbesondere zur Verhütung des","Seifensiederei, Unschlitt",Prag,1834,16.06.1834
"",,,,,,,widrigen Seifensiedergeruchs,,,,
"",,,,,,,"Umständliche Beschreibung der ...Verbesserung, ..., daß alle Männerkleider mit Ausnahme der",,,,
1395,Fritz,Franz,,,,,,"Kleidung, Schneiderei",Wien,1835,02.03.1835
"",,,,,,,"Westen mit einfachen Nähten, wo der Stoff bloß übereinander gelegt wird, verfertigt werden, ...",,,,
1396,List,Klemens,,,,,Gas - Aperat,Leuchtgas,Wien,1836,18.02.1836
