PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel Schlagworte,,,Ort,Jahr,Einreichdatum
"",,,,,,,Beschreibung sammt Zeichnung der Verbesserung der Windöfen zur Verkohlung der thierischen,,,,,
1831,Schulz,Joseph,,,,,"Knochen, Verkohlung, Glühofen",,Wien,,1830,05.09.1830
"",,,,,,,"Knochen, ...",,,,,
"",,,,,,,Beschreibung der von Sternickel & Gülcher im Nahmen der Herrn Regnier Poncelet & Charles,,,,,
1832,Desoer,Charles,Poncelet,Regnier,Guelcher,,Tuchschere,,Wien,,1830,26.08.1830
"",,,,,,,"Desoèr in Lüttich, ..., angeblich gemachten neuen Verbesserung der Tuchscheermaschine",,,,,
"",,,,,,,"Beschreibung der ... Erfindung, ...: auf eine bisher noch nie in Ausübung gebrachte Weise schön,",,,,,
"",,,,,,,"Schriftvorlage, Schreibpapier,",,,,,
1833,Trentsensky,Joseph,,,,,schnell und mit Ersparung der Hälfte des bisher dazu verwendeten Papiers und der so,,Wien,,1830,25.10.1830
"",,,,,,,Schönschreiben,,,,,
"",,,,,,,"kostspieligen Vorlegeblätter in allen Sprachen und Schriftgattungen schreiben zu lernen, ...",,,,,
1834,Comoth,Peter Hubert,,,,,"Beschreibung der ... Entdekung einer Tuch-Appretir-Maschine, ... Appreturmaschine",,Brünn,,1830,28.10.1830
"",,,,,,,"Beschreibung: Die ...Verbesserung, ...: 1. Holländische Schulpapier mit gefärbten Linien und",,,,,
"",,,,,,,"Schreibpapier, Schultafel, Schiefertafel,",,,,,
1835,Herberger,Franz P.,Herberger,Franz S.,,,Schultafeln in allen Farben zu allen Schriftgattungen ... 2. Zeichenpapier ... 3. Rechentafeln ... mit,,Wien,,1830,21.11.1830
"",,,,,,,"Zeichenpapier, Papier/Rubriziertes",,,,,
"",,,,,,,gedruckten Rubericken ... 4. Tisch ... worauf man schreiben ... kann ...,,,,,
"",,,,,,,"Beschreibung der ... Erfindung, ..., daß: der innere Raum der Backöfen der Bäcker mit einiger",,,,,
"",,,,,,,"Abänderung der bisherigen Bauart, ohne der Gebrauch der sogenannten Lichthäusel, und mit",,,,,
1836,Schwerdberger,Johann,,,,,"Erhöhung der Ofenschwelle, mit einer, außerhalb des Ofens angebrachten beweglichen Lampe auf Backofen, Lampe",,Platt,,1830,05.07.1830
"",,,,,,,"sechserley Art beleuchtet werden kann, sodaß zugleich auch ... Licht zur Beleuchtung des äusseren",,,,,
"",,,,,,,Raumes ... gewonnen wird,,,,,
"",,,,,,,"Hut/Wasserdichter, Wasserdicht(er)",,,,,
1837,Lorch,Peter,,,,,Beschreibung der verbesserten wasserdichten Seidenhütten nach einer ganz neuen Methode,,Brünn,,1830,19.11.1830
"",,,,,,,Seidenfelbel,,,,,
1838,Damboeck,Ludwig,,,,,"Beschreibung einer Tating (:Spitzen:) Maschine Bobinetmaschine, Spitzen, Tüll",,Wien,,1830,02.12.1830
1839,Wagemann,Christian,,,,,"Beschreibung des verbesserten Apparats zum Brandweinbrennen und destilliren, ... Branntwein, Destillierapparat",,Berlin,,1830,20.10.1830
"",,,,,,,"Stock, Tabakpfeife, Tonpresse,",,,,,
1840,Amstoetter,Mathias,,,,,Beschreibung der zur Erzeugung von irdenen Pfeiffenköpfen mit Stock erfundenen Maschine,,Wien,,1830,24.12.1830
"",,,,,,,Tonwaren,,,,,
"",,,,,,,"Beschreibung der ... Erfindung ..., in die Verwendung der Construction des Bren-Apparats bey",,,,,
"",,,,,,,"jeden Gewerbe wessen Benennung sie habe, wobey bis jetzt ein großer Aufwand von",,,,,
1841,Uhel,Sigmund,Uhel,Moritz,,,Destillierapparat,,Wien,,1830,22.12.1830
"",,,,,,,"Brennmateriale erforderlich ist, durch diese neue Erfindung, sowohl an Raum, Zeit, noch mehr an",,,,,
"",,,,,,,Holzbedarf erspart wird.,,,,,
