PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,"Beschreibung der ... Erfindung, ...: daß mittelst eines in den Gewehrschlössern angebrachten",,,,,
"",,,,,,,"höchst einfachen Mechanismus das Gewehr sich in jeder Lage von selbst sperrt, diese Sperre das",,,,,
1808,Strixner,Johann Baptist,,,,,,"Gewehrschloß, Sperrvorrichtung",Wien,,1830,06.02.1830
"",,,,,,,"Losgehen desselben bey jeder wie immer gearteten bewegung verhindert, und das Gewehr nur",,,,,
"",,,,,,,durch das Abdrücken desselben allein sich entladen kann,,,,,
"",,,,,,,Gründliche Erklärung über die von uns erfundene Vorspinnmaschine zum gebrauch der sämtlichen,,,,,
1809,Reitze,Alois,Schultus,Franz,,,,Vorbereitungsmaschine,Fischau,,1829,20.02.1829
"",,,,,,,"Maschinen Spinnerei, für Baum und Schafwolle, Flachs, Hanf",,,,,
"",,,,,,,Beschreibung zu Wenzel Richter's Privilegium auf verbesserte Streichriemen in Verbindung mit,"Abziehen/Rasiermesser, Pinsel,",,,,
1810,Richter,Wenzel,,,,,,,Wien,,1830,19.02.1830
"",,,,,,,einem bequemen und eleganten Rasier-Apparate,"Rasierzeug, Spirituskocher",,,,
1811,Barbolan,Leonhard,Moro,Johann Adam,,,Beschreibung des Verfahrens ... auf Verbeßerung der Bleyweiß Erzeugung,Bleiweiß,Wien,,1830,01.03.1830
"",,,,,,,"Beschreibung der ... Verbesserung der Fortepiano, ..., daß die Hämmerstiele mittelst neu",,,,,
1812,Leschen,Wilhelm,,,,,"erfundener Büchsen ... dergestalt mit den Gabeln verbunden werden, daß sie kein Oehl brauchen,",Klavier,Wien,,1830,16.03.1830
"",,,,,,,...,,,,,
"",,,,,,,"Beschreibung der ... Erfindung, ..., mittels eines neuen angebrachten Mechanismus mit seiner",,,,,
1813,Stefsky,Joseph,,,,,"Maschine neun Gattungen Schnüre und Börteln zu erzeugen, wozu sonst neune Maschinen","Kordel, Borte, Posamentierstuhl",Stockerau,,1830,14.03.1830
"",,,,,,,"erforderlich waren,",,,,,
"",,,,,,,Descrizione del miglioramento che ... consiste in un nuovo Processo della Raffinazione del Cremor,,,,,
1814,Weber,Giovanni Davide,,,,,,"Weinstein, Raffinade/Weinstein",Venezia,,1829,27.07.1829
"",,,,,,,"Tartaro, ... [Weinstein-Raffinade]",,,,,
"",,,,,,,Beschreibung der ... Erfindung ...: 1.) Durch eine neue Methode die Schafwolle auf einer Maschine,,,,,
"",,,,,,,,"Schafwolle, Krempeln,",,,,
"",,,,,,,gekämmt und hiebey aller Abfall beseitiget - 2.) die auf der Maschine oder auch mit der Hand,,,,,
1815,Falkbeer,Anton,,,,,,"Vorbereitungsmaschine,",Wien,,1830,21.04.1830
"",,,,,,,"gekämmte Wolle mit einer Maschine praeparirt, 3.) die praeparirte Wolle gedreht, 4.) ... die ...",,,,,
"",,,,,,,,Zwirnmaschine,,,,
"",,,,,,,vorbereitete und gedrehte Wolle auf jeder engl. Fein-Spinn-Maschine ... versponnen werden kann,,,,,
"",,,,,,,"Beschreibung der ... neuen Verbesserung, betreffend, die gewöhnlichen Guillochir-Maschinen",,,,,
"",,,,Ludwig,,,"überhaupt, und die im Jahre 1829 privilegirte Guillochir-Maschine des Elias Montoison",,,,,
1816,Montoison,Elias,Ramel,,,,,Guillochiermaschine,Wien,,1830,10.04.1830
"",,,,Konstantin,,,insbesondere: durch welche Verbesserung die gewöhnlichen Patronen beseitigt und erspart,,,,,
"",,,,,,,werden,,,,,
"",,,,,,,"Zeigen hiemit geziemend an, eine neue Verbesserung der Perlmutterknöpfe gemacht zu haben,",,,,,
1817,Behr,Johann,Metzner,Wilhelm,,,,"Knopf, Perlmutter",Wien,,1830,13.05.1830
"",,,,,,,vermittelst gelötheter Drath Ohren,,,,,
"",,,,,,,"Beschreibung der ... Erfindung, ...: Uhrschlüssel zu verfertigen welche ... eine solche Festigkeit",,,,,
1818,Komlosy,Daniel,,,,,,Uhrschlüssel,Wien,,1830,18.05.1830
"",,,,,,,"erlangen, daß sie nicht ... den Uhren schädlich werden können",,,,,
"",,,,,,,"Beschreibung und Zeichnung der ... Erfindung ...: Brennziegel aus Lederer- Loh oder Knopernmehl,","Gerberlohe, Knopper, Brennmaterial,",,,,
1819,Bromm,Friedrich,,,,,,,Wien,,1830,21.06.1830
"",,,,,,,"oder aus deren Gemenge, auf einer Maschine zu verfertigen, ...","Brikett, Presse",,,,
"",,,,,,,Beschreibung über die ... Entdeckung und Verbesserung eines neuen Kessels zum Abdampfen des,,,,,
"",,Jakob Franz,,,,,,,,,,
1820,Hemberger,,,,,,"Wassers oder anderer bey Maschinen, bey der Dampfschiffarth und bey Dampftrögen, oder so",Dampfkessel,Wien,,1830,09.06.1830
"",,Heinrich,,,,,,,,,,
"",,,,,,,anderwärtigem Gebrauche anwendbaren Flüssigkeiten,,,,,
"",,,,,,,Beschreibung der ... verbesserten Vorspinnmaschine um Baumwolle und andere Spinnstoffe von,,,,,
"",Escher -,,,,,,"der Kardmaschine oder dem Streckwerke, ohne eine andere zwischen Operation zu reinem",,,,,
1821,,Gustav Albrecht v.,Kaspar,Johann,,,,Vorbereitungsmaschine,Wien,,1830,05.06.1830
"",Felsenhof,,,,,,"ungezwirntem Vorgespinnst zu bereiten und auf Stuhlen ohne Endscheiben aufzuwinden, um gut",,,,,
"",,,,,,,Gespinnste von Nr. 8 bis 30 auf Mules und Trosteln daraus zu verfertigen,,,,,
"",,,,,,,"... zeiget ... an, eine neue Erfindung gemacht zu haben, welche ... darin besteht, den in Handel",,,,,
"",,,,,,,"vorkomenden gemeinen, mit verschiedenen fremdartigen unauflöslichen Körpern: als erden,",,,,,
1822,Bauherr,Georg,,,,,"Sand, Holzsplittern und dergleichen, von Natur aus verunreinigten Gumi, ..., mittelst einer","Gummi, Raffinade",Wien,,1830,03.07.1830
