PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatu
"",,,,,,,"Beschreibung und 6 Zeichnungen der ... Erfindungen, Vervollkommnungen und Entdeckungen in",,,,,
"",,,,,,,"Bezug auf die Erbauung der Dampfschiffe und ihren Bewegungs Maschinen, ...1. ... zwey neuen ...",,,,,
"",,,,,,,Arten von Kesseln ... 2. in dem Kreislaufe des Wassers im Kessel ... 3. ... die Geschwindigkeit des,,,,,
"",,,,,,,Luftstromes im Ofen zu erhöhen. 4. ... den Rauch zu verbrennen. 5. ... in Kondensor die Leer zu,,,,,
"",,,,,,,,"Schiffbau, Dampfkessel, Feuerung,",,,,
1082,Girard,Philipp v.,,,,,"erzeugen ... 6. in einer Trennung der Dampfschiffe in zwey Theile, die man nach Willkühr",,Wien,,1822,22.10.1822
"",,,,,,,,Schleppschiffahrt,,,,
"",,,,,,,"vereinigen und sondern kann, wovon der Eine die Maschine, und der andere die Waaren trägt, ...",,,,,
"",,,,,,,"7. in der Einführung der Schlangenschiffe, eine Erfindung des Fulton in Amerika, ..., um bey",,,,,
"",,,,,,,"Krümmungen auf Flüssen, oder Kanälen sie biegen zu können ... 8. In der Erfindung einer neuen",,,,,
"",,,,,,,"Art Steuerruder, ...",,,,,
"",,,,,,,"Zeichnungen und Beschreibungen der ... Erfindungen einer Flachs und Wergfeinspinnmaschine,","Flachs, Werg, Spinnmaschine,",,,,
1083,Pausinger,Leopold,Wurm,Franz Xaver,,,,,Wien,,1823,10.06.1823
"",,,,,,,"einer Wergreinigungs Maschine und einer Zwirnmaschine, ...","Zwirnmaschine, Krempeln",,,,
"",,,,,,,"Beschreibung der ... Verbesserung, ..., daß der Eigenthümer dabei den dritten Theil Holz ersparet,",,,,,
"",,,,,,,"und daß das Wasser - sieden, Abkochen der Speisen, sowie auch das Braten und Backen ...",,,,,
1084,Haupt,Franz,,,,,,Kochherd,Wien,,1831,19.02.1831
"",,,,,,,"schneller und gleichförmiger zu Stande gebracht wird, als bey allen übrigen gegenwärtig",,,,,
"",,,,,,,bestehenden Maschinenherden,,,,,
"",,,,,,,"zeigen an, daß wir Verbesserung gemacht haben,: Mittelst Maschinen zweyerley Gattungen",,,,,
"",,,,,,,,"Gummiband, Krankenbett,",,,,
1085,Purtscher,Augustin,Reithoffer,Johann,,,elastische Federschnüre zu verfertigen [Federharz-Streifen]. Beschreibung einer ganz neuen,,Wien,,1828,26.04.1828
"",,,,,,,,Federung/Bett,,,,
"",,,,,,,"bequemen Bettstaette für jeden Kranken, besonders für Podagristen",,,,,
"",,,,,,,Beschreibung des Privilegiums ...: 1. Das Federharz ... zu erwichen und ... zu gestalten. 2. Mieder ...,,,,,
"",,,,,,,"3. Bruchbänder mit Notfedern von Fischbein ... 4. Bruchbänder von Holz für die ärmere Klasse, ...",,,,,
1086,Reithoffer,Johann,,,,,,Gummiwaren,Wien,,1829,10.11.1829
"",,,,,,,"5. suspensorien mit elastischen Bändern ...6. Hosenträger, Verbandstückchen aller Art,",,,,,
"",,,,,,,"Leibbinden, Strümpfe, Arm- und Kniebänder ...",,,,,
"",,,,,,,Beschreibung der fabrikmässigen verbesserten Bereitungsart der wohlfeilern und eleganten,,Böhmisch,,,
1087,Hiecke,Karl Theodor,,,,,,"Schachtel, Kartonagen",,,1826,28.12.1826
"",,,,,,,"MedicinSchachteln und Bonbonieren in allen Formen, besonders rund und oval",,Kamnitz,,,
"",,,,,,,Beschreibung der Verbesserung ...a) mittelst Anwendung besonderer Walzen äußerst schön und,,,,,
"",,,,,,,rein ... Papier mit verschiedenen erhabenen ausnehmend scharf charakterisirten Dessins zu,,,,,
1088,Gottsleben,Michael,,,,,,"Papier, Pappe, Dessin",Wien,,1828,30.09.1828
"",,,,,,,"versehen, ... zu Tafelverzierungen und Aufsätzen für Tischler und Tapezierer ... dan für Buchbinder",,,,,
"",,,,,,,zu den Dekeln ...,,,,,
