PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatu
"",,,,,,,"Beschreibung einer Vorrichtung, menschliche und thierische Kräfte vortheilhaft zu benützen, oder",,,,,
1035,Reinscher,Mathias,Schoenfeld,Ignaz R.v.,,,,"Getriebe, Tretband",Wien,,1823,11.12.1823
"",,,,,,,einer neuen Art schiefer Ebene,,,,,
1036,Kramer,,Tallacker,,,,"Beschreibung der Erfindung, Damenhüte aus Papier zu verfertigen","Hut, Dessin, Buntpapier",Wien,,1832,03.07.1832
"",,,,,,,,,Kronstadt bei,,,
1037,Lerch,Joseph,,,,,"Beschreibung der ... Entdeckung, wie man aus Stroh ein brauchbares Packpapier verfertigen kann","Strohpapier, Packpapier",,,1832,08.03.1832
"",,,,,,,,,Königgrätz,,,
"",,,,,,,Modo di compore la Carta necessaria per Stampare onde aver esatamente da riportare la piu,,,,,
"",,,,,,,,"Porzellan, Majolika, Tonwaren, Dessin,",,,,
1038,Mondini,Pietro Antonio,Zecchini,Carlo,,,"minuta linea sopra qualunque lavoro di Porcellana, Maggiolica, Terraglia etc. [Uerbertragung von",,Padova,,1823,15.06.1823
"",,,,,,,,Abziehbilder,,,,
"",,,,,,,"Druckmustern auf Porzellan, Majolika, irdenem Geschirr etc.]",,,,,
1039,Meissner,Ignaz,,,,,Beschreibung der zur Caffèe Dampfmaschine beygefügten Verbesserung,Kaffeemaschine,Wien,,1823,16.08.1823
1040,Becher,David,,,,,Beschreibung der ... Erfindung unter dem Namen einfache Wäschetabelle ...,"Wäschetabelle, Registrierapparat",Wien,,1824,29.12.1824
"",,,,,,,"Beschreibung der ... Erfindung einer Maschine, ..., den Rauchen aus den Kaminen hinaus zu führen,",,,,,
1041,Bastoria,Jakob,,,,,,"Champion, Kaminaufsatz",Wien,,1824,13.11.1824
"",,,,,,,ohne daß man in der Küche eine Luft bemerkt,,,,,
"",,,,,,,"Beschreibung der ... Erfindung: Eine sogenannte Kaleidoskop Lampe, die wie gewöhnlich an die",,,,,
1042,Kauffmann,Christian,,,,,,Lampe,Wien,,1824,17.11.1824
"",,,,,,,"Wand oder an einen Pfeiler an zu hängen ist, ...",,,,,
1043,Wanbacher,Ignaz,,,,,"Beschreibung der ... Verbesserungen, ... an den Mühlstühlen ...",Bandstuhl,Wien,,1823,19.02.1823
1044,Petrowitz,Johann,,,,,"Beschreibung der ... Verbesserung seiner Frankfurther Fett Glanzwichse, ...",Wichse,Wien,,1824,16.04.1824
"",,,,,,,"Beschreibung der ... Verbesserung an den Schnellzündern, oder sogenannten chemischen",,,,,
1045,Petters,Heinrich,,,,,"Feuerzeugen, welche ... darin besteht, daß 1.) die Zündhölzer durch Maschinen erzeugt werden, ...",Zündholz,Piesting,,1825,24.04.1825
"",,,,,,,2.) daß dieselben nicht spritzen ...,,,,,
1046,Landesmann,Benjamin,,,,,Zeichnung und genaue Beschreibung des erfundenen Tabakrauch-Kühlers,Tabakspfeife,Wien,,1823,18.02.1823
"",,,,,,,Beschreibung der ... Erfindung einer besonderen Spannrahme zum Behufe der Appretur von,,,,,
1047,Zappert,Karl,,,,,,"Spannrahmen, Appretur",Wien,,1832,02.08.1832
"",,,,,,,"Baumwollenstoffen, ...",,,,,
"",,,,,,,"Beschreibung der Manopolations Mühle, ihrer Bestandtheile, dann des Verfahrens überhaupt, die",,,,,
1048,Oefferl,Georg,,,,,,"Tonerde, Mühle",Wien,,1824,12.11.1824
"",,,,,,,rohe Thonerde ... zu einen vollkommenen Erfolg geeignet zu machen,,,,,
"",,,,,,,"... zeigt himit geziemend an, eine neue Erfindung gemacht zu haben, ..., daß er einen",,,,,
1049,Neuhaus,Hermann,,,,,"gewöhnlichen Stock so vorgerichtet hat, daß derselbe für das bauende- und meßende Publikum","Stock, Maßstab",Wien,,1823,02.12.1823
"",,,,,,,sehr nützlich und willkommen sein muß,,,,,
1050,Lemaire,Andreas,,,,,Beschreibung des Apparats zum Filtrieren des Wassers,Filtrierapparat,Wien,,1823,30.10.1823
"",,,,,,,"Beschreibung der Ingredienzien, woraus die Compositionsmasse zur Bereitung der fein feinen und",,,,,
1051,Wertheimer,Jakob,,,,,,"Kerze, Docht",Wien,,1824,30.11.1824
"",,,,,,,"ordinairen Kerzen bereitet, so auch die Dochte für sich gemacht werden, ...",,,,,
"",,,,,,,"Beschreibung der Verbesserung, daß 1.) die Einrichtung der Federn an den von ihnen in Folge",,,,,
"",,,,,,,"eines früheren Privilegiums verfertigten Ridiküls, Näh- und Arbeitskistchen, Sonnenschirme etc.",,,,,
1052,Hirschfeld,Karl,Kratzer,Franz,,,,"Leder, Galanterie",Wien,,1824,06.09.1824
"",,,,,,,"vereinfacht ist; 2.) die ueberzüge dieser Galanterie-Gegenstände, aus Leder und anderen Stoffen",,,,,
"",,,,,,,"durch Pressen hergestellt werden, sowie die Verfertigung von Damen-Leibbinden",,,,,
1053,Baumstark,Joseph,,,,,Neue Erfindung mit Stein-Walzen Papier-Tapetten zu drucken,"Druckmaschine, Tapete, Dessin",Wien,,1825,15.01.1825
1054,Dillinger,Joseph,,,,,Diese Pfeife von Meerschaum ...,Tabakspfeife,Wien,,1825,17.01.1825
"",,,,,,,"Descrizione della Scoperta che ... consiste, nel procedere alla preparazione de cuoj con una",,,,,
1055,Baroni,Luigi,,,,,,"Leder, Gerberei",Venezia,,1824,19.11.1824
"",,,,,,,Corteccia sconosciuta ... [Neues Gerbematerial],,,,,
"",,,,,,,"1. Beschreibung der Erfindung ..., daß er über einer jeden künstlichen oder natürlichen Quelle, ...,",,,,,
"",,,,,,,"einen leeren Raum herstellt, wodurch der Andrang des Wassers und dessen Stand erhöht wird, ...",,,,,
1056,Argenti,Luigi,,,,,2. ... den eben angezeigten leeren Raum der unterirdischen Strömung so nahe als möglich zu,"Quellenverschließung, Tiefbohrung",Milano,,1831,08.03.1831
"",,,,,,,"bringen ... 3. ...unreines Quellwasser zu filtrieren, ... 6.das Wasser der Quellen ... durch die Kraft ...",,,,,
"",,,,,,,des Dunstes zu jeder Höhe zu steigern ... [Text ital.],,,,,
"",,,,,,,"... zeigt ... an, eine neue Erfindung gemacht zu haben, ...: Ovalförmige Regenschirme zu",,,,,
1057,Kwastler,Moses,,,,,,"Regenschirm, Wetterdach",Wien,,1823,13.09.1823
"",,,,,,,"verfertigen, die als bewegliche Wagenbedeckungen ... aufgespannt werden können",,,,,
"",,,,,,,"Beschreibung ... zeigt ... an, eine neue Erfindung gemacht zu haben, ..., durch eine Vorrichtung des",,,,,
1058,Lukaneder,Friedrich,,,,,,Tabakspfeife,Wien,,1823,20.09.1823
"",,,,,,,"Tabakkopfes den Tabakrauch durch das Wasser zu führen, ...",,,,,
"",,,,,,,"Beschreibung der ... Erfindung, ..., daß mittelst einer neuen Cylinder Druckmaschine, ein",,,,,
"",,,,,,,"Gegenstand, er sei aus Holz, Metall oder auf Stein, in erhabener Manier geschnitzt, gegossen oder","Druckmaschine, Druckwalze,",,,,
1059,Trentsensky,Matthaeus,,,,,,,Wien,,1823,08.03.1823
"",,,,,,,"cepariert auf den Boden der Maschine befestigt, durch eine darüber hinrollende Walze ...",Lithographie,,,,
"",,,,,,,"abgedruckt und vervielfältigt werden kann, ...",,,,,
1060,Uffenheimer,Johann Gabriel,,,,,Beschreibung des verbesserten Verfahrens der Spielkarten Beschneidung,Spielkarte,Wien,,1823,26.04.1823
"",,,,,,,Beschreibung der ... erfundenen neuen Kaffeedampfmaschine. Beschreibung der Verbesserung an,,,,,
1061,Delavilla,Karl,,,,,der bereits bekannten Kafeeh-Sturzmaschine ... Kafeeh-Schnell-Sturz- und Brennmaschine,Kaffeemaschine,Baden b. Wien,,1824,05.08.1824
"",,,,,,,genannt,,,,,
"",,,,,,,,"Knochenkohle, Knochenschwärze,",,,,
1062,Mayer,Engelbert,,,,,Beschreibung. Die neu erfundene Verbesserung bey der Erzeugung des Spodiums ...,,Wien,,1823,14.07.1823
"",,,,,,,,Glühofen,,,,
