PrivRegNr,Name1,Vorname1,,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
1923,Hofmann,Georg,,,,,,Beschreibung der Verbesserung über die ... Erfindung eines Sonnenschirmes für Herren,Sonnenschirm,Wien,,1834,07.11.1834
1924,Pergler,Joseph,,,,,,Beschreibung zur Verfertigung von neuerfundenen Männer und Frauenstiefeln mit einer Nath,"Schuh, Stiefel",Wien,,1835,19.01.1835
"",,,,,,,,"Beschreibung der ... Verbesserung in der Steindruckerey, deren Wesenheit darin besteht, dem",,,,,
1925,Metz,Franz,,,,,,"Steine durch die Aetzung eine größere Festigkeit u. Dauer zu geben, u. durch die denselben","Lithographie, Zeugdruck",Wien,,1835,05.01.1835
"",,,,,,,,beigegebenen Farbenmischung Zeuge u. Stoffe haltbarer zu drucken,,,,,
"",,,,,,,,Beschreibung der Verbesserung des Fest- und Schnellhaftelns sowie auch der Waschsteifärmel,"Kleidung, Schneiderei, Haftel,",,,,
1926,Mozisch,Wenzel,,,,,,,,Wien,,1835,25.02.1835
"",,,,,,,,bey den Damenkleidungsstücken,Steifärmel,,,,
1927,Rambur,Charles,,,,,,Beschreibung eines verbesserten Percussions-Zündt- und Schies-Pulvers,Schießpulver,Wien,,1836,31.05.1835
"",,,,,,,,"Beschreibung der ... Erfindung, nach welcher man für entfernte Gegenstände vergrößernde Brillen",,,,,
1928,Schoenstedt,Gottlieb,,,,,,,"Brille, Lorgnette, Fernglas",Wien,,1835,29.08.1835
"",,,,,,,,"und Lorgnetten erhält, weshalb ich sie Perspektiv-Brillen benenne, ...",,,,,
"",,,,,,,,"Beschreibung des ... erfundenen Fahrzeuges /: Wagenkahn:/ zum Gebrauche auf allen Gewässern,",,,,,
1929,Dirnboeck,Johann August,,,,,,,"Kahn, Schwimmwagen",Graz,,1835,02.11.1835
"",,,,,,,,und zugleich als Wagen auf dem Lande,,,,,
"",,,,,,,,"Descrizione dell'invenzione che ... consiste nel migliorare il lavoro dalle margarite, conservando",,,,,
1930,Pusinich,Luigi,,,,,,,"Glasperle, Schmelzofen",Venezia,,1830,17.06.1830
"",,,,,,,,lucidezza di vetro ... [Glasperlenofen],,,,,
"",,,,,,,,"Beschreibung der ... Verbesserung, ..., daß er die Mayländer Seiden-Hütte mittelst einen durch ihm",,,,,
1931,Balas,Emmerich,,,,,,,"Hut, Lack",Kaschau,,1830,20.09.1830
"",,,,,,,,"erfundenen Lack ohne Naht verfertiget, ...",,,,,
1932,Engeler,Joseph,Gerl,,Michael,,,Genaue Beschreibung der neu verbesserten Schnell Oehl Glanzwichs,Wichse,Wien,,1831,07.06.1831
"",,,,,,,,Beschreibung der ... Erfindung ...: daß anstatt der gegenwärtig bei der Hutfabrikazion in Ausübung,,,,,
1933,Taubeles,Isaak,,,,,,bestehenden Beimischung resp. Beimengung der Schaffwolle zu den Haasenhaaren nach der,"Hut, Baumwolle",Prag,,1831,05.08.1831
"",,,,,,,,neuen Entdeckung Baumwolle in Anwendung gebracht wird,,,,,
"",,,,,,,,"... zeigt himit an eine Erfindung gemacht zu haben, welche ... darin besteht das: aus meiner neu",,,,,
"",,,,,,,,erfundenen Maschine wodurch freystehente Ruhebetter Kanapees oder Tiwans nach beliblichen,,,,,
1934,Krupnik,Mathias,,,,,,,"Liegestuhl, Bett, Diwan",Wien,,1832,03.01.1832
"",,,,,,,,"Form, mit oder ohne Rucklähn, sich auf eine leichte schnele und bequeme Art in eine Lagerstätte",,,,,
"",,,,,,,,"herstellen lasse, ...",,,,,
"",,,,,,,,"Beschreibung der ... Entdeckkung, ...: 1. Erfindung, solche Oefen mit säulenartig oder liegenden ...",,,,,
"",,,,,,,,,"Kachelofen, Kochherd, Bratrohr,",,,,
"",,,,,,,,"Wärmeleitern von gebranntem und glasirten Thon, oder Ziegeln anzufertigen ... 2. Erfindung",,Lehnhof bei,,,
1935,Froehlich,Anton,,,,,,,"Kochgeschirr, Heizkörper,",,,1831,17.11.1831
"",,,,,,,,"perpentikuläre Spaarherde ... 3. Erfindung eigens konstruirter Koch-Brat- u. Wasserröhren, dann",,Kolin,,,
"",,,,,,,,,Zentralheizung,,,,
"",,,,,,,,"Kochgeschirren aller Art, und wärmeleitenden Röhren ...",,,,,
"",,,,,,,,,"Kopallack, Firnis, Mischmaschine,",,,,
1936,Heckmann,Joseph,,,,,,Beschreibung einen ganz weißen Copal & Bernsteinfirniß zu erzeugen,,Wien,,1832,01.02.1832
"",,,,,,,,,Rührwerk,,,,
"",,,,,,,,"Beschreibung der ... Verbesserung, nehmlich: in besonderen Vorrichtungen ... für alle öffentlichen",,,,,
1937,Hoer,Karl,,,,,,"Anschlagzettel, wodurch solche nicht mehr wie früher an den Straßenecken mit Gleister angeklebt",Plakatierungstafel,Wien,,1832,07.02.1832
"",,,,,,,,"werden müssen, sondern ohne denselben, und zwar mehr geordnet eingelegt werden, ...",,,,,
"",,,,,,,,... zeigt ... an eine neue Verbeßerung an seinen ... engl. verzinnten Stahl Miederfedern,,,,,
1938,Kuhn,Ignaz,,,,,,"/:Blanschetten:/ in Verbindung der schmalen Seiten Miederfederchen gemacht zu haben, mittelst","Mieder, Stahlfeder",Wien,,1832,18.02.1832
"",,,,,,,,"Anwendung neuer Zusätze und Vorrichtungen, ...",,,,,
"",,,,,,,,Methode undurchsichtiges und mehr oder weniger durchscheinendes Steinglas nach Art des,,,,,
1939,Zich,Joseph,,,,,,"gelben und grünen Jaspis, des Achats, des Lazurs, des Marmors, && zu erzugen, und durch","Edelsteinglas, Glasschleiferei",Joachimsthal,,1831,03.12.1831
"",,,,,,,,Schleiffen verschiedene Nuancen hervorzubringen,,,,,
"",,,,,,,,"... zeigen ... an, eine neue Erfindung bei der Kratz oder Streichmaschinen aller Faßerstoffe gemacht",,,,,
1940,Gradner,Franz,Gradner,,Michael,,,,Krempeln,Wien,,1832,28.02.1832
"",,,,,,,,"zu haben, ...",,,,,
"",,,,,,,,Beschreibung der an der tragbaren Brückenwaage von Rolle & Schwilque angebrachten,,,,,
1941,Rolle,,Schwilque,,,,,,"Waage, Dezimalwaage, Brückenwaage",Wien,,1832,18.04.1832
"",,,,,,,,Aenderungen ...,,,,,
"",,,,,,,,"... zeigen ... an, eine neue Erfindung bey Kratz oder Streichmaschinen aller Fasserstoffe gemacht",,Oberwaltersdor,,,
1942,Gradner,Franz,Gradner,,Michael,,,,Krempeln,,,1832,24.04.1832
"",,,,,,,,zu haben,,f,,,
