PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,"Beschreibung der ... Verbesserung, aus thierischen Haaren ungewalkte Filze zu erzeugen,",,,,,
"",,,,,,,,"Filz, Imprägnierung/Filz, Geleise,",,,,
2615,Flebus,Jakob,,,,,"dieselben mit inländischen Ingredienzien einzulassen, wodurch die Filz fast unverweslich werden",,Wien,,1839,16.11.1839
"",,,,,,,,Stoßdämpfung,,,,
"",,,,,,,und deßhalb als Schienenunterlage bei den Eisenbahnen verwendet werden können,,,,,
"",,,,,,,Beschreibung einer neuen Erfindung und Verbesserung des ... erfundenen und bereits am 21. July,,,,,
2616,Schleindl,Joseph,,,,,,Kerzengießapparat,Linz,,1836,18.07.1836
"",,,,,,,1834 allergnädigst privilegirten Kerzen Guß Apparates,,,,,
"",,,,,,,"Beschreibung der sogenannten Lederpapier Machée Dosen, worauf der Karlsbader Bürger Karl",,,,,
2617,Knoll,Karl,Seberl,Bernhard,,,,"Pappe, Dose, Schachtel",Karlsbad,,1838,18.04.1838
"",,,,,,,Knoll ... ein ... Privilegium ertheilt wurde,,,,,
"",,,,,,,"Beschreibung der ... neu erfundenen Mieder-Drahtfedern, und der, um selben die vollkommene",,,,,
2618,Mayer,Franz,,,,,,"Messingdraht, Mieder, Metallbeize",Wien,,1837,06.09.1837
"",,,,,,,"Federkraft zu ertheilen, erforderliche Beitze",,,,,
2619,Preshel,Johann,,,,,"Meine Erfindung in der Erzeugung der Bleystiften, ...","Graphit, Bleistift",Wien,,1838,10.04.1838
2620,Gottsleber,Ludwig,,,,,Beschreibung der ... als privilegierbar angezeigten und verfertigten Uhrkästen,"Uhrgehäuse, Presse",Wien,,1838,25.10.1838
"",,,,,,,Beschreibung der neuen Erfindung in der Vorrichtung auf die sogenannten Grad- (Croise in,"Körper, Schal, Schnürung, Bandstuhl,",,,,
2621,Schuler,Jakob,,,,,,,Wien,,1838,17.12.1838
"",,,,,,,Dessain) aufwärts nach dem Stücke:) Schaf- und Baumwoll-Schwal und Schwalstücher,Dessin,,,,
"",,,,,,,"Die ... erfundenen Uiberschuhe sowohl für Damen als Herrn, wie auch für Kinder unterscheiden",,,,,
"",,,,,,,"sich wesentlich von allen bisher erzeugten Ueberschuhe darin, daß selbe nach Belieben verlängert",,,,,
2622,Spitaeller,Ferdinand,,,,,,"Galosche, Schuhabsatz, Schuhnagel",Wr.Neustadt,,1839,12.02.1839
"",,,,,,,"und wieder verkürzt werden können, ferner ..., daß in den Absätzen Scharfnägel angebracht sind,",,,,,
"",,,,,,,um ... auf Glatteis gehen zu können ...,,,,,
"",,,,,,,,"Dampfwagen, Federung/Wagen,",,,,
2623,Isensee,Emil,,,,,"Beschreibung der ... Erfindung ... betreffend einen Chaussee-Dampfwagen, ...","Hemmung, Feuerrost,",Berlin,,1838,22.06.1838
"",,,,,,,,Geländegängiger Wagen,,,,
"",,,,,,,,"Mauer/Isolierung,",,,,
"",,,,,,,,"Imprägnierung/Holz, Schmiermittel,",,,,
2624,Drexler,Johann,Tichazek,Johann,,,Einleitung zur Conversations Laack,,Wien,,1838,09.11.1838
"",,,,,,,,"Oberflächenschutz,",,,,
"",,,,,,,,Feuchtigkeitsschutz,,,,
2625,Ries,Joseph,,,,,"Beschreibung einer Verbesserung, an jeder Gattung Tafel-Clavierinstrumenten",Klavier,Wien,,1839,23.04.1839
"",,,,,,,Beschreibung des angesuchten Privilegium auf die Erfindung u. Verbesserung das Kärntnerische,,Ponau bei,,,
2626,Zeilinger,Karl,,,,,,"Roheisen, Eisenfrischen, Frischofen",,,1835,19.06.1835
