PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,Ort,Jahr,Einreichdatum
"",,,,,,,"Descrizione del modo, con cui si fabbricano Le Stuove di Brulla nella Ra Casa d'Industria di Venezia",,,,
2390,Legremi,,,,,,,"Ginster/Spanischer, Matte, Webstuhl",Venezia,1823,03.12.1823
"",,,,,,,[Matten aus Brulla],,,,
"",,,,,,,... seine Erfindung und Verbesserung besteht von der kleinsten Hand und Siegel- bis zur größten,,,,
2391,Herbst,Joseph,,,,,"Metall-Presse, die man durch Menschnhände, oder Dampfkräfte mehrere auf einmal in bewegung","Siegel, Metallwaren, Presse",Wien,1831,18.03.1831
"",,,,,,,gesetzt werden können,,,,
"",,,,,,,"Beschreibung einer neuen Steindruck Presse, mit Abbildungen. Erfunden, geschrieben, gezeichnet",,,,
2392,Schlicht,Rudolph,,,,,,"Lithographie, Druckmaschine",Mannheim,1833,
"",,,,,,,u. gestochen v. R.Schlicht,,,,
"",,,,,,,"Beschreibung einer Kerzenguß Maschine, mittelst welcher man alle Arten von Kerzen in jeder",,,,
2393,Mastalier,Anton,,,,,,Kerzengießapparat,Wien,1834,29.04.1834
"",,,,,,,beliebigen Form gießen kann,,,,
"",,,,,,,Verfahren zur Darstellung eines chemisch reinen Nikels und als Nebenproduct sauren,"Nickel, Kali, Saures arseniksaures,",,,
2394,Batka,Johann Baptist,,,,,,,Prag,1834,09.04.1834
"",,,,,,,"arseniksauren Kalis, welches in der Färberey dient",Arsennickelglanz,,,
"",,,,Benjamin,,,,,,,
2395,Villars,Hector Numa,Wille,,,,Beschreibung des neu verbesserten und weit vollkommeneren Gullocheurwerkes,Guillochiermaschine,Wien,1835,03.02.1835
"",,,,Eugene,,,,,,,
"",,,,,,,Erklärung des ... Privilegiums auf die Erfindung einer Saft-Glanzwichse ohne Vitriol,,,,
2396,Tschuggmall,Joseph,,,,,,Schuhcreme,Wien,1835,12.05.1835
"",,,,,,,"zusammengesetzt, ...",,,,
"",,,,,,,Genaue Beschreibung der neuen Erfindung ... zur höchst schnellen und ökonomoschen,"Edelsteinfassung, Goldwaren,",,,
2397,Reihl,Eduard,,,,,,,Wien,1838,30.04.1838
"",,,,,,,Verfertigung aller Arten dichtgefaßter Arbeit,Silberwaren,,,
2398,Aufrichtig,Samuel,,,,,Beschreibung der ... Verbesserung bei der Fabrikation des Schafwollen-Streichgarns,"Streichwolle, Garn",Wien,1838,16.01.1838
2399,Saurimont,Joseph,,,,,Beschreibung über eine neue Seifenfabrication,"Chlorsoda, Sodalauge, Seife",Wien,1837,28.12.1837
"",,,,,,,Descrizione ... della nuova invenzione nell'impiego utile ed economico per gli usi vetraria nelle,,,,
2400,Corniani,L. Marco Antonio,Montesanto,Giuseppe,Meneghini,Agostion,manifatture le piu comuni e segnatamente nelle preparaziono e distillazioni chimiche ...,"Trachyt, Glas, Quarzporphyr",Padova,1833,14.09.1833
"",,,,,,,[Trachitähnliches Gestein zur Glaserzeugung],,,,
"",,,,,,,"... zeigt an, eine neue Erfindung und Verbesserung bei Abdampfungs Apparaten und bei der","Zucker, Raffinade/Zucker,",,,
2401,Oehler,Franz Gottlieb,,,,,,,Wien,1836,12.04.1836
"",,,,,,,"Ausscheidung des Schleimzucker /:Syrop:/ gemacht zu haben, ...",Verdampfapparat,,,
"",,,,,,,"Beschreibung des ... vermengten Stoffes, durch dessen Anwendung die dem Hanfe durch das",,,,
2402,Jaeger,Franz,,,,,"Dörren benommene Kraft wieder gewonnen, und die daraus dann verfertigten Gegenstände vor","Imprägnierung/Hanf, Hanf, Seil",Prag,1836,31.05.1836
"",,,,,,,"dem Eindringen des Wassers gesichert und vor Fäulniß bewahrt werden, ...",,,,
"",,,,,,,"Beschreibung der ... Erfindung, ..., alle Gattungen Herren und Damen-Goldketten, mittelst eigener",,,,
"",Lehner -,,,,,,"Maschin-Vorrichtung hohl und maßiv gedreht zu erzeugen, und ihnen alle Arten Form und Dessain",,,,
2403,,Johann,,,,,,"Goldkette, Drehbank",Wien,1838,23.05.1838
