PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,"Descrizione di una macchinetta ... per ottenere con facilità l'incrociamento, o l'attortigliamento",,,,
"",,,,,,,"Seidenhaspel, Fadenkreuzung,",,,,
3708,Plazzoli,Alessandro,,,,,"sopra se [?] stesso del filo dei Bozzoli nelle Filande, e per regolare il numero agli avvolgimenti del",,Bergamo,1844,03.01.1844
"",,,,,,,Spulmaschine,,,,
"",,,,,,,filo medesimo [Fadenkreuzung und Spulvorgang bei der Seidenhaspel],,,,
"",,,,,,,"Beschreibung der hydraulischen Maschine zur Erzeugung eines Gefälles und einer bewegenden Getriebe, Hydraulisches,",,,,
3709,Bernstein,Viktor,,,,,,,Wien,1840,29.02.1840
"",,,,,,,"Kraft Schiffsantrieb, Pumpe",,,,
3710,Remenka,Johann,,,,,Beschreibung der ... Verbesserung in Verfertigung der Accordeons oder Blasbalgharmonika Ziehharmonika,,Wien,1842,02.04.1842
"",,,,,,,"Beschreibung auf die Erfindung, auf Maschinen, welche durch besondere Zusammensetzung ihrer Figur/Bewegliche, Tier/Bewegliches,",,,,
3711,Kietaibel,Franz,Kunz,Johann,,,,,Wien,1843,26.01.1843
"",,,,,,,"Räder Zug- und Triebwerker, Puppen, Figuren, Thiere und Wägen mechanisch in Bewegung setzen Wagen, Getriebe",,,,
3712,Prützmann,D[aniel],,,,,"Beschreibung ... Cigarren Etuis ... mittelst einer Scharnier, ... nur halb geöffnet werden dürfen ... Zigarrenetui",,Wien,1843,08.03.1843
"",,,,,,,"Beschreibung der ... Erfindung und Verbesserung in der Pressung der Briefpapiere und Siegelmarke, Papiersiegel, Oblate,",,,,
3713,Radnitzky,Josef,,,,,,,Wien,1844,23.03.1844
"",,,,,,,"Papieroblaten... Oblatensiegel, Briefpapier",,,,
3714,Reiss,August,,,,,"Beschreibung der von mir als neu erfundenen Glashaus-, Garten- und Hausspritze Spritze",,Wien,1843,27.04.1843
"",,,,,,,Descrizione della nuova Scoperta che ... consiste in sostanza Nel ... metodo d'imprimere a forma,,,,
3715,Londe,Gaetano,,,,,"Notendruck, Druckmaschine",,Padova,1840,04.04.1840
"",,,,,,,"tipographica, qualunque siasi scritte musicale, ... [Notendruck]",,,,
"",,,,,,,... die Erzeugung von Beleuchtung Gas durch die Versetzung des Wassers & der,,,,
"",,,,,,,"Kohlenstoffhaltigen Substanzen ..., sowie auf alles hierauf Bezug habende; als die Vorrichtung zum Koks, Holzkohle, Torf, Aethylen,",,,,
3716,Seynes,Theodor,,,,,,,Lyon,1837,05.12.1837
"",,,,,,,"Brennen, & die ersparende Vorrichtung zur Destillirung der kohlenstoffhaltigen Substanzen [Text Trockene Destillation",,,,
"",,,,,,,frz.u.dt.],,,,
3717,Palkh,Joseph,Uffenheimer,Karl,,,"Beschreibung zur Erzeugung von convex-concaven Fenstertafeln oder Glastafeln Fensterglas/Gekrümmtes, Tafelglas",,Wien,1843,16.09.1843
"",,,,,,,Beschreibung der einliegenden Zeichnung vorstellend die neu erfundene Methode in,,,,
3718,Aschermann,Friedrich,,,,,"Kartoffel, Einmaischapparat, Gebläse",,Wien,1843,11.03.1843
"",,,,,,,Branntweinbrennereien einzumaischen und abzukühlen ...,,,,
"",,,,,,,... Erfindung u. Verbesserung: Locomotive mit 8 wirksamen Triebrädern ... von mehr als zwei,,,,
"",,,,,,,"Tender, Lokomotive,",,,,
"",,,,,,,"Dampfcylindern ..., mit Nutzen bedeutende Steigungen zu überwinden, ... sich ... in kleinen Kurven",,,,
3719,Ohligs,Bernhard WM.A.,,,,,"Gebrigslokomotive, Geleisschleife,",,Wien,1843,13.04.1843
"",,,,,,,mit Leichtigkeit bewegen- wodurch die Anlage der Eisenbahnen in Gebirgsgegenden besonders,,,,
"",,,,,,,Drehscheibenersatz,,,,
"",,,,,,,erleichtert wird - demnach sie Gebrigs Locomotive zu nennen sind,,,,
3720,Mikulinski,Anton,,,,,"Verbesserung in der Anbringung und Befestigung der Hosenstrupfen an die Beschuhung, ... Hosenstrupfe, Schließe",,Lemberg,1842,26.09.1842
"",,,,,,,"Beschreibung, eine neue Art der Combinirung gewisser mechanischer Vorrichtungen, welche",,,,
"",,,,,,,"insbesondere zur Fabrication von Köpfen an Bolzen, Nägeln, Nietnägeln etc. angewendet werden, Bolzen, Nagel, Niete, Kopfstauchen,",,,,
3722,Dixon,Abraham,,,,,,,Wien,1840,07.04.1840
"",,,,,,,"mit einem Anhang über das Verfahren bei der Streckung des Eisens in zum Theil cylindrische, zum Stabeisen,Walzwerk",,,,
"",,,,,,,Theil winklige Stangen [Text frz.u.dt.],,,,
3723,Dixon,Abraham,,,,,Beschreibung eines oekonomischen vervollkommneten Ofens Ofen,,Wien,1840,02.06.1840
"",,,,,,,"Ziegel, Luftziegel, Gewölbeziegel,",,,,
"",,,,,,,Beschreibung der ... Verbesserung ...: durch ein neues Princip alle Gattungen ... Ziegel oder derley,,,,
3724,Mueller,Karl Ludwig,,,,,"Dachziegel, Gesimsziegel, Tonwaren,",,Wien,1841,06.07.1841
"",,,,,,,"ähnliche Thon Producte bey Anwendung einer ... Comprestions Maschine zu erzeigen, ...",,,,
"",,,,,,,Ziegelpresse,,,,
"",,,,,,,Plan und deutsche Uebersetzung der Beschreibung der Erfindung ... - ein neues Dampfschiffahrts-,,,,
3725,Rosich,Louis Joseph de,,,,,"Ruderschaufel, Schiffsantrieb, Getriebe",,Wien,1839,16.11.1839
"",,,,,,,Sistem betreffend,,,,
3726,Czech,Moritz,,,,,"Beschreibung des chemisch künstlichen Brennstoffes /: Wienertorf :/ Kunsttorf, Brennmaterial",,Wien,1840,18.01.1840
"",,,,,,,Zeichnungs Beylage A zum Gesuche ... um Ertheilung des Privilegiums auf inberührte Erfindung,,,,
3727,Hofer,Georg,,,,,"Flachs, Spinnmaschine",,Graz,1840,24.02.1840
"",,,,,,,einer Flachsspinnmaschine,,,,
"",,,,,,,Beschreibung der wesentlichen Verbesserungen an der mittel Privilegiums-Urkunde vom,,,,
3728,Nagy,Karl v.,,,,,"Lampe, Vergaser",,Wien,1841,18.01.1841
