PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,"Beschreibung der Erfindung einer neuen Construction von Wagen, welche einer weit größeren",,,,,
"",,,,,,,,"Wagen, Schmierbüchse, Bremse,",,,,
2913,Koch,Anton,,,,,"Schnelligkeit als die bisher gewöhnlichen fähig sind, und kaum die halbe Bespannung der letzteren",,Wien,,1839,28.12.1839
"",,,,,,,,Einspannvorrichtung,,,,
"",,,,,,,erfordern,,,,,
2914,Nuglisch,,Treu,,,,Neu erfundene Sicherheits-Wagen,Schnellwaage,Wien,,1840,07.01.1840
2915,Buergermeister,Adolf,,,,,Beschreibung der ... Entdeckung ...: in einer bisher noch nie erreichten Schnellgerberei ...,"Gerberei, Leder",Königsberg,,1840,06.04.1840
"",,,,,,,"Beschreibung der neuen, von Jasper & Wagner vervollkommten Rastrir-Maschine für Handlungs-","Liniermaschine, papier/Rubriziertes,",,,,
2916,Jasper,Christian Georg,Wagner,,,,,,Wien,,1833,12.04.1833
"",,,,,,,und andere Geschäftsbücher,Geschäftsbuch,,,,
"",,,,,,,Neu Erfindung Politur Composition. Durch ihren Gebrauch werden vorzüglichsten Holzarten in,,,,,
"",,,,,,,"ihrem Glanze und in der Größte Reinlichkeit erhalten, zugleich erhält diese Politur alle Arten von",,,,,
2917,Weinberger,Adam,,,,,,"Politur, Lederlack",Wien,,1836,14.03.1836
"",,,,,,,"Lakirten Leder also auch Tsakos, Patrontaschen und Säbelschneiden sehr hell und sichert",,,,,
"",,,,,,,vollkommen gegen die unreinlichkeit ...,,,,,
2918,Krause,Friedrich,,,,,Beschreibung der Verfertigung des elastischen und wasserdichten Stoffes genannt Fin-gloss,"wasserdichter Stoff, Fischbeingewebe",Wien,,1837,27.02.1837
"",,,,,,,"Neue Verbesserung in Verfertigung der Strohsessel, dann die Art und Weise der Ausführung","Sessel, Strohmöbel,",,,,
2919,Lamarche,Michel,,,,,,,Wien,,1838,29.11.1838
"",,,,,,,derselben,Imprägnierung/Stroh,,,,
"",,,,,,,"Beschreibung des ... Privilegium auf Erzeugung geflochtener Meubelschnür u. Glockenzüge, ..., daß",,,,,
"",,,,,,,"dieselben von Baumwolle, Harras, Schafwolle, Ispahan u. Seide, auf runden, viereckigen u.",,,,,
2920,Lintz,Franz,,,,,,"Kordel, Glockenzug",Wien,,1841,18.02.1841
"",,,,,,,"Poritasch-Schnürmaschinen geflochten werden, sodaß die Schattierungen vortheilhafter u.",,,,,
"",,,,,,,desainartig zusammengestellt werden können,,,,,
"",,,,,,,Beschreibung der neuen Entdeckung: daß sie durch eigenthümliche Vorrichtungen und,,,,,
"",,,,,,,"Abänderungen an den Locomotiven die Funken dergestalt beseitigen, daß - selbst bei",,,,,
2921,Meissner,Karl Ludwig,Meissner,Paul Traugott,,,,"Lokomotive, Funkenfänger",Wien,,1841,10.01.1841
"",,,,,,,Verwendung des Brennholzes - jede Gefahr des Anzündens der in der Nähe der Eisenbahnen,,,,,
"",,,,,,,liegenden Ortschaften verschwindet,,,,,
