PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,Ort,Jahr,Einreichdatu
"",,,,,,,"Descrizione dell'invenzione ... che ... consiste nel far viaggiare le barche con le ruote, ...",,,,
731,Rossi,Giorgio,,,,,,"Schiffsantrieb, Getriebe",Venezia,1830,23.04.1830
"",,,,,,,[Schiffsräder],,,,
732,Walz,Mathias,,,,,Entdeckung. Ganz neu erfundene unter dem Namen Florentiner Hüte für Männer und Frauen,Hut,Prag,1827,18.01.1827
733,Beccqa,Tommaso Carlo,,,,,Miglioramento per fare il Rum,Rum,Vicenza,1824,22.10.1824
734,Kuhn,Ignaz,,,,,"Beschreibung der ... Verbesserung der Stahl Mieder Federn: oder Blanscheten, ...","Mieder, Stahlfeder",Wien,1829,27.07.1829
"",,,,,,,"Beschreibung der ... Verbesserung, welche wesentlich darin besteht: Die Schnürlöcher bey",,,,
735,Rott,Franz,,,,,,"Mieder, Schnürloch",Wien,1830,09.02.1830
"",,,,,,,Miedern nicht mehr mit eisernen oder drahtenen Ringeln zu belegen,,,,
736,Hoecht,Joseph,,,,,Beschreibung einer neu Erfundenen Bierbrau Methode,"Bier, Brauapparat",Graz,1827,29.08.1827
737,Schoeller,Gebrüder,,,,,Beschreibung des Patent-Spühlkumpen. Beschreibung der Patent-Walken,"Spülmaschine, Walkkessel",Wien,1826,31.08.1826
738,Findeis,Franz,Prziza,Karl,,,Beschreibung der Erfindung einer Dampfeinlaß- und Abzieh-Preßmaschine,Tuchpresse,Wien,1826,23.09.1826
"",,,,,,,Beschreibung der ... auf eine ganz vorzügliche Art zu Reinigen und zu jedem Gebrauche auf die,,,,
739,Zweibrueck,Lazar,,,,,Dauer von 8 und 10 Jahren ohne Einwirkung eines Schadens haltbar auszuarbeitenden rohen,Darm,Prag,1825,03.09.1825
"",,,,,,,Rinds-Gedärme,,,,
740,Beer,Wilhelm,,,,,Methode zum raffinieren des rohen Zuckers vermittelst Kohlen,"Raffinade/Zucker, Zucker",Wien,1821,30.03.1821
"",,,,,,,"Beschreibung der ... Verbesserung, welche ... darin besteht: ein Dampfboot nach einer besonderen",,,,
"",,,,,,,"ganz neuen Bauart und Dimensionen Verhältniß herzustellen, durch welche der Lauf desselben",,,,
741,Morgan,William,,,,,,Schiffbau,Wien,1825,27.05.1825
"",,,,,,,"gegen Wind und Wasser bedeutend erleichtert, und eine größere Sicherheit der Räder erzielt wird",,,,
"",,,,,,,[Text ital.],,,,
"",,,,,,,Beschreibung des Mechanismus zur Fahrt Stromaufwärts und seitwärts durch die Kraft des,,,,
742,Ressel,Joseph,,,,,,"Schiffsantrieb, Getriebe",Triest,1826,12.09.1826
"",,,,,,,Stromes und mittels der Dampfmaschine,,,,
743,Ressel,Joseph,,,,,Beschreibung einer Mahlmühle mit Zillindern mit bequemen Beutelzeig und Aufschittung,"Mühle, Beutelgeschirr",Triest,1827,14.04.1827
744,Ressel,Joseph,,,,,Beschreibung meiner Farb Extraktions Methode,"Farbextrakt, Extraktionsapparat",Triest,1827,01.09.1827
745,Ressel,Joseph,,,,,Beschreibung und Zeichnung der hydraulischen Dampf-Maschine,Dampfmaschine,Triest,1828,15.07.1828
"",,,,,,,"Beschreibung des schraubenförmigen Triebrades bey der Dampfmaschine zur Seefahrt, dann",,,,
746,Ressel,Joseph,,,,,,"Schiffsantrieb, Schiffsschraube",Triest,1826,28.11.1826
"",,,,,,,Wind- und Schiffmühlen,,,,
