PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,"Beschreibung der von M. Valentin Robert, Mechaniker in Grenoble ... bereits gemachten u. in",,,,,
"",,,,,,,Frankreich laut kgl.Ordonanz v. 15.04.1843 auf 5 Jahre patentirten u. von ersterem zum Zwecke,,,,,
"",,,,,,,"eines k.k.ausschl.Priv. in den k.k.öst.Erbstaaten zu Gunsten des Guillaume Spiral, Eigenthümer",,,,,
4904,Robert,M. Valentin,Spiral,Guillaume,,,,"Wagen, Eisenbahnwagen, Heizung",Wien,,1843,11.12.1843
"",,,,,,,"Paris ..., cedirten Erfindung, ..., mittelst eines geeigneten Heitz-Apparats Wagen sowohl auf",,,,,
"",,,,,,,gewöhnlichen Straßen fahrende als Eisenbahnwägen (Wagons) durch Berührung,,,,,
"",,,,,,,(Contactheitzung) zu heitzen [Text dt.u.frz.],,,,,
"",,,,,,,"Beschreibung der von Ambroise Ador, Chemiker zu Paris, gemachten und daselbst mit einem",,,,,
"",,,,,,,"Brevet ... patentierten Erfindung (d:dato 31.10.1843), die von diesem an Jacques Bidault,",,,,,
4905,Ador,Ambroise,,,,,,"Wasserstoff, Generator (Gas)",Wien,,1844,30.07.1844
"",,,,,,,"Kaufmann zu Paris, ... für die k.k. öst. Erbstaaten abgetreten wurde, ...: Mittelst eines neuen",,,,,
"",,,,,,,Apparates Wärmestoff zu erzeugen ...[Text dt.u.frz.],,,,,
"",,,,,,,"Forttreibungs-Apparat (Appareil propulseur), ..., unwendbar auf alle Arten von Dampf- u.",,,,,
"",,,,,,,,"Schiffsantrieb, Wagen, Lokomotive,",,,,
4906,Tessier,B.S.,Triat,H.N.,,,"Segelschiffen, auf gewöhnliche Wägen und Eisenbahn-Wägen, sowie auf Ackerbau- und",,Wien,,1845,13.11.1845
"",,,,,,,,"Pflug, Kultivator, Getriebe",,,,
"",,,,,,,Urbarmachungs-Werkzeug [Text du.u.frz.],,,,,
4907,Isoard,M.F.,,,,,"Neues Triebwerk, genannt ""Roue-Chandière"" [Text dt.u.frz.]",Reaktionsrad,Wien,,1845,13.11.1845
"",,,,,,,"Beschreibung und Zeichnung der von August Damery, Mechaniker in Rouen, ... gemachten",,,,,
4908,Damery,August,,,,,"Erfindung ..., daß: ein mechanischer Putzapparat für die Kardendeckel verfertiget wird, ... [Text dt.","Kardendeckel, Putzmaschine",Wien,,1845,13.11.1845
