PrivRegNr,Name1,,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,,"Beschreibung der ... Erfindung, ...: Alle Arten Damen-Kleider und Theatercostüme - Stoffe mittelst",,,,,
"",,,,,,,,,"Stoff, Theaterkostüm, Schablone,",,,,
1897,Uffenheimer,Karl,,,,,,"Patronen so zu coloriren, daß selbe alle derlei bisher gesehenen Stoffe an Schönheit weit",,Wien,,1833,05.01.1833
"",,,,,,,,,"Dessin, Malen",,,,
"",,,,,,,,übertreffen,,,,,
1898,Pfister,Mathias,,Schenk,Jakob,,,Beschreibung zur Verfertigung wasserdichter Stiefeln und Schuhe,"Stiefel, Schuh, Imprägnierung/Leder",Wien,,1833,24.01.1833
"",,,,,,,,,"Webstuhl, Tapetenartiges Gewebe,",,,,
1899,Lotz,Heinrich,,,,,,Beschreibung der neu entdeckten Tabeten artigen Gewebe von feinsten bis zum gröbsten,,Wien,,1833,15.04.1833
"",,,,,,,,,Dessin,,,,
"",,,,,,,,Beschreibung einer neuen Constructions-Art der Kunstbahnen /:Eisenbahnen:/ und der,,,,,
1900,Wertheim,Franz Joseph,,,,,,,"Eisenbahn, Wagen, Transport",Wien,,1833,12.04.1833
"",,,,,,,,Bahnwägen,,,,,
"",,,,,,,,"Beschreibung der Erfindung des Reisepapiers: daß man auf einem solchen Papier ohne alle Dinte,",,,,,
1901,Girtler,Gottfried,,Salm,Hugo Altgraf zu,,,"blos mit einer in gewöhnliches Wasser eingetauchten Feder oder einem Pinsel schreiben könne,","Schreibpapier, Tintenlose Schrift",Wien,,1833,28.05.1833
"",,,,,,,,sodaß die Züge augenblicklich schwarz werden und auch dauerhaft bleiben,,,,,
1902,Walser,Johann,,,,,,Beschreibung der Hand-Zuschneid-Maschine ...,"Schneiderei, Zuschneidmaschine",Wien,,1833,06.08.1833
"",,,,,,,,"Beschreibung der ... Erfindung ..., daß durch besondere neue Vorrichtungen und mit besonderer",,,,,
"",,,,,,,,Schnelligkeit ohne Blasen jede Art Eisen und Schneidwerkzeug mit Inn- und auswändischen,,,,,
1903,Feugl,Michael,,,,,,,"Hammerwerk, Schmieden, Esse",St.Pölten,,1833,21.08.1833
