PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatu
686,Bollinger,A.H.,,,,,Beschreibung der Hanf Flachs und Werg Bändermaschine,"Hanf, Flachs, Werg, Spinnmaschine",Wien,,1826,14.01.1826
"",,,,,,,"Die Hauptsache meiner, von mir ganz allein erfundenen Spitzen-Maschine /: um Tull anglais,",,,,,
687,Haas,Philipp,,,,,"Bobinet, Spitzengrund zu erzeugen:/ und welcher den eigentlichen Gegenstand des Privilegiums","Spitzen, Tüll, Bobbinetmaschine",Wien,,1826,18.02.1826
"",,,,,,,"ausmachet, ist eine - Spule oder Scheibe, worauf die Fäden gewunden werden, ...",,,,,
"",,,,,,,Beschreibung des Verfahrens die bey der Bereitung der oxigenirten Salzsäure in Bleichanstalten,"Bleichrückstände,",,,,
688,Ries,Johann Franz,,,,,"übrigbleibenden Rückstände, auf Säuren, Salze, und zur Erzeugung der Gallerte aus Knochen und","Knochen/Verwertung, Salzsäure,",Wien,,1821,21.03.1821
"",,,,,,,anderen thierischen Abfällen zu benützen,"Gallerte, Säuren, Salze",,,,
"",,,,,,,"Descrizione della Scoperta di miglioramento, che ... consiste nei forni da usare rotto olie caldoje,",,,,,
689,Smania,Giovanni,,,,,,"Seife, Siedeofen",Verona,,1821,04.07.1821
"",,,,,,,che travagliano a riverbero con un'attività ... [Seifensiedeofen],,,,,
"",,,,,,,"Beschreibung der ... Erfindung, welche ... darin besteht, daß man gegen den Druck und das",,,,,
"",Farkas -,,,,,,Eindringen des Wassers in einem metallenen anzuge von Kopf bis zum Fuß eingeschlossen sich ins,,,,,
690,,Franz Edl.v.,,,,,,Taucheranzug,Wien,,1820,20.11.1820
"",Farkasfalva,,,,,,"Wasser taucht- um unter dem Wasser ohne Beklemmung und Unterbrechung Tage lang, fast jede",,,,,
"",,,,,,,Arbeit selbst in größeren Tiefen vornehmen zu können,,,,,
"",,,,,,,"Genaue Beschreibung wie, gefertigter, aus gemeinem, Turkchen gegerbten Bok und geißleder,",,,,,
691,Sommer,Georg Adam,,,,,,"Gerberei, Maroquin, Dessin",Wien,,1821,28.10.1821
"",,,,,,,den Schönsten Marogin hervorbringt,,,,,
"",,,,,,,"Beschreibung der ... Erfindung, welche ... darin besteht, daß man vermittelst einer nach",,,,,
"",,,,,,,"verschiedenen beliebigen äußeren Formen und Dimensionen, längere oder kürzere, mit optischen",,,,,
692,Schoenstedt,Gottlieb,,,,,,Fernrohr,Wien,,1821,05.03.1821
