PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatu
"",,,,,,,[1.] Beschreibung einer Maschine vermittelst welcher eine Art von Spitzen in England Bobbin-net,,,,,
1140,Davy,Henry Savill,,,,,,"Bobinetmaschine, Spitzen, Tüll",Wien,,1824,10.07.1824
"",,,,,,,"genannt, verfertigt wird, 2. Beschreibung dieser Art von Spitzen",,,,,
"",,,,,,,"Disertazione intorno alla filatura della seta, e alla macchina a vapore esequita nella Filanda dei Sig.",,,,,
1141,Gasparini,Valentino,,,,,,Spinnmaschine,Rovereto,,1821,15.12.1821
"",,,,,,,"Bettini ... e sopra i miglioramenti, ed invenzioni ... [Seidenspinnmaschine]",,,,,
"",,,,,,,Beschreibung einer Maschine geeignet um jede Art von faserigen Stoffen zu zwirnen und wieder,,,,,
1142,Davy,Henry Savill,,,,,,"Spinnmaschine, Zwirnmaschine",Wien,,1824,02.07.1824
"",,,,,,,zu zwirnen /: a tordre et retordre:/,,,,,
1143,Brevillier,Karl Wilhelm,,,,,Erklärung einer neuen Art Baumwollenputzmaschine ...,"Baumwollputzmaschine, Krempeln",Wien,,1822,09.12.1822
"",,,,,,,"Beschreibung der ... Verbesserung, ..., daß er Zwanzig Tapezier-Bördel-Gänge in Zehen",,,,,
1144,Resler,Johann,,,,,,"Borte, Dessin, Bandstuhl",Wien,,1821,28.05.1821
"",,,,,,,"verschiedenen Desseins auf einen Mühlstuhle verfertiget, ...",,,,,
"",,,,,,,Beschreibung des ... Wagens für Holz und andere Waaren ... Das Prinzip dieses Wagens ist ... der,,,,,
1145,Reinscher,Mathias,,,,,,"Wagen, Abladen, Kipper",Wien,,1823,13.05.1823
"",,,,,,,Verschluß der geladenen Waare und das schnelle und leichte Abladen derselben ...,,,,,
1146,Mittrenga,Anton,,,,,Bestandtheile des neuerfundenen zusammengesetzten aromatischen Wiener-Wasser,Parfüm,Wien,,1823,01.07.1823
"",,,,,,,"Erfindung mittelst einer neuen Verfahrungsart, die bisher aus Ungarn und aus dem Littorale in",,,,,
"",,,,,,,"schwarz-grauen Stücken im Handel vorkommende kalzinirte Soda, so gereinigt darzustellen, daß",,,,,
1147,Mauthner,Adam,,,,,,Soda,Budapest,,1825,15.04.1825
"",,,,,,,"diese ohne aller ... Beimischungen, zum Besten der inlandischen Manufakturen, unter der",,,,,
"",,,,,,,"Benennung Raffinirte Soda im Großen eingeführt werden wird, ...",,,,,
1148,Wassek,Franz,,,,,Beschreibung der ... neuen Erfindung der Holzersparungsöfen,Ofen,Wien,,1830,22.09.1830
"",,,,,,,Methode völlig undurchsichtig schwarzes Glas mittelst Desoxydation durch Holzsägespäne oder,,,,,
1149,Zich,Joseph,,,,,,"Hyalitglas, Sägespäne",Schwarzau,,1823,20.06.1823
"",,,,,,,andere Kohlenstoffhältige Körper zu erzeugen,,,,,
1150,Pompejo,Franz Joseph,,,,,"Beschreibung der ... Erfindung einer Schneidmaschine zur Erzeugung der Holzschrauben, ...","Holzspindel, Gewindeschneiden",Wien,,1823,23.07.1823
"",,,,,,,"Beschreibung der ... Verbesserung, die MobilienPolsterung mit besonders zubereiteten Kendar",,,,,
"",,,,,,,"/:Hanf/ mit Beihülfe der eisernen Springfedern ... elastisch zu machen, daß sie der Polsterung mit",,,,,
1151,Junigl,Georg,,,,,,"Polstermöbel, Hanf",Wien,,1822,13.03.1822
"",,,,,,,"Roßhaar an Elastizität nicht nachsteht, aber der Verwüstung durch Schaben[Motten], nicht",,,,,
"",,,,,,,ausgesetzt ist,,,,,
