PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,Ort,Jahr,Einreichdatum
"",,,,,,,"Descrizione dell'invenzione che ... consiste in una macchina di rame, ed in un nuovo metode di",,,,
1354,Bouthon,Justin,,,,,"preparazione del nero animale, colla quale macchina, e preparazione si scolorano gli Sciroppi e si","Raffinade/Zucker, Knochenkohle",Milano,1828,12.05.1828
"",,,,,,,"depura lo Zuccero, ... [Erzeugung der Knochenschwärze zur Zuckerraffinade]",,,,
"",,,,,,,"Beschreibung der ... Verbesserung, ..., daß alle Theile an der BuchdruckerSchnellpreße möglichst",,,,
1355,Mueller,Leo,,,,,,Druckmaschine,Schwaz,1835,08.11.1835
"",,,,,,,"vereinfacht sind, ...",,,,
1356,Mach,Karl,,,,,Beschreibung der Invention der auf Mosaik-Art neu erfundener Verzierung bei Oefen,Kachelofen,Prag,1830,07.12.1830
"",,,,,,,"Beschreibung einer Methode zur Erwärmung von Gebäuden, Metall Körpern, und beliebigen",,,,
"",,,,,,,"Gegenständen überhaupt, mittels der circulation einer nicht elastischen Flüßigkeit, wie z.B.",,,,
"",Escher -,,,,,,,,,,
1357,,Gustav Albert v.,,,,,"Wasser, welche Method von Anger March Perckins in der Grafschaft Middelsex in England",Zentralheizung,Wien,1833,13.09.1833
"",Felsenhof,,,,,,,,,,
"",,,,,,,"gemacht, daselbst priveligirt und dem Priv.-Werber zum Zwecke der Ertheilung eines Priv. in den",,,,
"",,,,,,,k.k.Oest. Staaten mitgetheilt wurde,,,,
"",,,,,,,"Beschreibung in Beziehung auf SchraubenMuttern, zu welcher Verfertigung ich heute um ein",,,,
1358,Steininger,Johann Michael,,,,,,"Schraubenmutter, Stanze",Ried/Innkreis,1832,01.03.1832
"",,,,,,,ausschließliches Privilegium das geziemende Ansuchen stelle,,,,
"",,,,,,,"Beschreibung der ... erfundenen Schnell-Schütz-Maschine, deren Wesenheit darin besteht, Auf",,,,
1359,Wedelis,Nathan,,,,,,"Webstuhl, Schnellschütze",Prag,1834,22.12.1834
"",,,,,,,jedem Webstuhl mit einer willkührlich beliebigen Anzahl von Schnellschützen arbeiten zu können,,,,
1360,Lebeda,Anton Vinzenz,,,,,Beschreibung dieses neu erfundenen [Jagdgewehr-]Schlosses sammt Gesperr,Gewehrschloß,Prag,1830,19.11.1830
"",,,,,,,Descrizione d'una macchina condensatrice dell'aria atta a condurre il soffio perenne a forni per le,,,,
1361,Decristofori,Luigi,,,,,"fusioni Metalliche non che a fornelli, e fucine ed ogni specie. [Luftverdichtungsmaschine für","Schmelzofen, Gebläse",Milano,1831,05.04.1831
"",,,,,,,Schmelzöfen],,,,
"",,,,,,,Beschreibung einer Erfindung ... eines einheimischen Wollengewebes ... Aus diesem ... werden,,,,
"",,,,,,,"Teppiche, Fußteppiche, Möbelstoffe usw. gemacht, indem man in denselben ... Blumen jeder Art,",,,,
1362,Michon,Antonia,geb. Granzini,,,,"verschiedene Arabesken ... anbringen kann ... als 1.) Oursins von dem Haare des Bären, ... 2.) Au","Teppich, Möbelstoff, Damastteppich",Mailand,1830,26.01.1830
"",,,,,,,"point d'Hongrie dammassès, mit dem ungarischen Stiche zusammengesetzt, oder damastartige",,,,
"",,,,,,,Wollenteppiche,,,,
"",,,,,,,Verfahren bei der Fabrikazion eines in die k.k.Oesterreichischen Staaten neu eingeführten,,,,
1363,Gilat,Johann,,,,,,"Kaschmir, Wollstoff",Mailand,1830,28.07.1830
"",,,,,,,"Wollenstoffes, welcher reiner und innländischer Cachemir genannt wird [Text frz.u.dt.]",,,,
"",,,,,,,"Descrizione della nuova Scoperta d'introduzione denominata Hauts Sondages de Jobard, che ...",,,,
1364,Brey,Gaetano,,,,,"consiste - Nella ricerca delle aque zampillanti, dell Mine, e delle Legnite fossili, con processi affato","Quellenerschließung, Tiefbohrung",Milano,1830,20.08.1830
"",,,,,,,differenti di quelli dei Pozzi Artesiani ... [Tiefbohrung],,,,
"",,,,,,,"Beschreibung der Art und Weise in der Lombardei den Boden zuzubereiten, um Stroh zu erzeugen,",,,,
"",,,,,,,"und daraus Hüte zu verfertigen, sowie die in Toskana; ferner der durch diese Methode schon",,,,
1365,Magni,Domenico,,,,,,"Bodenbearbeitung, Stroh, Hut",Mailand,1830,16.08.1830
"",,,,,,,"erhaltenen Muster von Strohgeflechten und der Näherei, um damit die Florentiner-Hüte",,,,
"",,,,,,,nachahmen zu können [Text ital.u.dt.],,,,
