PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,"Beschreibung ... auf die Entdekung und Verbesserung, alle Arten von Meerschaumköpfe nicht wie",,,,,
2729,Krauch,Gottlieb,,,,,,"Meerschaum, Tabakspfeife",Wien,,1839,20.02.1839
"",,,,,,,"bisher üblich aus naßem, sondern aus trockenem Meerschaum zu verfertigen",,,,,
"",,,,,,,"Beschreibung der ... Erfindungen auf Herstellung vorzüglicherer Pflasterungsarbeiten, Mörteln,","Straßenpflasterung, Zement, Mörtel,",,,,
2730,Tesche,Gottfried,,,,,,,Wien,,1839,23.02.1839
"",,,,,,,Kitten oder Füllmassen,Bindemittel,,,,
"",Freisauff -,,,,,,Beschreibung der von dem k.k. Hauptmann Felix Freisauff von Neudegg erfundenen,,,,,
2731,,Felix v.,Gramich,C.B.,Schindelmayer,C.R.,,Blindendruck,Wien,,1836,23.03.1836
"",Neudegg,,,,,,Ektypographie für Blinde,,,,,
2732,Krutzler,Johann,Preshel,Johann,,,Beschreibung auf die in Oekonomischer Hinsicht verbesserte Frictionsfeuerzeuge,Feuerzeug,Wien,,1838,06.05.1838
"",,,,,,,Beschreibung und vorstehende Abbildung [fehlt!] wird eine deutliche allgemeine Vorstellung von,,,,,
2733,Sander,Joseph,,,,,,"Bad, Waschtisch",Wien,,1838,15.12.1838
"",,,,,,,denen Hauptbestandtheilen der Badeapparate Waschtisch und Pittes [geben],,,,,
2734,Wurm,Karl,,,,,Neues Pendel-Schlagwerk,"Pendluhr, Schlagwerk",Wien,,1839,26.02.1839
"",,,,,,,Erfindung einer neuen Art der Anwendung von Wasserstoffgas-Hydrogen-zum Behufe der,"Wasserstoff, Verbrennungsmotor,",,,,
2735,Ador,Ambroise,,,,,,,Wien,,1838,08.10.1838
"",,,,,,,Erlangung einer Bewegungskraft,Schiffsantrieb,,,,
