PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,,Schlagworte,Ort,Jahr,Einreichdatum
"",,,,,,,Descrizione della Scoperta ... di certi Miglioramenti nella fabbricazione del Sapone,,,,,
5764,Dunn,Arthur,,,,,,Seife,,Trieste,1839,08.03.1839
"",,,,,,,[Seifenerzeugung] [Text engl.u.it.],,,,,
5765,Plach,Franz,,,,,Neues System von hydraulischen- oder Gebrigs-Eisenbahnen,"Eisenbahn/Hydraulische, Wasserrad",,Bozen,1845,
5766,Girardoni,Anton,,,,,Beschreibung und Zeichnung der Erfindung des Pendelregulators,Pendelregulator,,Wienersdorf,1847,02.08.1847
"",,,,,,,Beschreibung einer neuen Erfindung zur Verarbeitung und Zubereitung des Flachs- und Baumwoll-,,,,,
5767,Schlesinger,Libor,,,,,,"Flachsgarn, Baumwollgarn, Appretur",,Wildenschwert,1847,12.07.1847
"",,,,,,,garnes mittelst eines neu erfundenen Apretursaftes ...,,,,,
"",,,,,,,Specification einer Erfindung bestehend in einem Verfahren zur Umhüllung und Isolirung der,,,,,
"",,,,,,,,"Kabel, Leitungsdraht,",,,,
5768,Orth,Louis v.,Stephan,Leopold,,,"elektromagnetischen Telegraphendrähte mit Gutta Percha, sowie mit verschiedenen",,,Wien,1849,21.07.1849
"",,,,,,,,Isolierung/Elektrische,,,,
"",,,,,,,"Compositionen ... und anderen Substanzen, ...",,,,,
"",,,,,,,Nachträgliche Erklärung der dem Gesuche des Thomas Newte vom 27.08.1850 um ein Privilegium,,,,,
"",,,,,,,,"Zucker, Raffinade/Zucker, Zentrifuge,",,,,
5769,Finzel,,Newte,Thomas,,,"über eine neue Methode zur Raffinirung des Zukkers mittelst Centrifugalkraft, beigefügten",,,London,1850,30.09.1850
"",,,,,,,,"Getrieb, Stufenloses",,,,
"",,,,,,,Beschreibung; nebst einer Zeichnung,,,,,
