PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatu
"",,,,,,,Beschreibung über die neuen Erfindungsmethode aller Gattung Tuch zuzurichten dass dasselbe,Schnittware/Lagerung -,,,,
602,Abeles,Henoch,Kohn,Samuel,,,,,Wien,,1824,21.06.1824
"",,,,,,,für Schoben und Verlagerung geschützt wird,Lagerung/Schnittware,,,,
"",,,,,,,Beschreibung des ... erfundenen Mechanischen Meß und Eintheilungs Rade um Flächen und,,,,,
603,Hoegler,Franz,,,,,"Gebirgsräume in der Länge und Breite, und ihrem Umfange mit einer außerordentlichen",Meßrad,Wien,,1831,01.04.1831
"",,,,,,,"Schnelligkeit und Bestimmtheit meßen, und Eintheilung machen zu können",,,,,
604,Reinscher,Mathias,,,,,"Beschreibung und Zeichnung einer neu erfundenen Kreissäge, ...",Kreissäge,Wien,,1823,13.05.1823
"",,,,,,,Verbesserungen an den bereits exclusive privilegirten Holzzerkleinerungs-Maschinen des Vereins,,,,,
605,Reinscher,Mathias,Schoenfeld,Ignaz R.v.,,,,"Holzzerkleinerung, Brennholz",Wien,,1823,30.07.1823
"",,,,,,,Phorus,,,,,
606,Girardoni,Franz,,,,,Die verbesserten Druk-Walzen sind auf folgende Art gemacht ...,"Spinnmaschine, Druckwalze",Wien,,1826,18.03.1826
607,Girardoni,Franz,,,,,Beschreibung der Verbesserung auf Water-Twist,Spinnmaschine,Münchendorf,,1826,15.05.1826
"",,,,,,,"... bitten ... ihnen auf die Erfindung, daß man bey Tag und bey Nacht, mit der größten",,,,,
608,Popp,Alexander,Wunderer,Ignaz,,,"Zuverläßigkeit den Ort, wo eine Feuersbrunst entstanden ist, gleich bestimmen könne, ein","Orientierung, Pyroskop",Wien,,1829,14.09.1829
"",,,,,,,Privilegium ... zu bewilligen,,,,,
609,Winkler,Wolf,,,,,Beschreibung zur Verbesserung des Kochsalzes,Kochsalz,Wien,,1825,06.12.1825
610,Girard,Philipp Heinrich,,,,,Beschreibung verschiedener Verbesserungen an den Flachsspinn-Maschinen,"Spinnmaschine, Flachs",Wien,,1825,10.10.1825
"",,,,,,,"Beschreibung wie der Lehm oder Thon behandelt werden soll, um darauß leichte Ziegelwaare zu",,,,,
611,Witteck,Johann Christian,,,,,,"Ziegel, Ton",Prag,,1823,23.08.1823
"",,,,,,,erhalten,,,,,
612,Ebert,Karl Friedrich,,,,,"... zeigt ... an, eine neue Verbesserung zur Erzeugung der Filz und Seidenhüte gemacht zu haben, ...",Hut,Wien,,1829,27.01.1829
613,Ebert,Karl Friedrich,,,,,"Beschreibung der ... Verbesserung ... darin bestehet: Eine Zurichtung der Steifung der Filzhüte, ...",Hut,Wien,,1825,22.11.1825
"",,,,,,,Beschreibung über die Erzeugung jeder Gattung von Essig aus inländischen Stoffen durch eine,,,,,
614,Koenigshofer,Karl,Lafite,Frederic,,,,"Essig, Gärapparat",Graz,,1823,07.01.1823
"",,,,,,,"eigene Behandlung und besondere Vorrichtung der Gährgefässe, ...",,,,,
"",,,,,,,"Beschreibung der ... Erfindung, welche ... darin besteht, daß in einem Zeitraume von einer Stunde,",,,,,
"",,,,,,,"oder auf einem Joche, in einer ebenen, oder sanft abdachenden Lage liegenden Wiese entweder",,,,,
615,Da Rio,Franz,,,,,,"Heuweunder, Häufler/Heu",Wildalpe,,1823,12.07.1823
"",,,,,,,"durch den schon bekannten Heuwender, oder durch Menschenhände ... als Heu schnell ... in",,,,,
"",,,,,,,Haufen gebracht werde ...,,,,,
"",,,,,,,"Beschreibung der ... Erfindung, welche ... darin besteht, 1. Thüren, Fenster, Jalousien, hölzerne und",,,,,
616,Withalm,Joseph Benedikt,,,,,"eiserne Geländer, etc. ... Sonnenfirniß-Farben überziehen zu lassen, ... 2. Feuersichere","Firnis, Selchen",Graz,,1824,09.06.1824
"",,,,,,,Rauchkammern nach wästpfählischer Weiße zu erbauen ...,,,,,
617,Gasteiger,Anton,,,,,Beschreibung der ... erfundenen Kaffee-Dampfdruk-Maschine,Kaffeemaschine,Graz,,1824,17.07.1824
"",,,,,,,"Beschreibung uiber die ... Erfindung, alle Gattungen Männer- und Fraunehüte, dann Kapeln, u.",,,,,
618,Mayer,Franz,,,,,,"Hut, Kappe, Korb, Rohr/Spanisches",Graz,,1826,26.04.1826
"",,,,,,,Strickkörbchen ganz aus spanischem Rohre zu erzeugen,,,,,
"",,,,,,,"Beschreibung der ... Erfindung, welche ... darin besteht, daß mittelst ganz neu eingerichtete",,,,,
"",,,,,,,"Schneid- und Drehmaschienen alle Gattungen Getriebe von ... Stahl ... verfertigt werden können,","Zahnrad, Räderschneidemaschine,",,,,
619,Jaekle,Bernhard,,,,,,,Graz,,1825,30.09.1825
"",,,,,,,"... So ebenfalls die Uhrräder, deren ein Dutzend auch Mehrere, auf einmal eingeschnitten werden",Fräsmaschine/Metall,,,,
"",,,,,,,können; ...,,,,,
"",,,,,,,"... Beschreibung einer ... Erfindung und Verbesserung, welche ... darin bestehet, mittelst",,,,,
620,Dietrich,Anton,,,,,Maschinen und Drahtzugeisen Hüthe aus spanischen Glanz-Rohr mit Fischbein oder in sich selbst,"Hut, Rohr, Spanisches, Fischbein",Graz,,1826,07.10.1826
"",,,,,,,"eingeflochten, zu verfertigen, ...",,,,,
"",,,,,,,"Beschreibung der ... Erfindung, welche ... darin besteht: Mittelst ein und Doppelbrau Apparates,",,,,,
"",,,,,,,"Bier oder Branntweingut zu bereiten, und aus letzerem mittelst eines einfachen Destillirapparates","Brauapparat, Bier, Destillierapparat,",,,,
621,Koenigsbrunn,Alois Frh.v.,,,,,,,Graz,,1824,01.03.1824
"",,,,,,,"ein dem Franzbrandwein ähnliches Produkt, ... oder auch aromatischen Branntwein, bey","Branntwein, Franzbranntwein",,,,
"",,,,,,,einmaliger Destillation zu bereiten,,,,,
"",,,,,,,"Beschreibung der neuen Entdeckung, aus Weinlager (:Gleger:) ohne Beymischung fremdartiger",,,,,
622,Koenigshofer,Karl,Lafite,Frederic,,,,"Essig, Weinlager, Destillierapparat",Graz,,1821,06.06.1821
"",,,,,,,Stoffe den schärfsten Weinessig von vorzüglicher Klarheit durch Destillation zu fabrizieren,,,,,
623,Lafite,Frederic,,,,,Beschreibung einer Kaffeemaschine,Kaffeemaschine,Graz,,1822,01.03.1822
"",,,,,,,Genaue Beschreibung der Verfahrungsweise zur Erzeugniß eines Trocknungs-Firniß-Lassur für,"Mauer, Trockenlegung,",,,,
