PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,"Die Erfindung besteht in einer metallischen Composition, deren spezifische Schwere alle anderen",,,,,
"",,,,,,,"Metalle außer Gold und Platin übersteigt, den concentrirten Säuren ... widersteht ... u. durch ein",,,,,
3884,Wall,Arthur,,,,,"von mir erfundenes Verfahren ... selbe gegen alle Einwirkungen der Säuren, wie auch gegen jeden",Korrosionsschutz,Wien,,1844,29.04.1844
"",,,,,,,"atmosphärischen u. elementarischen Einfluß beschützt ..., daß sie Kupfer und andere Metalle vor",,,,,
"",,,,,,,Zerstörung durch Rost oder Oxidation bewahrt,,,,,
"",,,,,,,"Beschreibung erstens der Massa zum Formen verschiedener Gegenstände, ... zweitens der Art,","Plastische Masse, Modellieren,",,,,
3885,Crecellius,Karl,,,,,"mit dieser Massa Pfeifen aus Thon, Porzellain oder Holz zu überziehen ... drittens ... aus dieser ...","Überzug, Bandstoppel, Trinkbecher,",Wien,,1841,17.09.1841
"",,,,,,,Bänderstoppel zu formen ... viertens ... aus dieser Massa Becher zu formen,Tabakspfeife,,,,
"",,,,,,,"Beschreibung der ... Erfindung, ..., aus dem Safte eines Pflanzenkörpers folgende Produkte zu",,,,,
"",,,,,,,,"Eichensaft, Braun, Schwarz,",,,,
3886,Rietsch,Franz Gottfried,Stoll,Anton Friedrich,,,"erzeugen: 1.) braune Malerfarben, welche als Wasser-, Gummi- und Leinfarben, wie auch als Oehl-",,Wien,,1842,10.06.1842
"",,,,,,,,"Aquarellfarbe, Oelfarbe",,,,
"",,,,,,,"u. Lackfarben ..., als Tuschfarben ... 2. eine Schwärze, welche an Tiefe den Kienruß übertrifft",,,,,
"",,,,,,,"Beschreibung für das Privilegium auf Verbesserung von Tull anglais Spitzen, ..., daß ein u. dieselbe",,,,,
3887,Austin,Friedrich,,,,,,"Tüll, Spitzen, Bobinetmaschine",Wien,,1843,11.04.1843
"",,,,,,,"Maschine zu gleicher Zeit 2 Stücke, davon jedes einzelne mit verschiedenen Mustern erzeugt",,,,,
"",,,,,,,Beschreibung einer neuen Methode des Streckens des Eisens mit nicht cannelirten Walzen und,,,,,
3888,Borsieri,Agostino,,,,,,"Eisen, Strecken, Stufenwalzwerk",Wien,,1842,04.08.1842
"",,,,,,,"ohne Stellschrauben, vermittelst Etagen",,,,,
"",,,,,,,Beschreibung der ... Erfindung: Alle Gattungen von Rauch- oder Pelzwerk mittelst eines eigenen,,,,,
3889,Plon,Ignaz,,,,,,"Pelz, Färben/Pelz, Imprägnierung/Pelz",Prag,,1843,02.09.1843
"",,,,,,,Farbenstoffes ... zu färben u. herzurichten ...,,,,,
"",,,,,,,Descrizione della nuova invenzione che ... consiste in sostanza in un nuovo fuso per filatojo da Seta,,,,,
3890,Perinetti,Carlo,,,,,,"Spindel, Seide, Spinnmaschine",Milano,,1843,14.06.1843
"",,,,,,,... [Spindel zur Seidenspinnmaschine],,,,,
3891,Feldbacher,Anton,,,,,Erklärung der Steuerung der atmosphärischen Maschine mit 2 Excentrique,"Luftmotor, Steuerung",Wien,,1844,29.01.1844
3892,Koberwein,Franz,,,,,Beschreibung der Bestandtheile einer von mir eigenst erfundenen Tabakspfeife,Tabakspfeife,Pöllau/Stmk,,1844,09.09.1844
"",,,,,,,"Beschreibung der ... Erfindung, mit Steinkohlen aus blauen und weissen Marmor Kalk zu brennen",,,,,
3893,Rothler,Joseph,,,,,,"Marmor, Kalk, Kalkofen, Ziegelofen",Graz,,1844,18.09.1844
"",,,,,,,...,,,,,
3894,Rigatelli,Bartolomeo,,,,,Beschreibung der ... Methode Seide zu färben ... [Text ital.],"Seide, Färben/Seide",Wien,,1840,05.09.1840
"",,,,,,,Verzeichniss verschiedener Verbesserungen in Maschienen und Apparaten zum Bleichen oder zur,"Zeugdruck, Bleichkessel,",,,,
3895,Wright,Samuel Wellmann,,,,,,,Laibach,,1840,27.06.1840
"",,,,,,,"Reinigung der leinene, baumwollenen oder anderen Zeuge und auch faserigen Gegenstände",Waschmaschine,,,,
3896,Stahlberg,Anton Karl v.,,,,,Beschreibung der Stahlbergischen Bergersteigmaschine,"Gebrigslokomotive, Steigung",Wien,,1842,02.09.1842
"",,,,,,,Descrizione del nuovo Sistema di Forno a lavorerio mai discontinuato pella distensione della Lastre,,,,,
3897,Marocco,Ercole,,,,,,"Tafelglas, Schmelzofen",Venezia,,1843,17.06.1843
"",,,,,,,vetro in base ... [Ofen zum Gießen der Glastafeln],,,,,
3898,Neubauer,Johann,,,,,Beschreibung der .. Coffe-Praecifutations- oder Röstungs Maschine,"Kaffee, Röstmaschine",Wien,,1844,19.08.1844
3899,Hess,August,,,,,Beschreibung auf Erfindung einer verbesserten Wagenlaterne,Wagenlaterne,Wien,,1845,12.02.1845
"",,,,,,,,,Michelbach/St,,,
3900,Pachernegg,Johann,,,,,Beschreibung der ... Verbesserung in der Sensen- und Sichelerzeugung,"Sense, Sichel, Esse, Feuerung",,,1840,11.07.1840
"",,,,,,,,,mk.,,,
3901,Lazzaroni,Giovanni Battista,,,,,Macchinetti ed ordigni serico-Vernici migliorati ... od Aspini ... [Spindeln zum Spinnen der Seide],"Seide, Spinnmaschine",Wien,,1843,25.10.1843
3902,Griess,Friedrich,Winter,Emanuel,,,Beschreibung der neuen Erfindung: Damen u. Herrn Fahr- und Reitpeitschen zu verfertigen,Peitsche,Wien,,1844,07.09.1844
"",Freysauff -,,,,,,,,,,,
3903,,Felix v.,,,,,Beschreibung meiner Luftheitzung mittels Circulations Röhren,Kachelofen,Wien,,1839,23.12.1839
"",Neudegg,,,,,,,,,,,
"",,,,,,,"Beschreibung der Prägepreße samt der Verfahrungsart wie selbe damit Ihre Erzeugniße als, Bunte,",,,,,
3904,Bauerkeller,Georg,Knepper,Wilhelm,,,"geprägte Gold u. Silberpapiere udgl. Borden, dan Relief Bilder mit allen Sorten Zeichnungen u.","Druckmaschine, Prägemaschine",Wien,,1840,27.07.1840
"",,,,,,,"Schriften, Stadt u. Längerpläne, topographische Gegenstände",,,,,
"",,,,,,,"Beschreibung: Meine gemachte neue Erfindung u. Verbesserung besteht in einer Schuhwichse, die",,,,,
3905,Pollak,Abraham,,,,,,Wichse,Wien,,1840,24.10.1840
"",,,,,,,"aus Ingredienzien zusammengesetzt ist, ...",,,,,
"",,,,,,,"Beschreibung eines neuen Verfahrens, die Excremente der Unrathkanäle und Senkgruben","Senkgrube, Kanal, Geruchlosmachen,",,,,
"",,Jéan Gabriel Victor,,,,,,,,,,
3906,Moléon,,,,,,augenblicklich geruchlos zu machen; womit ... erreicht werden: 1.) die sogleiche Umwandlung der,"Exkremente, Düngergewinnung,",Wien,,1840,24.02.1840
"",,de,,,,,,,,,,
"",,,,,,,festen Bestandtheile in Dünger; 2.) die Gewinnung der Ammoniaksalze aus den Flüssigkeiten,Ammoniaksalz,,,,
3907,Mareda,W.F.,& Sohn,,,,... ein ganz neues System bei Unschlittschmelzung ...,"Unschlitt, Raffinade/Unschlitt",Wien,,1841,07.10.1841
"",,,,,,,Beschreibung der Verbesserung in der Verarbeitung der verschiedenen dessinirten Stoffe in,,,,,
3908,Reithoffer,Johann Nepomuk,,,,,,"Gummigewebe, Dessin, Webstuhl",Wien,,1841,13.09.1841
"",,,,,,,Verbindung mit Kautschuk (Gumi elasticum),,,,,
