PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,Ort,Jahr,Einreichdatu
"",,,,,,,Beschreibung des ... neu erfundenen Doppelgewehrs mit verdeckten chemischen sogenannten,,,,
848,Nowak,Joseph,,,,,,"Jagdgewehr, Gewehrschloß",Stockerau,1826,08.07.1826
"",,,,,,,"Salvationsschloß, mit Beziehung auf alle andere Gattung auch einfachläufigen Gewehre",,,,
"",,,,,,,"Beschreibung der Granitstaube und Körner auch der hiezu nöthigen Kitte, deren Mischung und",,,,
849,Hirschfeld,Karl,,,,,,Kunsstein,Wien,1827,11.08.1827
"",,,,,,,"Behandlungs-Art, bis zur gänzlichen Vollendung einer ganz ähnlichen; /:gestreuten:/ Granitmassa",,,,
"",,,,,,,"Beschreibung der ... Entdeckung, welche ... darin besteht,: den Bleizukker aus inländischen",,,,
850,Mertz,Theodor,,,,,"Producten ... zu erzeugen, wodurch derselbe sich vorzüglich zur Anwendung in der Färberey eigne,","Bleizucker, Färben",Wien,1825,25.06.1825
"",,,,,,,und wobey er wesentlich zur Erhöhung und Haltbarkeit der Farben beiträgt,,,,
"",,,,,,,"Beschreibung der neuen Verbesserung, auf die obgedachten Damen-Leibbinden mit Spitz, und in",,,,
"",,,,,,,"verschiedenen Formgestallten: und dan nach der Form des Schnittes, durch einen Walzendruck an",,,,
851,Kalliwoda,Ignaz,,,,,,"Leibbinde, Dessin",Wien,1827,27.04.1827
"",,,,,,,"der ganzen Fläche angebrachten beliebigen Dessing gepreßt, oder auch mit Gold- Silber- und",,,,
"",,,,,,,Seide gestickt,,,,
852,Miesel,Marie v.,Periboni,Bernhard Edl.v.,,,Beschreibung der Mechanischen StrohHutPreße,Hut,Wien,1827,11.04.1827
"",,,,,,,Declaration über Verbesserung der Fächer oder Eventail Erzeugung mittelst Anwendung von,,,,
853,Reck,Friedrich,Touaillon,Joseph Franz,,,,Fächer,Wien,1826,09.07.1826
"",,,,,,,Maschinen,,,,
"",,,,,,,"Descrizione della scoperta che ... consiste in un metodo esattissimo per misurare le granaglie, ...",,,,
854,Rossi,Giorgio,,,,,,Hohlmaß,Venezia,1830,30.01.1830
"",,,,,,,[Körnermessung],,,,
"",,,,,,,Descrizione dell'invenzione che ... consiste nella costruzione di tre nuove Macchine ad uso di,,,,
855,Stalda,Girolamo,,,,,,Teigwaren,Venezia,1824,01.08.1824
"",,,,,,,"fabbricazione di Paste da Minestra, ... [Teigwarenmaschinen]",,,,
856,Wuest,Alois,,,,,Beschreibung der ... Tuch- und Wollenzeug-Appretur,Appretur,Wien,1824,03.07.1824
"",,,,,,,"Beschreibung der ... Erfindung, welche ... darin besteht, mittelst einer neuen Methode zur",,,,
"",Vaucher du,,,,,,,"Zeugdruck, Molettieren, Gravieren,",,,
857,,,,,,,"Gravierung der Stempeln oder kleinen Walzen sogenannten Molettes, welche ... mechanisch",,Neunkirchen,1826,16.09.1826
"",Pasquier,,,,,,,Dessin,,,
"",,,,,,,"können ausgeführet werden, ...",,,,
"",,,,,,,,"Farbmühle, Farbe/Reiben,",,,
858,Sidler,Johann,,,,,Nähere Beschreibung der ... sogenannten Sidlerischen Reib-Mahl-Pulverisirmaschine,,Wien,1826,11.03.1826
"",,,,,,,,Pulverisiermaschine,,,
"",,,,,,,"Beschreibung einer neuen Erfindung, welche ... darin besteht: daß er auf eine eigene Art aus",,,,
859,Girzik,Peter Anton,Stenko,Prokop [Pseud.],,,"verschiedenen vegetabilischen Gegenständen unter der Benehnung Wiener schwarze Farb,",Schwarz,Wien,1827,20.08.1827
"",,,,,,,"bereite, ... [von] Prokop Stenko [Pseud.]",,,,
"",,,,,,,"... zeiget ... an eine neuen Endekung gemacht zu haben, welche ... darinnen bestehet: Von jedem",,,,
"",,,,,,,"geflochtenem oder gewebten Draht ... zu verfertigen; nämlich: Strick- und Obst-körbchen, ...,",,,,
860,Demuth,Karl,,,,,"Fleisch- und Speisebehälter, Speise-Stürze, und Bienenhütte, visier, und Larven, und so noch","Zinkblechwaren, Drahtgewebe",Wien,1827,05.10.1827
"",,,,,,,"verschiedene andere Artikel ... von Zink ... alle Sorten Lampen, Caffee und Theebretter, Trichter,",,,,
"",,,,,,,"Lichtscherren und Flaschen Tazerln, ...",,,,
"",,,,,,,"Beschreibung und Erklärung der neuen Erfindung, welche wesentlich im folgenden besteht, daß",,,,
