PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,,Schlagworte,,Ort,Jahr,Einreichdatu
"",,,,,,,Meine Verfahrungsart aus allen Getreide-Stroh-Gattungen ohne mindesten Zusatz von anderen,,,,,,
1,Estler,Anton,,,,,Substanzen ordinäre und die edelsten Papiere zu verfertigen; wie hier dieses Blat und jenes,Strohpapier,,Wien,,1816,18.02.1816
"",,,,,,,"worauf der Kupferstich ist, ...",,,,,,
"",,,,,,,Das Gebrüder Ofenheimersche Lack-Lake (roter Indigo) als Cochenille Ersatz und Mittel zur,,,,,,
2,Ofenheimer,Anton,,,,,,"Cochenille, Schellack, Lak-Lake, Indigo",,Wien,,1816,10.06.1816
"",,,,,,,Schellackerzeugung,,,,,,
3,Rupprecht,Joseph,,,,,Badeapparat mit Brennstoffeinsparung,Badeofen,,Wien,,1821,07.04.1821
4,Voigtländer,Johann Friedrich,,,,,Beschreibung der periskopischen Gläser und charakteristischen Kennzeichen derselben,"Periskopische Gläser, Brille",,Wien,,1816,06.09.1816
5,Strauss,Anton,,,,,Erfindung einer Druckmaschine,Druckmaschine,,Wien,,1815,02.12.1815
"",,,,,,,"Erfindung ..., daß man vermittelst einer Maschine in den Stand gesetzt wird, die Güte der",,,,,,
6,Koehler,A.C. Frh.v.,,,,,,Wollmesser,,Zwickau/Sa.,,1823,18.06.1823
"",,,,,,,"Schafwollensorten, in Beziehung auf die Stärke des Haares, genau und untrüglich zu messen",,,,,,
7,Schafzahl,Franz Xaver,,,,,Beschreibung der Maschinen Nägel - Modelle in 1/4 Maßstabe,Nagel,,Graz,,1816,18.04.1816
"",,,,,,,Beschreibung über das dem Unterzeichneten ... verliehene Privileg über seine,,,,,,
8,Mayer,Blasius,,,,,,Nagel,,Wien,,1818,20.11.1818
"",,,,,,,Nägelerzeugungsmaschine,,,,,,
9,Leppich,Caspar,,,,,Beschreibung meiner neu erfundenen Nägel-Erzeugungs-Maschine,Nagel,,Wien,,1818,15.10.1818
"",,,,,,,"Beschreibung der erfundenen Maschine ""Mühlstuhl"", auf welcher nicht nur ... Seidenbänder,",,,,,,
10,Bischof,Thomas,,,,,,Bandstuhl,,Wien,,1816,20.02.1816
"",,,,,,,"sondern alle Gattungen Zeuge, durch eine sitzende Person gewoben werden können",,,,,,
11,Mallat,Anna,,,,,"Eine Erzeugung von Weineinschlage, statt mit Leinwand mit Holz","Weineinschlag, Weinfaß",,Znaim,,1821,04.09.1821
"",,,,,,,,"Dörrofen, Malzdörre, Obstdörre,",,,,,
12,Russwurm,Augustin,,,,,"Beschreibung eines Malz-, Flachs-, Obst- etc. Dörrofens",,,Iglau,,1823,27.05.1823
"",,,,,,,,Flachsdörre,,,,,
"",,,,,,,"Beschreibung der ... Entdeckung, welche ... darin besteht, Hüte aus geflochtener Seide, welche die",,,,,,
13,Kissling,Johanna,,,,,"florentinischen Hüte an Schönheit und Dauer übertreffend, und, ohne der Schönheit des",Hut,,Wien,,1821,04.02.1821
"",,,,,,,"Geflechtes zu schaden, geputzt werden können",,,,,,
14,Pfundheller,Josef,,,,,Beschreibung der Seidenhaartouren und des Seidepelzwerks,"Perücke, Seidepelzwerk",,Wien,,1821,09.11.1821
"",,,,,,,"Beschreibung meiner Entdekkung, Lederabfälle in Pappe/Pappendeckel/ und lederartiges Papier,",,,,,,
15,Tedeschi,Anton,,,,,,"Pappe, Papier, Lederabfälle",,Wien,,1821,20.03.1821
"",,,,,,,oder papierartiges Leder zu verwandeln,,,,,,
16,Kinzel,J. Christoph,,,,,Beschreibung des Mobile intervallatum samt seinen sechs Mutationen,"Mobile intervallatum, Getriebe",,Prag,,1821,15.06.1821
17,Ehrnfeld,Thaddaeus,Sechs,Julius,,,Beschreibung der von mir ... neu erfundenen Getreide-Setzmaschine,Sämaschine,,Wien,,1821,11.09.1821
