PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,,Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,Beschreibung samt Zeichnung der ... Erfindung in Anfertigung eines sogenannten musikalischen,,,,,,
"",,,,,,,"Fingerschnellers, ... Mit dieser Maschine steht zugleich ein ... Fingerspanner in Verbindung,",,,,,,
1543,Maelzel,Leonhard,,,,,,Klavierspiel,,Wien,,1836,16.07.1836
"",,,,,,,"welcher zum Zwecke hat, jedem Clavierspieler die möglichst weiteste Spannung seiner Finger",,,,,,
"",,,,,,,durch fleissige Versuche mitzutheilen,,,,,,
"",,,,,,,Beschreibung der Verbesserung: daß sie bis jetzt existirenden allerartigen Compositions Lichter,,,,,,
1544,Goldberger,Gerson,Max,Moritz,,,"aus einer Compositionsmuße verfertigt werden, die vile heller und ökonomischer als die","Kerze, Wachs, Unschlitt",,Rzeszow,,1830,30.07.1830
"",,,,,,,gewöhnlichen brennen,,,,,,
1545,Theyer,Franz,,,,,Beschreibung des erfundenen Bleistift- und Zeichenkreide- Spitz-Instrumentes,"Bleistiftspitzer, Zeichenkreidespitzer",,Wien,,1835,16.04.1835
"",,,,,,,,"Maßnehmen, Kleidung, Zuschneiden,",,,,,
1546,Kuhn,August,,,,,"Beschreibung einer Verbesserung auf die Erzeugung der Männerkleider, ...",,,Wien,,1830,11.08.1830
"",,,,,,,,Schneiderei,,,,,
"",,,,,,,Beschreibung eines beym Erdbohren anzuwendenden Krahnichs o.: Hebekrahns (zur Anlegung,,,,,,
1547,Rohan,Karl Fürst v.,,,,,,"Tiefbohrung, Brunnen/Artesischer",,Wien,,1831,25.05.1831
"",,,,,,,arthesischer Brünnen mittelst neu erfundener noch Niemanden bekannten Bohr-Instrumenten),,,,,,
1548,Enderes,Georg,,,,,Verfahrungsart bei der Fabrikation der Knöpfe aus Papiermachè,"Knopf, Papiermachè, Dessin, Presse",,Wien,,1836,10.06.1836
"",,,,,,,"Beschreibung der ... Entdeckung, ...: 1.) emaillierte Uhrgehäuse nach Schweizer Art zu verfertigen,",,,,,,
"",,,,Ludwig,,,,"Uhrgehäuse, Zifferblatt, Email,",,,,,
1549,Montoison,Elias,Ramel,,,,"auf welche die Dessin nicht graviert, sondern mittelst Walzen eingravirt ist, ... 2. große und kleine",,,Wien,,1830,18.01.1830
"",,,,Konstantin,,,,"Gravieren, Fallhammer, Presse",,,,,
"",,,,,,,"Uhrzifferblätter auf Gold, Silber, Tombak usw. zu erzeugen, ...",,,,,,
"",,,,,,,Beschreibung zu dem Privilegium Gesuche ... auf die Erfindung eines unverfälschbaren Urkunden,"Papier, Wasserzeichen/Imitierte,",,,,,
1550,Trentsensky,Joseph,,,,,,,,Wien,,1833,15.02.1833
"",,,,,,,oder Document Papiers,Lithographie,,,,,
"",,,,,,,Beschreibung der ... Erfindung ...: 1.) Einen ganz neuen Farben-Hyalith ... zu erzeugen ... 2. auf eine,,,,,,
"",,,,,,,Vorrichtung Verschönerung aller Holz-Leder und Papparbeiten durch rein ausgeprägte Atlas-,,,,,,
"",,,,,,,,"Farbenhyalith, Lack, Atlasband, Dessin,",,,,,
1551,Mittell,Karl,Strasser,Franz,,,"Borduren oder Atlas-Arabesquen, ... 3.) daß diese Atlas-Borduen u. Arabesquen durch alle",,,Wien,,1833,01.03.1833
"",,,,,,,,"Druckerwalze, Stanze, Galanterie",,,,,
"",,,,,,,mögliche gepreßte Farberversetzung à la mosaik ... gemacht werden kann. 4. ... daß dieser Farben-,,,,,,
"",,,,,,,Hyalith u. Atlas-Mosaik auf alle Galanterie Arbeiten ... verwendet werden können,,,,,,
1552,Degen,Karl,,,,,Beschreibung zweyer Meß- und Zusammenleg-Maschinen,"Legemaschine, Stoff/Messen",,Wien,,1833,18.03.1833
"",,,,,,,... Beschreibung zu dem Privilegium-Gesuch ... auf die Erfindung: Figuren und farbige Formen,,,,,,
"",,,,,,,"überhaupt Bilder ... nach mathematischen u. physischen Gesetzen zu zeichnen, daß, wenn",,,,,,
"",,,,,,,"dieselben mit ... Schnelligkeit .. vor dem Auge vorbey geführt werden, während der Lichtstrahl",,,,,,
"",,,,,,,"ständig unterbrochen wird, die mannigfaltigsten optischen Täuschungen in zusammenhängenden",,,,,,
1553,Stampfer,Simon,Trentsensky,Mathias,,,Bewegungen und Handlungen dem Auge sich darstellen. Am einfachsten werden diese Bilder auf,"Stroboskop, Kino, Bewegtes Bild",,Wien,,1833,24.04.1833
"",,,,,,,"Scheiben von Pappe ... gezeichnet, in deren Peripherie Löcher zum Durchsehen angebracht sind.",,,,,,
"",,,,,,,"Werden diese Scheiben einem Spiegel gegenüber schnell um ihre Axe gedreht, so zeigen sich dem",,,,,,
"",,,,,,,Auge beim Durchsehen durch die Löcher die belebten Bilder im Spiegel ... optische Drehscheiben,,,,,,
"",,,,,,,/:stroboscopische Scheiben:/ ...,,,,,,
