PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatu
805,Moschini,Sante,,,,,"La nuova invenzione, ... per filare i bozzoli ... [Seidenhaspel]","Seidenkokon, Seidenhaspel",Udine,,1826,07.07.1826
806,Zusner,Kaspar,,,,,Beschreibung der ... neu erfundenen sogenannten Schwedischen Thranglanzwichs,"Wichse, Fischtran",Großföding,,1824,26.06.1824
"",,,,,,,"Beschreibung ... zeigt ... an, eine neue Entdeckung gemacht zu haben, welche ... darin besteht, daß",,,,,
807,Mutzbauer,August,,,,,"er von ... Frohnel, Tuch u. Kasamir, Winterstrümpfe u. Fußsäckeln, ... von ungebleichtem Kanafas,","Strumpf, Socken",Wien,,1830,01.09.1830
"",,,,,,,Leinwand u. Anginet erzeugt ...,,,,,
"",,,,,,,"Beschreibung und Zeichnung der ... Erfindung, welche ... darin besteht, daß bei der BandKarte, und",,,,,
"",,,,,,,"deren Streckmaschinen für Baumwolle, Schafwolle und Galett Seide, das Band, wie es vom",,,,,
808,Busby,Thomas,,,,,"Cylinder herabläuft, zwischen zwey gezähnten Rädern druchgeleitet, und durch dieselbe","Spinnmaschine, Krempeln, Strecken",Wien,,1826,15.03.1826
"",,,,,,,"zusammengepreßt werde, wodurch eine gleicheres und dichteres Band erhalten wird, welches",,,,,
"",,,,,,,wesentlich zur Erzielung einer gleicheren Gespinst beiträgt,,,,,
"",,,,,,,"Beschreibung ... Verbesserung ..., welche ... darin besteht; 1. eine Verbesserung in Anwendung der",,,,,
"",,,,,,,"Schlagwerke, ... 2. die Stanzen dergestalt einzurichten, daß man aus einer einzigen mehrere",,,,,
809,Oberhoffer,Leopold Johann,,,,,,"Prägemaschine, Stanze, Dessin/Metall",Wien,,1829,24.08.1829
"",,,,,,,"Dessains hervorbringen kann, welche aber auf den gewöhnlichen Schlagwerken gemacht werden,",,,,,
"",,,,,,,"wodurch der Vortheil erziellet wird, immer neue Dessains zu haben ...",,,,,
"",,,,,,,"Beschreibung der ... Erfindung, welche ... darin besteht: Handschuhe in allen Gattungen sowohl für",,,,,
810,Liegert,Franz,,,,,,Handschuh,Wien,,1829,17.09.1829
"",,,,,,,Frauen als Männer und Kinder aus glatten oder brauschirten Seidenzeugen zu verfertigen,,,,,
"",,,,,,,Beschreib meiner Erfindung für die Verbesserungen in der Construction und Beschaffenheit aller,,,,,
811,Fischer,Johann Konrad,,,,,,"Ziegel, Hohlziegel",Wien,,1827,28.07.1827
"",,,,,,,Arten von Bak oder Ziegelsteinen,,,,,
812,Nuglisch,Adolf,Treu,Karl,,,Die Bereitungs-Art der feinen Toilette Seifen,Seife,Berlin,,1830,12.05.1830
"",,,,,,,Beschreibung der vom Dr. August Krause erfundenen und von den Gebrüdern Wilhelm und,,,,,
813,Adam,Johann Siegmund,Adam,Wilhelm,,,"Johann Siegmund Adam in Wien verbesserten Methode, Borax aus natürlich vorkommender","Borax, Borsäure",Wien,,1827,23.01.1827
"",,,,,,,Borsäure darzustellen,,,,,
"",,,,,,,"Beschreibung: Diese meine Erfindung besteht darin, daß ich mehrere Bänder auf einmahl auf dem",,,,,
814,Haas,Philipp,,,,,,"Bandstuhl, Webstuhl",Wien,,1827,29.10.1827
"",,,,,,,gewöhnlichen Weberstuhle erzeuge; ...,,,,,
"",,,,,,,"Beschreibung der ... Erfindung respective Verbesserung, welche ... darin besteht, Regen und",,,,,
"",,,,,,,"Sonnenschirme mit einem eigens hiezu fabrizirten, von ihm neu erfundenen Uiberzugsstoffes, aus",,,,,
815,Gellert,Karl,,,,,,"Sonnenschirm, Regenschirm",Wien,,1826,21.11.1826
"",,,,,,,"Seide, und jederartigen Gespunst so zu verfertigen, daß das bereits an den Enden des",,,,,
"",,,,,,,"Uiberzugstoffs so häufige Einreißen beseitget wird, ...",,,,,
"",,,,,,,Beschreibung der neu erfundenen Ehe-Ringe welche ganz artig das Ehepaar vorstellen und zum,,,,,
816,Isak,Karl,,,,,,Ring,Wien,,1829,18.02.1829
"",,,,,,,Vergnügen im Ehestande vieles beitragen,,,,,
"",,,,,,,"Beschreibung der ... Erfindung kolorirter, giligirt gepreßter auch mit geschlagenem Gold oder",,,,,
817,Reitter,Michael,,,,,,"Hut, Möbelstoff",Wien,,1828,10.03.1828
"",,,,,,,Silber dekorirter Damenhüte und sonstiger Tisch und Möbelüberzüge,,,,,
"",,,,,,,"Die Verfahrungsart meines sogenannten Wiener-Punsches, und Benützung der Abfälle zu einen",,,,,
818,Bauer,Joseph Vinzenz,,,,,,"Punsch, Limonade",Wien,,1823,17.06.1823
"",,,,,,,angenehmen Limonade,,,,,
"",,,,,,,"Beschreibung der ... Erfindung, und Anwendung neuer mechanischer Apparate beim Essig",,,,,
819,Kohn,Albert Simon,,,,,,"Essig, Gärapparat",Wien,,1828,04.06.1828
"",,,,,,,Erzeugen,,,,,
