PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatu
"",,,,,,,"Zeigen an, eine neue Verbesserung gemacht zu haben, eine Verbesserung in der Buchbinderey. 1.)",,,,,
1013,Selka,Franz,Selka,Vinzenz Jakob,,,"Alle Bücher werden durch das Heften mittelst eines neuen Zwirn, genannt der","Buchbinderei, Heften, Zwirn, Sehne",Wien,,1824,06.03.1824
"",,,,,,,"Thier[flechsen]zwirn, viel stärker seyn",,,,,
1014,Girzik,Peter Anton,Tichazek,Johann,,,"Beschreibung wie die Hüte, von Pergament-Ziegen oder Schafhäuten verfertigt werden",Hut,Wien,,1824,08.03.1824
"",,,,,,,"Beschreibung der ... Erfindung, ...: daß er auf Metall die Galanterie Arbeiten sowie auf Gold",,,,,
1015,Weiss,Jakob,,,,,"emailliren, wie auch auf selben Metalle Ziffernblätter auf Taschenuhren zu verfertigen in Stande","Uhr, Zifferblatt, Emaillieren, Galanterie",Wien,,1824,30.03.1824
"",,,,,,,"ist, daß sie den von Gold verfertigten vollkommen ähnlich sind",,,,,
"",,,,,,,,"Galanterie, Sonnenschirm, Fächer,",,,,
"",,,,,,,"Beschreibung der Bestandtheile der neu erfundenen mechanischen Gallanterie-Gegenstände, als:",,,,,
"",,,,,,,,"Handtsche, Handarbeitskorb,",,,,
1016,Hirschfeld,Karl,Kratzer,Franz,,,"Sonnenschirme, Damen-Fecher, Rüdikille, Strick-Kofferchen, Kästchen, Näkiß, Lichtschirme,",,Wien,,1824,26.02.1824
"",,,,,,,,"Lampenschirm, Tabaksbeutel,",,,,
"",,,,,,,"Tabackbeuteln, und Geldbehältnisse",,,,,
"",,,,,,,,"Geldbörse, Leder",,,,
1017,Oberer,Friedrich,Wallisser,Joseph Ignaz,,,Beschreibung der erfundenen Handschuhzuschneide- und Dullir-Maschinen,"Handschuh, Zuschneiden",Wien,,1822,11.12.1822
1018,Bollinger,Rudolph,,,,,Beschreibung eines ... neu erfundenen Wagens,Wagen,Wien,,1822,10.12.1822
"",,,,,,,"Beschreibung der Erfindung, bey allen bestehenden Druckmaschinen 2 Dessain Walzen",,,,,
1019,Gertmann,Bernhard,Haury,Georg,,,"anzubringen und mit dem besten Erfolg so zwar auszuführen, daß sowohl doppelte als einfach","Zeugdruck, Dessin",Wien,,1826,13.03.1826
"",,,,,,,Farben gedruckt werden können,,,,,
1020,Lenssen,Johann,,,,,Beschreibung der Maschine ... zum Zermalmen der Oehlsaamen ...,Oehlmühle,Tischnowitz,,1827,14.05.1827
"",,,,,,,Descrizione del miglioramento che ... consiste in una macchina mediante la quale si applicano i,,,,,
1021,Merlo,Luigi,,,,,"soveri alle Bottiglie, e si comprimono nella maniera piu poderosa senza che vi sia pericolo di",Flaschenkorkmaschine,Vicenza,,1829,05.08.1829
"",,,,,,,rompere il collo delle stesse Bottiglie ... [Flaschenkorkmaschine],,,,,
"",,,,,,,"Beschreibung der Erfindung, welche im Wesentlichen darin besteht Dächer auf eine ganz neue Art",,,,,
1022,Altlechner,Laurenz,,,,,,"Dachziegel, Ziegeldecker",Wien,,1824,10.01.1824
"",,,,,,,mit eigens dazu erfundenen und geformten Ziegeln zu deken ...,,,,,
"",,,,,,,"Beschreibung des Verfahrens der Verbesserung, die Spiegeln mit einem eigenthümlichen Lack",,,,,
1023,Pick,Isaak,,,,,"zuüberziehen, um solche vor Abreibung des Quecksilbers zu schützen, und dieselben dauerhafter","Spiegel, Belegen/Spiegel, Lack",Wien,,1824,14.07.1824
"",,,,,,,zu machen,,,,,
1024,Werkal,Joseph,,,,,"Beschreibung der ... Verbesserung, bei Zuschneiden der sogenannten Handschuhe mit einer Naht","Handschuh, Zuschneiden",Wien,,1825,08.05.1825
"",,,,,,,"Beschreibung der ... Entdeckung, ..., chinesisches oder türkisches Chinellen Metall zu erzeugen,",,,,,
"",,,,,,,"woraus alle Sorten Chinellen ... verfertiget werden können, ... Aus diesem Metall können auch die",,,,,
"",,,,,,,"chinesischen Glocken, Tamtam, oder Theater Glocken, ..., auch Glocken zu kleinen und großen",,,,,
"",,,,,,,,"Beckenmetall, Glockenmetall,",,,,
1025,Reisser,Robert,,,,,Kirchthurm Uhren verfertiget werden ... eignet sich dieses Metall besonders zu chirurgischen,,Wien,,1825,17.12.1825
"",,,,,,,,"Klaviersaite, Lagermetall",,,,
"",,,,,,,"Instrumenten ... auch kann aus diesem Metall das feinste Blech wie auch Draht, der sich wegen",,,,,
"",,,,,,,"des schönen Tones vortheilhaft zu Klaviersaiten verwenden läßt, verfertiget werden, auch ist",,,,,
"",,,,,,,dieses Metall sehr zweckmässig für laufende Werke für Lager Zapfen bei Spinnmaschinen etc. ...,,,,,
1026,Dworzak,Amalie,Dworzak,Gustav,,,Bereitungsart der Erdäpfelseife,"Kartoffel, Seife",Wien,,1826,06.01.1826
"",,,,,,,"Beschreibung der ... Erfindung und neuen Verbesserung, ...: 1.) Verfertigt er eine ganz neue Art",,,,,
"",,,,,,,"aufrecht stehender Forte-Pianos, die die Form einer auf einem Säulenfuß ruhenden appollo Leyer",,,,,
1027,Weiss,Franz,,,,,/:Von ihm Erfinder Apollyricon genannt:/ bilden ... 2.) die Auslöser und Hämmer ohne Federn,"Klavier, Apollyricon",Wien,,1825,14.12.1825
"",,,,,,,"bestehen, ... 3.) Bekommt sein Apollyricon ... stehende Dämpfung ohne Federn, ... 4. Erhält sein",,,,,
"",,,,,,,"Apollyricon eine gerade Tastatur, ...",,,,,
"",,,,,,,"Beschreibung der ... Erfindung, ...: 1. In einer Perspektiv-Zeichnungs-Maschine unter dem Nahmen",,,,,
"",,,,,,,"Cubigraph, ... 2. ... geometrische Situations-Pläne ... von einem Standpunkt perspektivisch","Perspektive, Kartographie,",,,,
1028,Stöger,Joseph,,,,,"aufzunehmen, ... 3. Perspektivisch zu niveliren, und Berge zu messen. 4. Gleichstellung der","Zeichnen/Technisches, Geodätische",Wien,,1823,01.12.1823
"",,,,,,,Linienperspektive mit den Wahrheiten der Geometrie ... 5. Die Aufnahmen perspektivisch-,"Instrumente, Panorama",,,,
"",,,,,,,"Meßbarer Rundgemälde, Panorama, Cosmorama, ...",,,,,
"",,,,,,,Descrizione della invenzione che ... consiste in un Machinismo col quale si toglie lo Stelo legnoso,"Hanfbrechmaschine,",,,,
1029,Cabassa,Giovanni Maria,,,,,,,Verona,,1823,13.09.1823
"",,,,,,,alla Canapa e Lino senza macerazione ... [Hanf- und Flachsbrechelmaschine ohne Röste],Flachsbrechmaschine,,,,
1030,Hasslach,Joseph,,,,,Beschreibung der Verbesserung auf Hand-Mühlen u. Schlagwerk,Getriebe,Wien,,1824,05.01.1824
"",,,,,,,Beschreibung des vorliegenden Bootes zum Stromaufwärtsfahren mit Anwendung thierischer,,,,,
1031,Reinscher,Mathias,Schoenfeld,Ignaz R.v.,,,,"Schiffsantrieb, Getriebe, Tretband",Wien,,1823,03.12.1823
"",,,,,,,Kräfte,,,,,
"",,,,,,,"Beschreibung der ... Erfindung, ...: Tabakröhre aus allen Gattungen Holz oder Bein, Horn etc. ... zu",,,,,
1032,Langenbach,Johann,,,,,,Tabakspfeife,Wien,,1826,10.08.1826
"",,,,,,,"machen, ..., nach Willkühr aus langen oder kurzen Röhren zu rauchen, ...",,,,,
1033,Notze,Sidon,,,,,"Beschreibung einer vollständigen Reise-Tabakspfeiffe, ...",Tabakspfeife,Wien,,1823,02.12.1823
1034,Stopsel,Joseph,,,,,Beschreibung der von mir Unterzeichneter neue erfundene Wagen und Maschinen Schmiere,Schmiermittel,Wien,,1823,01.12.1823
