PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatu
"",,,,,,,"Beschreibung der ... Erfindung und Verbesserung, ...: Wachs- und Unschlittkerzen erzeugen zu",,,,,
"",,,,,,,"können, ohne hiezu, wie es bisher allgemein gebräuchlich ist, Dochte von Baumwoll- oder",,,,,
989,Bayer,Leopold,,,,,,"Kerze, Docht, Binsen",Prag,,1828,29.11.1828
"",,,,,,,Flachsgarn zu benöthigen; sondern zu den dochten wird der ausgehülste Kern von der Binse- ...,,,,,
"",,,,,,,"genommen, ...",,,,,
990,Jauernig,Martin,,,,,"[Beschreibung und Zeichnung von] Gärbegefäß, Fließigkeitsbehälter [und] Fließigkeitshöber","Gerberei, Pumpe",Wien,,1823,15.11.1823
"",,,,,,,"Beschreibung der ... Erfindung, ..., daß durch eine Vorrichtung die möglichst reine Stimmung der",,,,,
991,Stauffer,Johann Georg,,,,,"Saiteninstrumente erleichtert, die Reibung der Wirbeln beseitigt, und das Zurückgehen oder",Saiteninstrument,Wien,,1825,13.11.1825
"",,,,,,,"Zurückschnellen derselben gänzlich unmöglich gemacht wird, ...",,,,,
"",,,,,,,"Beschreibung der ... Verbesserung, ..., daß die Japoneser-Schwärze zum Gebrauch für die",,,,,
992,Mussard,Franz Ludwig,,,,,"Buchdrucker in solchen Eigenschaften erzeugt wird, daß solche ihre Schwärze erhalten, nie grau",Druckerschwärze,Wien,,1823,14.01.1823
"",,,,,,,"wird, und um bedeutend geringern Preis zu liefern sey",,,,,
"",,,,,,,Beschreibung des ... neu erfundenen künstlichen Leders ... Die Vortheile ...: 1. Werden alle aus,,,,,
"",,,,,,,"dieser ... Ledermasse zu erzeugenden Dinge ... in Formen verfertigt ..., weshalb alles ... ohne naht","Ledermasse, Kunstleder,",,,,
993,Bernhard,Jakob,,,,,... erzeugt wird 2. ... 3. Ist das erzeugte Produkt wasserdicht und gegen das Eindringen der,"Wasserdichtes Kunstleder,",Wien,,1823,10.03.1823
"",,,,,,,Feuchtigkeit geschützter ... 4. Eignet sich diese Ledermasse zur Verfertigung vieler chirurgischer,Feuchtigkeitsschutz,,,,
"",,,,,,,Instrumente ...,,,,,
"",,,,,,,"... zeiget hirmit, eine neue Erfindung gemacht zu haben, ..., daß er eine neue Vorrichtung bey den",,,,,
994,Dillinger,Joseph,,,,,,Tabakspfeife,Wien,,1825,17.01.1825
"",,,,,,,"Tabakpfeiffen, Wasserableuter oder Wassersack genannt erfunden habe, ...",,,,,
"",,,,,,,"Beschreibung der anzuwendenden Requisiten zur Erzeugung der Pottasche, Soda, Vitriol, und",,,,,
995,Uffenheimer,Jonathan Lazar,,,,,,"Pottasche, Soda, Vitriol, Salze",Wien,,1824,31.12.1824
"",,,,,,,dergleichen Salzen,,,,,
"",,,,,,,,"Flachsbrechmaschine,",,,,
996,Kraeutterer,Karl,,,,,"Beschreibung ... der ... Erfindung, ..., daß er eine neue Art Flachs oder Hanfmaschine gemacht, ...",,Wien,,1825,14.04.1825
"",,,,,,,,Hanfbrechmaschine,,,,
997,Hann,Joseph Anton,,,,,Beschreibung der inneren Struktur der Kochspaarapparate von Gußeisen,Kochapparat,Wien,,1824,21.06.1824
"",,,,,,,"Beschreibung der ... Erfindung, ..., daß: 1. ich ein Gewebe von Gärtner-Last und feinen Fischbein,",,,,,
"",,,,,,,"oder wenn er noch leichter gemacht wird von Fischbein-Haaren, hieraus wird ein Form gebildet, in",,,,,
998,Hartwig,Eduard,,,,,,"Hut, Wasserdichter",Wien,,1824,16.06.1824
"",,,,,,,"Gestalt des Hutes. 2. wird diese Form mit getränktem Papier ... kaschirt, wodurch er eine gänzlich",,,,,
"",,,,,,,"Wasserdichte und immer elastischen Form erhält, ...",,,,,
"",,,,,,,"Beschreibung der neuen Erfindung ...: Die Sonn- und Regenschirms-Ueberzüge, statt mit Zwirn",,,,,
999,Bornschloegl,Magdalena,,,,,oder Seide ... mit Messing oder sonstigen Metalldraht an die Spitzen der Parapluies-Gestelle,"Sonnenschirm, Regenschirm",Wien,,1829,22.12.1829
"",,,,,,,anzuheften; ...,,,,,
"",,,,,,,,"Holzzerkleinerung, Brennholz,",,,,
1000,Ofenheim,Anton Rainer,,,,,Beschreibung der ... Brennholzverkleinerung-Heb- und Transportirungs-Maschine ...,,Wien,,1831,11.01.1831
"",,,,,,,,"Transport, Lademaschine",,,,
"",,,,,,,,"Wollwäsche, Schafwolle,",,,,
1001,Muenster,Hermann,,,,,"Das Apparat um die Schafwolle oder auch andere Stoffe auf eine Art zu reinigen, ...",,Wien,,1832,28.08.1832
"",,,,,,,,Waschmaschine,,,,
"",,,,,,,Beschreibung der auf Tab.I und II von uns erfundenen Gesundheits- und Unterhaltungs-,,,,,
1002,Burg,Anton sen.,Burg,Anton jun.,,,,Fahrrad,Wien,,1824,12.07.1824
"",,,,,,,Maschiene,,,,,
1003,Paklor,Anton,Wappenstein,Rudolph,,,"Beschreibung der ... Erfindung, ...-1. Kerzen aus Unschicht so zuzubereiten, ...","Unschlitt, Kerze",Wien,,1824,09.07.1824
"",,,,,,,"Beschreibung der ... Erfindung, ..., mittelst der Jaquart-Maschine, auf eine ganz neue Art, alle",,,,,
"",,,,,,,,"Jacquardmaschine, Borte, Dessin,",,,,
1004,Moschigg,Bartholomaeus,,,,,"Gattungen von goldenen und silbernen Treßen, wie auch alle derley Band-Borden, worin sich alle",,Wien,,1824,06.07.1824
"",,,,,,,,Wappen,,,,
"",,,,,,,"Familienwappen mit ihren Farben anbringen lassen, auf einmal zu wirken im Stande sey, ...",,,,,
1005,Paklor,Anton,Wappenstein,Rudolph,,,Beschreibung der Venuslichter,"Unschlitt, Kerze",Wien,,1824,28.07.1824
1006,Selka,Franz,Selka,Joseph,,,"Beschreibung der verbesserten sogenannten elastischen Sattel, ...",Sattel,Wien,,1824,30.07.1824
1007,Haidinger,Maximilian,Staufer,Georg,,,"Zeigen an, eine neue Verbesserung der Klaviere gemacht zu haben",Klavier,Wien,,1824,17.05.1824
1008,Bruckmann,Ferdinand,,,,,"Beschreibung und Erklärung des beiliegenden runden Koch-Spar-Herd Models, ...",Kochherd,Wien,,1824,23.04.1824
"",,,,,,,"Beschreibung der ... Erfindung, ... den Schweitzer-Landstrasser-Wiener-Erdmandl-Wirtschafts-",,,,,
1009,Ram,Raimund,,,,,,Kaffee,Wien,,1827,27.07.1827
"",,,,,,,"deutschen-Eichel-Burgunder- und Romanischen Kaffee /:Surrogat:/ ... zu erzeugen, ...",,,,,
"",,,,,,,"Verfahrungsart bey der Manipulation von HonigWachs, Honig-sirup-Lebzelten und Meth anstatt",,,,,
"",,,,,,,,"Honig, Wachs, Sirup, Lebkuchen, Met,",,,,
1010,Landtmann,Karl Joseph,,,,,Feuerhitze im Dampfkessel mit Sicherheitsventille erzeugte und in Röhren bis zu den eigends,,Perchtoldsdorf,,1827,10.12.1827
"",,,,,,,,Zinnkessel,,,,
"",,,,,,,"zweckmässig vorgerichteten verzinnten Kesseln geführten Dämpfe anzuwenden, ...",,,,,
"",,,,,,,Beschreibung des Verfahrens bei der Darstellung des General-Surrogats statt Bleyzucker und,,,,,
1011,Balling,Augustin,Balling,Michael,Flick,Eleonora v.,,"Bleizucker, Zeugdruck, Färben",Prag,,1828,08.03.1828
"",,,,,,,rothsalz für Kattundruckereyen und Färbereyen,,,,,
