PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,Ort,Jahr,Einreichdatu
418,Trentin,Gregorio Abate,,,,,"Descrizione del meccanismo del Pian-Forte, ... da lui chimiato Metagofono","Metagophon, Klavier",Venezia,1823,10.02.1823
"",,,,,,,"Beschreibung der ... Erfindung, welche ... darin besteht, daß mittels eines besonderen",,,,
"",,,,,,,Mechanismus ein mit 300 Wiener Zentner belasteter Karren oder Wagen durch die Kraft eines,,,,
419,Tosi,Giovanni,,,,,,"Wagen, Getriebe",Wien,1825,19.02.1825
"",,,,,,,Mannes von gewöhnlicher Stärke auf ebener Straße in einer Stunde eine deutsche Meile weit,,,,
"",,,,,,,befördert werden kann [Text ital.],,,,
420,Corbella,Pietro,,,,,"Descrizione della nuova Ferratura combinatoria a Chiave, ...","Schlüssel, Schloß",Milano,1824,13.04.1824
421,Citterio,Antonio,Citterio,Pietro,,,Descrizioni dei Ferrature ... e descrizione del meirosto portabile,"Schlüssel, Schloß, Bratenwender",Milano,1824,22.05.1824
"",,,,,,,Descrizione di un edificio che ... consiste in un nuovo piu economico metodo per la segatura e,,,,
422,Rossi,Giuseppe,,,,,,"Marmorplatte, Steinsäge",Milano,1823,11.12.1823
"",,,,,,,"spianatura dei marmi, ...",,,,
"",,,,,,,"Descrizione dell'invenzione che ... consiste in un nuovo meccanismo, con cui si puo mettere in",,,,
423,Beltrami,Carlo,Beltrami,Giovanni,,,,"Schiffsantrieb, Getriebe",Milano,1826,11.09.1826
"",,,,,,,"movimento qualunque mezzo di trasporto sia per terra che per acqua, ...",,,,
424,Sironi,Giuseppe,Volta,Zanino,,,Descrizione del nuovo processo chimico applicabile alla formagione della Carta ...,Papier,Como,1824,21.01.1824
"",,,,,,,"Descrizione della scoperta, che ... consiste in sostanza nel fabbricare i Bindelli di Basileo",,,,
425,Gorini,Giacomo,,,,,,Seidenband,Milano,1823,24.01.1823
"",,,,,,,denominati Passafini,,,,
"",,,,,,,"Beschreibung der Erfindung welche darin besteht, alle Gattungen Dächer mit Schiefer zu decken,",,,,
426,Umbach,Anton,Umbach,Christian,,,,"Schiefer, Dach",Wien,1825,22.03.1825
"",,,,,,,dann den Schiefer mit Werkzeugen zu brechen,,,,
427,Reithofer,Johann,Rimus,Joseph,,,Beschreibung der Maschine zur Verfertigung der Männer und Frauen - Schuhe und Stiefel,"Nähgarn, Schuh",Wien,1827,16.01.1827
"",,,,,,,Beschreibung der Preßwalzen - Maschine zur Erzeugung mancher kleiner Metallwaren welche,,,,
"",,,,,,,,"Prägemaschine, Walzwerk,",,,
428,Ressel,Joseph,,,,,"theils als Bestandtheile für Producte mancher Handwerker und Künstler, theils als selbstständige",,Triest,1826,14.08.1826
"",,,,,,,,Preßwalzmaschine,,,
"",,,,,,,Haus- und Gewerbswerkzeuge dienen,,,,
429,Ressel,Joseph,,,,,Beschreibung des Rollen-Sistems zur Beseitigung der Schmire und Reibung bey Maschinen,Wälzlager,Triest,1828,05.10.1828
"",,,,,,,"... zeiget ... an, ... Erfindung gemacht zu haben, welche ... darin besteht: daß er vermittelst eigener",,,,
430,Reithofer,Johann,,,,,"... mathematischer Instrumente, alle nur gewünschten - sowohl Männer - als Frauenkleider-","Schneiderei, Schnittzeichnen",Wien,1826,03.05.1826
"",,,,,,,"Formen ... erzielen, und selbe ... verarbeiten könne, ...",,,,
