PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,Ort,Jahr,Einreichdatum
"",,,,,,,"Beschreibung des Apparates, Flüssigkeiten nach einem neuen bis jetzt nicht angewendeten",,,,
3404,Nussbaum,Joseph,,,,,,"Verdampfapparat, Vakuumapparat",Fuschine,1839,15.02.1839
"",,,,,,,System in luftverdünnten Raume abzudampfen,,,,
"",,,,,,,"Die Vortheile ... sind, das die Glieder oder Theile, seien selbe auf Ketten oder anderen","Goldwaren, Silberwaren, Metallwaren,",,,
3405,Muellner,Alois,,,,,,,Wien,1843,14.03.1843
"",,,,,,,Gegenständen ... erzeugt werden können ...,"Schmuck, Kette",,,
"",,,,,,,,"Flachsbrechelmaschine,",,,
"",,,,,,,"Plan und Beschreibung der von Constant de Beil in Gent erfundenen, und von diesem an die",,,,
"",,,,,,,,"Flachshechelmaschine,",,,
3406,Beil,Constant de,Straalen,... van,,,Banquiers von Straalen & Co. zu Issel nächst Brüssel in Belgien cedirte u. in Belgien priv. Maschine,,Gent,1837,20.12.1837
"",,,,,,,,"Hanfbrechelmaschine,",,,
"",,,,,,,zum Brecheln und Hecheln des Hanfes u. Flachses [Text französisch],,,,
"",,,,,,,,Hanfhechelmaschine,,,
"",,,,,,,"Beschreibung der Erfindung, mittelst einer Maschine die zu Hosenträgern nöthigen ledernen",,,,
3407,Pereles,Emanuel A.,,,,,"Laschen je zu einem Paar mittelst eines Schlages und zugleich die Löcher zu erzeugen, welche zum","Hosenträger, Lasche, Stanze",Prag,1842,08.03.1842
"",,,,,,,"Annähen und Umfassen der Laschen erforderlich sind, ...",,,,
"",,,,,,,Die Wesenheit der nachstehenden beschriebenen laut beiliegender Zeichnung verbesserten,,,,
"",,,,,,,,"Wollstoff, Dekatiermaschine,",,,
3408,Dischon,Jakob,Morawetz,Franz,,,Decatier-Methode besteht darin: 1) Wollenstoffe aller Art auf einmal ohne allen Bug einen reinen,,Wien,1830,01.05.1830
"",,,,,,,,Appreturmaschine,,,
"",,,,,,,gleichförmigen Glanz und ein schönes Ansehen zu geben,,,,
3409,Faestler,Christian Johann,,,,,"Beschreibung zur Erzeugung von Wetzsteinen und Poliersteinen aus einer Composition, ...","Wetzstein, Schleifscheibe",Wien,1838,26.09.1838
"",,,,,,,Beschreibung der neuen Erfindung resp. Verbesserung zur Legung der pargetirten und weichen,"Parkettboden, Fußboden,",,,
3410,Gammius,Friedrich,Stenzel,Wilhelm,,,,,Wien,1836,11.01.1836
"",,,,,,,"Fußböden gänzlich ohne Nägel, und wo man nie eine Fugen Oeffnung zu erwarten hat, ...",Holzverbindung,,,
"",,,,,,,"Beschreibung der ... Erfindung, ..., daß er nach einer neuen Methode und mit einem neuen Stoffe",,,,
3411,Obersteiner,Alois,,,,,,"Federweiß, Seife, Schmiermittel",Murau,1839,15.01.1839
"",,,,,,,"eine Schmiere bereitet, ...",,,,
3412,Kutschke,Karl,,,,,"Beschreibung der ... Verbeßerung der Filz-Hüte, ...","Hasenbalg, Filz, Hut",Wien,1844,11.03.1844
"",,,,,,,Beschreibung der Maschine auf die neue Erfindung einer: Vorrichtung zur gänzlichen Beseitigung,,,,
3413,Bernhard,,Muehlenpfordt,Karl August,Damm,Karl,der sogenannten Stecker Knaben bei Erzeugung der Shawltücher. Später cedirt an Hennig und,"Schal, Bandstuhl",Wien,1842,03.12.1842
"",,,,,,,Bernhard,,,,
3414,Stadler,Ignaz,,,,,"DopplfalzSparherdplatten nach beliebiger Angabe, ...","Gußeisen, Kochherdplatte",Wien,1840,05.03.1840
"",,,,,,,Beschreibung der ... Verbesserungs-Erfindung in der Herstellung der goldenen oder aus andern,,,,
3415,Metzner,Moritz,,,,,,Armband,Wien,1840,28.03.1840
"",,,,,,,"Metall gearbeiteten Armspangen oder Bracelets für Damen, ...",,,,
3416,Reuter,Joseph,,,,,Beschreibung der neuen Verbesserung aus Runkelrüben Abfällen erfundenen Papierfabrikation,"Zuckerrübenabfälle, Papier",Budweis,1838,18.02.1838
"",,,,,,,"Plaene und Beschreibung des Electrofuge, d.i. eines neuen Apparates zur Verhinderung der",,,,
3417,Tassin,Desire,Wergifosse,N.,,,"Explosionen der Dampfkessel, wofür [N. Wergifosse] ein Einführungs Patent","Electrofuge, Dampfkessel",Aachen,1841,24.09.1841
"",,,,,,,f.d.kaiserl.Oest.Staaten ... nachsucht,,,,
"",,,,,,,Descrizione della nuova invenzione che consiste in un meccanismo per il quale oggetti,,,,
3418,Coimi,Agostino,Valentini,Lodovico,,,,Kaleidoskop,Milano,1839,25.01.1839
"",,,,,,,irregolarissimi e confusi si presentano allvista in forma belle e regolari,,,,
"",,,,,,,Beschreibung und Anleitung zum richtigen Anlegen der von L. Ebner verbesserten und patentirten,,,,
3419,Ebner,Lorenz,Schmidbauer,,,,,Bruchband,Wien,1843,
"",,,,,,,Leistenbruchbänder,,,,
"",,,,,,,,"Tonwaren, Ziegel, Pflasterstein,",,,
3420,Huffzky,Karl,,,,,Beschreibung über die erfundene Erzeugung der Dachziegel und Dachplatten durch Maschinen,"Dachziegel/Glasierter, Ziegelpresse,",Leitmeritz,1831,08.02.1831
"",,,,,,,,"Ziegelofen, Glasur, Bronzieren",,,
"",,,,,,,Beschreibung einer neuen Verbindungsart von Holzverkleinerungs Maschinen aller Art u.,,,,
"",,,,,,,,"Brennholz, Holzzerkleinerung,",,,
3421,Reinscher,Mathias,,,,,Spaltmaschinen mit Waschanstalten mittelst der Verwendung des Wasserdämpfe aus einer,,Wien,1831,30.12.1831
"",,,,,,,,"Wäscherei, Dampfmaschine",,,
"",,,,,,,Hochdruckdampfmaschine,,,,
"",,,,,,,,"Erdbau, Straßenbau, Förderband,",,,
3422,Gill,Andreas Eduard,,,,,Neuartiger Uiberführungs Apparat,,Verona,1838,08.12.1838
"",,,,,,,,Transport,,,
"",,,,,,,"Getreue Beschreibung der Anfertigung des, durch Gefertigten gemachte neue Erfindung,",,,,
"",,,,,,,,"Maßstab, Parallelmaß,",,,
3423,Dobner,Johann,,,,,"nehmlich: Masstäbe, Berechnungs, Ab und Auftrags, nebst Reducier-Apparate auf Glas mit",,Malaczka,1841,11.10.1841
"",,,,,,,,"Mikrometerschraube, Nonius",,,
"",,,,,,,Diamant zu ritzen,,,,
"",,,,,,,"Beschreibung der ... Entdeckung, ..., mit Anwendung der lithographischen Presse die",,,,
3424,Eurich,Alexander,,,,,"verschiedenartigsten Gegenstände als: jede Schriftgattung, Landschaften, Ansichten,","Lithographie, Wachstuch, Zeugdruck",Linz,1842,15.01.1842
"",,,,,,,"Zeichnungen, Arabesken udgl. insbesondere Firma-Tafeln ... auf Wachstuch zu drucken",,,,
3425,Backe,Nikolaus,Baumgartner,Joseph,,,Beschreibung des auf der beiliegenden Zeichnung dargestellten Dampfapparats,Waschmaschine,Wien,1843,14.01.1843
"",,,,,,,Beschreibung und Zeichnung des ... erfundenen Pedal Wagens zur Förderung von Personen und,,,,
