PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel Schlagworte,,,Ort,Jahr,Einreichdatum
"",,,,,,,"Beschreibung der Minuten Schirme. Die erfindung ... beruht auf der Wesenheit ..., daß sich aus",,,,,
"",,,,,,,einem Rohr ... kaum von der Dicke eines Fingers ... bei ... Regen mittelst eines höchst einfachen,,,,,
2175,Winkelmann,Nikolaus,& Sohn,,,,"Stock, Regenschirm",,Wien,,1834,14.05.1834
"",,,,,,,"Mechanismus ... ein Regenschirm entfaltet, und wozu kaum eine Minute erforderlich ist, selben",,,,,
"",,,,,,,wieder in den elegantesten Promenadestock zu verwandeln,,,,,
"",,,,,,,"Leuchter, Metallwaren, Walzwerk,",,,,,
"",,,,,,,"Beschreibung der Maschinen und Werkzeuge mit welcher der Unterzeichnete, die ... angeführten",,,,,
2176,Mayerhofer,Stephan,,,,,"Streckmaschine, Drahtziehen,",,Wien,,1822,19.12.1822
"",,,,,,,Mettallwaaren zu verfertigen im Stande ist,,,,,
"",,,,,,,"Rohrziehbank, Presse, Stanze",,,,,
"",,,,,,,"Silberwaren, Dessin, Drehbank,",,,,,
"",,,,,,,"Ausführliche Beschreibung derjenigen Maschinen, auf deren Anwendung zur Verfertigung von",,,,,
2177,Mayerhofer,Stephan,,,,,"Rohrziehwerk, Riffelwalzwerk,",,Wien,,1823,22.04.1823
"",,,,,,,"Silberwaaren, ...",,,,,
"",,,,,,,"Fallhammer, Prägemaschine",,,,,
"",,,,,,,"Zucker, Raffinade/Zucker, Klärapparat,",,,,,
"",,,,Johann,,,"Beschreibung eines neuen Apparates besonderer Vorrichtungen um Zucker zu klären, filtrieren,",,,,,
2178,Ritter,Hektor Wilhelm,Ritter,,,,"Filtrierapparat, Kochapparat,",,Görz,,1827,20.04.1827
"",,,,Christoph,,,kochen und trocknen,,,,,
"",,,,,,,Trockenapparat,,,,,
"",,,,,,,Zeichnung und Beschreibung der von der Wolfsberger Eisenwerks Geselschaft in Kärnthen,,,,,
2179,Mayer,Johann,Zahlbrucker,Johann,Scholz,Benjamin,"angeblich gemachten neuen Entdeckung Eisendrähte ohne Hammer Zange Zugeisen und Zugbank Draht, Walzwerk",,Wien,,1832,19.12.1832
"",,,,,,,in grösserer Vollkommenheit als bisher zu erzeugen,,,,,
"",,,,,,,Ausführliche Beschreibung um größere Gattungen thönerne Wasserleitungsröhre Erzeugen zu,,,,,
"",,,,,,,"Tonrohr, Wasserleitungsrohr,",,,,,
2180,Glanz,Joseph,,,,,können. Beschreibung der in dem Gesuch erwähnten horizontalen Röhrenpresse von Herrn,,Karlsbad,,1832,11.12.1832
"",,,,,,,"Tonpresse, Rohrpresse",,,,,
"",,,,,,,Schleußenmeister Bähr in Bernburg entworfen und durch Herrn Gottfried Mayer herausgegeben,,,,,
"",,,,,,,Descrizione della nuova invenzione che ... consiste in sostanza nella fabbricazione di Calzeforate,,,,,
2181,Salzer,Giovanni,,,,,"dette a pour mediante l'applicazione della Macchina alla Jacquard ... [Durchbrochene Strümpfe auf Strumpf, Jacquardmaschine",,Milano,,1833,18.01.1833
"",,,,,,,der Jacquardmaschine],,,,,
"",,,,,,,Nuova illuminazione a gas senza gazometro che non tramunda cattivo odore e non vi è alcun,,,,,
2182,Brey,Gaetano,,,,,"Leuchtgas, Gasbeleuchtung",,Milano,,1832,10.12.1832
"",,,,,,,pericolo di esplosione [Gaslicht ohne Gasometer],,,,,
"",,,,,,,"Beschreibung, Uiber die neue Erfindung mit verschiedenen Mitteln der kleinen Taschen-Toilette",,Neudonitz bei,,,
