PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,"Beschreibung der innbezeichneten neuen Erfindung ..., durch eine Maschine-",,,,,
"",,,,,,,,"Webstuhl, Jacquardmaschine,",,,,
3783,Janisch,Joseph,,,,,"/:Broschiermaschine:/ genannt, bei den Schahl und Seidenzeugmacherstühlen, die sogenannten",,Wien,,1843,12.05.1843
"",,,,,,,,Broschierlade,,,,
"",,,,,,,Stekerknaben zu beseitigen,,,,,
"",,,,,,,Beschreibung der neuerfundenen dunkeln Kammer /:Camera obscura:/ unter dem Namen Ellipsen,,,,,
3784,Prokesch,Wenzel,Puchberger,Joseph,,,,Photographie,Wien,,1843,16.06.1843
"",,,,,,,Daguerreotyp und der Anwendung derselben,,,,,
"",,Melchior Sigmund,,,,,"Beschreibung der neuverbesserten Spindel um Flachs, Hanf, Wolle und andere faserige Stoffe zu",,,,,
3785,Hagendorff,,,,,,,Vorbereitungsmaschine,Hamburg,,1840,13.03.1840
"",,Heinrich,,,,,spinnen,,,,,
3786,Thum,Cajetan,,,,,Beschreibung der Vorspinnvorrichtung,"Vorbereitungsmaschine, Krempeln",Wien,,1840,21.05.1840
"",,Nikolaus Bernhard,,,,,"Beschreibung einer neuen Erfindung und Verbesserung, Parapluis /:genannt Paraverse:/ zu",,,,,
3787,Winkelmann,,,,,,,"Regenschirm, Sonnenschirm",Wien,,1844,18.10.1844
"",,jun.,,,,,"erzeugen, ...",,,,,
"",,,,,,,,"Seifensiederlauge/Konzentrierte,",,,,
3788,Reiser,Salomon,,,,,Privilegiumsbeschreibung der Verbesserung in Erzeugung der künstlichen Soda aus Laugensalz,,Schlan,,1840,28.01.1840
"",,,,,,,,"Auslaugen, Soda",,,,
"",,,,,,,Questa macchina ... consiste nel piegare la matazza Seta aspa lunga sopra piccole aspi ...,,,,,
3789,Neville,Alfredo Enrico,,,,,,"Seide, Spulmaschine",Wien,,1835,25.09.1835
"",,,,,,,[Seidenspulmaschine],,,,,
"",,,,,,,,"Lokomotive, Funkenfänger,",,,,
"",,,,,,,,"Kesselspeisewasservorwärmung,",,,,
3790,Bauer,Joseph,,,,,Beschreibung nachstehender Erfindungen oder Verbesserungen an Dampfwägen,,Schrems,,1840,25.02.1840
"",,,,,,,,"Eisenbahnwagen, Schneepflug,",,,,
"",,,,,,,,"Signallicht, Stoplicht, Auflaufbremse",,,,
"",,,,,,,,"Wasserhebemaschine, Getriebe,",,,,
3791,Hofmann,L.,,,,,"Beschreibung einer ... neu erfundenen Triebkraft, auch ""Hydroscala""",,Wien,,1839,16.11.1839
"",,,,,,,,Elevator,,,,
"",,,,,,,Beschreibung der Locomotiv-Maschinen zum Transport von Personen und Waaren auf,,,,,
3792,Fink,J.M.,Marquardt,,,,,Dampfwagen,Wels,,1839,15.11.1839
"",,,,,,,gewöhnlichen Straßen mittelst Dampfkraft,,,,,
"",,,,,,,,"Letternholz, Patrize, Stanze,",,,,
3793,Geisel,,Schneider,,,,Beschreibung der neuen Erfindung Metallbuchstaben zu prägen,,Stuttgart,,1841,12.05.1841
"",,,,,,,,Metallbuchstabe,,,,
3794,Miesbach,Alois,,,,,Verfahren: Aus Kleinkohlen sogenannten Gries und LöscheStückkohlen ... zu machen,"Kohlenstaub, Kohlenklein, Brikett",Wien,,1842,12.04.1842
3795,Nicoladoni,Giuseppe,Nicoladoni,Luigi,,,Beschreibung der erfundenen neuen Kamine,Kamin,Wien,,1842,16.04.1842
"",,,,,,,Beschreibung der Erfindung einer Maschine zur Vorbereitung des Materials für mehrere Artikel,,,,,
3796,Wurm,Adam,Wurm,Joachim,,,,Drechselbank,Prag,,1842,28.04.1842
"",,,,,,,von Drechsler- und Nürnberger Waaren,,,,,
3797,Millossovich,Giuseppe,,,,,Descrizione ... delle scoperte ... per ingrassare la terra ... [Düngerbereitung und Kunstdünger],"Düngerbereitung, Kunstdünger",Trieste,,1842,07.05.1842
"",,,,,,,"Beschreibung einer mechanischen Holzschneidemaschine, welche sowohl durch menschen Hände,",,,,,
3798,Altdorfer,Franz,,,,,,"Holzzerkleinerung, Kreissäge",Wien,,1843,15.04.1843
"",,,,,,,"als mit jeder anderen Tribkraft bedriben werden kann, ...",,,,,
