PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,"Beschreibung der neuen mechanischen Einrichtung, mittelst welcher man alle Schraubstöcke",,,,,
1287,Perreve,Louis,,,,,,Schraubstock,Wien,,1830,28.04.1830
"",,,,,,,beweglich machen und in allen Stellungen und Richtungen bringen kann,,,,,
1288,Daum,Joseph,,,,,Beschreibung des ... neu erfundenen Schußbillards,Billard,Wien,,1830,21.05.1830
1289,Zurhelle,Heinrich,,,,,"Zeichnung und Beschreibung der ... Erfindung einer Flachs Brech Maschine, Linourgos genannt, ...",Flachsbrechmaschine,Wien,,1831,23.03.1831
"",,,,,,,Beschreibung nebst Zeichnung mehrerer Verbesserungen in den Apparaten ...: 1. einer ...,,,,,
"",,,,,,,Vorrichtung um Flüssigkeiten ... mittelst durchströmenden Wassers zu kühlen. 2. einer anderen,,,,,
1290,Wagenmann,Karl,,,,,,Destillierapparat,Wien,,1831,03.03.1831
"",,,,,,,Vorrichtung zum Abdampfen und Abkühlen der Flüssigkeiten ... 3. einer Verbesserung des,,,,,
"",,,,,,,"Apparates zum Brandweinbrennen, Abdampfen und Destilliren ...",,,,,
"",,,,,,,"Beschreibung des ... erfundenen mechanischen Abdampf-Apparates, und des von demselben","Verdampfapparat, Seifensiederlauge,",,,,
1291,Wurm,Franz Xaver,,,,,,,Wien,,1831,25.04.1831
"",,,,,,,entdeckten neuen Brennstoffes,Brennmaterial,,,,
"",,,,,,,Beschreibung der durch Herrn Hofrat v. Müller zu Warschau an der Helfenberger'schen Walz Mahl,,,,,
"",,,,Philipp Heinrich,,,,,,,,
1292,Girard,Joseph Heinrich v.,Girard,,,,"Mühlen erfundenen Verbesserungen und von dem, durch denselben ganz neu erfundenen Hülfs",Mahlmühlen,Wien,,1828,20.06.1828
"",,,,v.,,,,,,,,
"",,,,,,,Maschinen und Verfahrungsart in dem Kornmahlen,,,,,
"",,,,,,,Beschreibung einer Methode die Schaf-Wolle und die Schafwoll-Gespinste im ungezwirnten und,,,,,
1293,Rotter,Johann,,,,,"gezwirnten Zustand so zuzubereiten, daß sie sowohl an Glanz, Feinheit, als auch Rundung des",Dekatiermaschine,Wien,,1830,28.04.1830
"",,,,,,,"Fadens, ... gewinnen, ...",,,,,
