PrivRegNr,Name1,,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
2967,Greiner,Karl,,Greiner,Rosina,,,Beschreibung unserer neuen Verfahrungsweise zur Erzeugung von Halbwachs-Wagenlaternkerzen,"Wagenlaterne, Stearin, Kerze",Wien,,1841,22.02.1841
"",,,,,,,,Verfahren um auf Maschinenpapiere jede beliebige transparente Schrift oder Zeichnung zu,,,,,
2968,Kreutzberg,Karl Joseph,,,,,,,"Papier, Wasserzeichen",Prag,,1841,15.03.1841
"",,,,,,,,"bringen, d.h. die sogenannten Wasserzeichen auf ein Maschinenpapier anzubringen",,,,,
2969,Dubina,Johann,,,,,,"Beschreibung der an den Feuergewehren gemachten erfundenen Verbesserung, ...",Gewehr,Jungbunzlau,,1840,28.01.1840
"",,,,,,,,"Beschreibung der ... Erfindung, mit Beibehaltung der bestehenden Uniformirungs-Vorschriften alle",,,,,
"",,,,,,,,,"Goldborte, Silberborte,",,,,
2970,Leyritz,Elisabeth,,geb. Veith,,,,"Gold- und Silber-Borden, Tressen und Portepes- dann Epollets-Bänder mit oder ohne Dessins, glatt",,Wien,,1837,22.04.1837
"",,,,,,,,,Abzeichen/Militärisches,,,,
"",,,,,,,,"und gewölbt ... zu verfertigen, ...",,,,,
"",,,,,,,,"Beschreibung ... auf eine neu erfundenen Maschine, mittelst welcher eine ganz neue Art",,,,,
2971,Huther,Michael,,,,,,Barkettafeln von verschiedenen Holzgattungen auf einmahl nach allen beliebigen Zeichnungen zu,"Parkettboden, Schneidemaschine",Wien,,1837,18.04.1837
"",,,,,,,,"schneiden, ...",,,,,
"",,,,,,,,"Beschreibung der ... Erfindung und Verbesserung, allerhand Buchstaben, und sonstige allerweitige",,,,,
2972,Joos,Franz,,,,,,"Abbildungen, von Gold, Silber und anderen Papieren, auf verschiedene Stoffe trocken, fest und","Stoff, Kleister, Kaschieren",Prag,,1837,29.04.1837
"",,,,,,,,"dauerhaft anzukleben, ...",,,,,
2973,Pessina,Joseph,,,,,,"Beschreibung einer Verbesserung in der Bearbeitung der Filzhüte, ...","Imprägnierung/Filz, Hut/Wasserdichter",Prag,,1837,04.05.1837
"",,,,,,,,,"Imprägnierung/Tuch, Tuch,",,,,
2974,Alessi,Tommaso,,Martini,Bortolo,,,"Processo dimostrativo il metodo di fortificare le tele, sia di Canapa, che di Cotone","Feuchtigkeitsschutz, Leinwand,",Venezia,,1839,11.04.1839
"",,,,,,,,,Imprägnierung/Leinwand,,,,
2975,Pischinger,Franz,,,,,,"Beschreibung über die Behandlung der Baumwolldochte für Wachs- und Unschlittkerzen, ...","Docht, Imprägnierung/Docht",Wien,,1840,20.02.1840
"",,,,,,,,"Beschreibung der durch den Herrn Dr. Karl Joseph Kreutzberg eingereichten, von der Direkzion d.",,,,,
"",,,,,,,,"Maschinenbauanstalt in Uibigan bei Dresden, unter der Unterschrift Gust. Hann und Heinrich",,,,,
2976,Hann,Gustav,,Lang,Heinrich,Kreutzberg,Karl Joseph,"Lang, gemachten neuen Erfindung, ...: Das Wenden des gemähten Grases auf den Wiesen, anstatt",Heuwender,Prag,,1840,22.04.1840
"",,,,,,,,"... durch Menschenhände, durch eine mechanische Vorrichtung /Heuwendemaschine/ zu",,,,,
"",,,,,,,,"bewirken, welche durch ein Pferd bewegt 25 Arbeiter ersetzt, ...",,,,,
2977,Hnewkowsky,Johann,,Zdekaner,Gustav,,,Beschreibung der neuen Vergoldungsmethode,Vergolden,Prag,,1841,07.04.1841
"",,,,,,,,Beschreibung des neuen von Schuzenbach erfundenen Verfahrens krystallisirten Zucker aus,,,,,
2978,Herz,Eduard Heinrich,,Schuzenbach,,,,,"Zucker, Zuckerrübe, Trockenapparat",Prag,,1836,03.11.1836
"",,,,,,,,Runkelrüben darzustellen. [Verbessert von Eduard Heinrich Herz],,,,,
2979,Boettger,,,Wagenmann,Karl,,,Beschreibung eines Wasser Circulir Ofens,Zentralheizung,Wien,,1840,28.06.1840
