PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,Beschreibung der ... Erfindung resp.Verbesserung in den Apparaten zur Erzeugung von Bier ...,,,,,
4580,Wanka,Franz,,,,,durch unmittelbar in den Maischkasten auf die ganze Masse wirkende indirecte Anwendung des,"Bier, Brauapparat",Prag,,1846,28.02.1846
"",,,,,,,Dampfes ...,,,,,
"",,,,,,,,"Gold, Silber, Aufbereitung,",,,,
4581,Hocheder,Franz Xaver,,,,,Erklärung über die neuen Amalgamations-Maschinen mittels Druck und Schwemmkraft,,Wien,,1846,01.02.1846
"",,,,,,,,"Amalgamation, Schlämmapparat",,,,
"",,,,,,,"Beschreibung der Erfindung ... Firnisse in allen Farben ... herzustellen, die zum Anstrich der Häuser,",,,,,
"",,,,,,,,"Farbe, Firnis, Schwarz, Grün, Rot,",Neuhaus bei,,,
4582,Stierba,Johann,,,,,"Blechdächer, Steine überhaupt, Kalfatern der Schiffe oder Schindldächer sehr vortheilhaft zu",,,,1846,15.11.1846
"",,,,,,,,"Weiß, Blau, Anstrich",Pottenstein,,,
"",,,,,,,verwenden,,,,,
"",,,,,,,"Beschreibung: Das Material, aus welchem diese neu erfundenen Gold-Galanterie- und",,,,,
4583,Schmid,Julius,,,,,,"Dublee, Galanterie, Schmuck",Wien,,1847,08.04.1847
"",,,,,,,"Bijouteriearbeiten hergestellt werden, ist ein auf eigenthümliche Art hergestelltes Gold-Plaque",,,,,
4584,Brennig,Franz sen.,Brennig,Franz jun.,,,Beschreibung der Auffahrts-Maschine ...,Aufzug,Wien,,1846,10.08.1846
"",,,,,,,"Beschreibung der in beiliegender Zeichnung mitfolgende, von dem Unterfertigten erfundene",,,,,
4585,Buehler,Florian,,,,,Apparat zur Verschließung von Durchlöcherungen im weichen Gaumen und dadurch bewirkter,Gaumenspaltenverschluß,Wien,,1846,04.12.1846
"",,,,,,,vollständiger Wiederherstellung des Schlingens und der Sprache ...,,,,,
4586,Hudaj,Georg,,,,,Beschreibung der Erzeugung des orientalischen Aroma-Zimmerrauches,"Luftreiniger, Parfüm",Wien,,1847,14.01.1847
"",,,,,,,Beschreibung eines ... erfundenen Verfahrens der Erzeugung vollkommener Gummisurrogate aus,,,,,
4587,Schultz,J. Alexander,,,,,,Dextrin,Karolinenthal,,1847,06.04.1847
"",,,,,,,jeder Art von Stärke oder Stärkemehl,,,,,
"",,,,,,,Beschreibung der von Leopold Weeger k.k.priv.Lederfabrikanten zu Altbrünn gemachten,,,,,
4588,Weeger,Leopold,,,,,,"Leder, Gerberei",Brünn,,1843,11.02.1843
"",,,,,,,Verbesserung in der Ledergerberey,,,,,
4589,Marchesani,Alois C.,,,,,Beschreibung der Trocken-Maschine ...,Trockenapparat,Wien,,1848,17.03.1848
"",,,,,,,Erläuterungen zu den Zeichnungen [einer Hebe- und Senkmaschine] aus dem Englischen ins,,,,,
4590,Grylls,John,,,,,,Hebemaschine,Wien,,1841,10.11.1841
"",,,,,,,Deutsche übertragen,,,,,
"",,,,,,,"Beschreibung der Erfindung, ..., daß Schiffe auf Meeren, Seen, Kanälen oder Flüßen und zwar",,,,,
4591,Wenzl,Anton,,,,,"Strom auf und Stromabwärts mittelst der Propulsatoren, die durch irgend eine Triebkraft ihre","Schiffsantrieb, Propulsator",Wien,,1846,08.05.1846
"",,,,,,,"Bewegung erhalten, fortbewegt werden können",,,,,
4592,Peringer,Georg,,,,,"Beschreibung der erfundenen Faßspunden, ...",Faßspund,Wien,,1846,31.07.1846
"",,,,,,,Beschreibung der aus Kastanien ächte und wilde (aesculus hyppocastanum) bereiteten Stärke und,,,,,
