PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,Beschreibung der von Anton Löbersorger ... angeblich gemachten neuen Erfindung ...: 1. In einer,,,,,
"",,,,,,,"sehr einfachen und wenig kostspieligen Maschine, welcher er den Nahmen hydraulisches",,,,,
"",,,,,,,"Perpetuum mobile beilegt, wodurch das Wasser ... zu jeder beliebigen Höhe ... gehoben, dann",,,,,
"",,,,,,,"abgeleidet, und dieses Wasser zum betriebe von Mühlen und aller Art andern werke verwendet","Perpetuum mobile, Getriebe, Elevator,",,,,
2638,Loebersorger,Anton,,,,,,,Wien,,1825,14.07.1825
"",,,,,,,werden kann. 2. Ist diese Maschine auch ohne Wasser zu gebrauchen; ... 3. Kann endlich diese,"Aufzug, Wasserhebemaschine",,,,
"",,,,,,,"Maschine ... bey Wasser- und Straßenbaulichkeiten angewendet werden, ... bey Errichtung von",,,,,
"",,,,,,,"Eisenbahnen, zur Regulierung der Ufern und Straßen ... Austrocknung aller ... Sümpfe und",,,,,
"",,,,,,,"Moräste, ferner bei Abtragung der Berge u. Verschüttung tiefer Täler, ...",,,,,
"",,,,,,,"Beschreibung der ... Verbesserung der Methode, worauf er schon unterm 27.04.1834 ein",,,,,
"",,,,,,,"ausschließendes Privilegium erhalten hat, welche ... in mehreren Vortheilen im Krämpeln,","Krempeln, Spinnmaschine,",,,,
2639,Fornachon,Ludwig Victor,,,,,,,Manchester,,1835,29.06.1835
"",,,,,,,"Spinnen, Zwirnen und Doppeln von Baumwolle, Schafwolle, Seide, Flachs, Hanf und jeder anderen","Zwirnmaschine, Doubliermaschine",,,,
"",,,,,,,faserigen Substanz besteht [Text engl.u.dt.],,,,,
"",,,,,,,"Beschreibung der ... Erfindung ...: Aus Kautschuck eine Massa zu erzeugen, wodurch jede Art Tuch-","Gummi, Imprägnierung/Stoff,",,,,
2640,Hornstein,Andreas,,,,,,,Wien,,1836,09.05.1836
"",,,,,,,"wie auch alle Stoffe - als Wolle, Halbwolle, Lein, Halbleinwand wasserdicht zu machen",Wasserdicht(er) Stoff,,,,
2641,Cheverry,Anton,,,,,Verfertigung des Mittels und Verwendung deßelbens wie auch der Verfahrens des Waschens,Waschmittel,Wien,,1837,27.07.1837
