PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,Ort,Jahr,Einreichdatu
"",,,,,,,Beschreibung der Vorichtung und Verfahrungsweise Stab-Reif-Wonnen-Gitter und Rundeisen,,,,
245,Sartory,Alois Joseph,,,,,,"Walzen, Gitter",Neuhirtenberg,1822,21.09.1822
"",,,,,,,durch walzen zu verfertigen,,,,
"",,,,,,,"Beschreibung der ... Erfindung, welche ... darin besteht: das erforderliche Feuer bey Flammöfen",,,,
"",,,,,,,"sowohl zum Schmelzen als zum Glühen der Metalle ... zu benützen und ... einzurichten, daß mit",,,,
"",,,,,,,"demselben zugleich diejenigen Dämpfe erzeugt werden können, welche zur Betriebung einer",,,,
246,Sartory,Alois Joseph,,,,,,"Dampfkessel, Feuerung",Wien,1826,24.01.1826
"",,,,,,,"Dampfmaschine erforderlich sind, welche ein Walzwerk oder irgend eine andere Maschienerie in",,,,
"",,,,,,,"Bewegung setzt: den Flammofen zum Glühen mit einer Vorrichtung zu versehen, um die",,,,
"",,,,,,,Metallbleche möglichst gleich glühen zu können,,,,
"",,,,,,,Beschreibung der ... Entdeckung und Verbesserung einer Flechtmaschine und Verbesserung der,,,,
247,Rademacher,Christian,,,,,,"Flechtmaschine, Tabakspfeife",Wien,1826,15.07.1826
"",,,,,,,elastischen Berliner Pfeifenröhren,,,,
"",,,,,,,"Beschreibung und Zeichnung der ... Verbesserung des bewerthen Doppelteller DestilirApparats,",,,,
"",,,,,,,"welche ... darin besteht, eine von ihm erfundene Dephlegmir Vorrichtung dem obigen",,,,
248,Casati,Hieronymus,,,,,,"Branntwein, Destillierapparat",Wien,1822,13.05.1822
"",,,,,,,"Destilirapparate beizubringen, mittelst welcher ein reines ganz Fuselfreies geistiges Produkt",,,,
"",,,,,,,"erhalten werden kann, ...",,,,
"",,,,,,,"Genaue Beschreibung des Armathions, und Vorrichtungen (Epanordograph, Pollaplasiograph,",,,,
249,Valmagini,Francesco,,,,,,"Armathion, Geodätische Instrumente",Graz,1827,08.03.1827
"",,,,,,,Eidos Kazalogeometer und Mimeometer),,,,
"",,,,,,,"Beschreibung der ... Verbesserung, welche ... darin besteht: bey den Seidenhüten die bisher zur",,,,
250,Volk,Johann Georg,,,,,"Erhaltung des Forms in den Hutstellaschen und Rändern gebrauchten ... Materialien, als",Hut,Wien,1826,22.07.1826
"",,,,,,,"Pappentekel, Sieb, und Filz durch eine ... neue Masse ganz entbehrlich zu machen, ...",,,,
"",,,,,,,"Beschreibung der ... Verbesserung, welche ... darin besteht: daß derselbe aus Reinem eigens",,,,
251,Hoffmann,Ignaz,,,,,,"Taft, Regenschirm",Wien,1826,25.02.1826
"",,,,,,,zubereiteten gefärbten Baumwollgarn einen Wolltaffet verfertigt,,,,
"",,,,,,,Beschreibung der ... Erfindung eines Wiener Schönreib-  und Ersparungsmaterials zur,,,,
252,Leixner,Michael,,,,,,Reibsand,Wien,1827,02.07.1827
"",,,,,,,Zimmerreibung und sonstigen Küchenbedarf,,,,
"",,,,,,,"... zeigt ... an eine Verbesserung gemacht zu haben, welche ... darin besteht daß er mittels eines",,,,
253,Boden,Andreas,,,,,"Dampfkessels ... und eines verbesserten Brandwein-Bren-Apparat, ... einen hochgrädig reinen","Branntwein, Destillierapparat",Wien,1823,10.09.1823
"",,,,,,,"Spiritus mit einmahliger Destilation erzeugt, wie auch Liquöre und Rosolien ...",,,,
254,Hochecker,Karl,,,,,Beschreibung der ... erfundenen Machine zur Erzeugung aller Gattungen kleinerer Nägel,Nagel,Graz,1823,09.09.1823
"",,,,,,,1. Beschreibung der neu erfundenen Köpfel-methode am Wasser durch Hämmer mit Epicykloide,,,,
"",,,,,,,"Linien, mittels Schubzangen Hebel und Winkelhaggen zu der Schindelnägel fabrikation, ... 2.",,,,
255,Greinitz,Karl,,,,,,Nagel,Graz,1825,29.01.1825
"",,,,,,,Beschreibung der neuen Verbesserung an den schon früher bestandenen Schneidmaschinen,,,,
"",,,,,,,durch Spindeln am Wasser,,,,
"",,,,,,,Beschreibung eines Wagens mit drei und vier Räder ohne Pferde in vorrückende Bewegung zu,,,,
256,Dietz,Ignaz,Strehle,Johann,,,,Wagen,Langenlois,1821,20.04.1821
"",,,,,,,bringen,,,,
"",,,,,,,"Beschreibung der ... Verbesserung der Schrauben bei Violine, Viola, Violoncello, Violon und",,,,
257,Girardoni,Johann,,,,,,Stimmschraube,Theesdorf,1826,11.02.1826
"",,,,,,,"Guittarre gemacht zu haben, ...",,,,
"",,,,,,,Beschreibung der ... zweyerley Art neu erfundener Windräder oder sogenanten Windflügeln,,,,
258,Kropatschek,Anton,,,,,,Windrad,Reichenau,1825,
"",,,,,,,mittelst welchen allerley Maschienen betrieben oder in Bewegung gesetzt werden können,,,,
259,Tacchi,Francesco,,,,,Descrizione del miglioramento del fornello per la filatura da bozzoli da seta,Seidenkokon,Como,1824,18.07.1824
"",,,,,,,"Descrizione della nuova invenzione consistente nel metodo di estrarre la colla forte dalle ossa, e",,,,
260,Amadeo,Girolamo,,,,,,Leim,Como,1822,05.09.1822
"",,,,,,,"dalle sostanze cornee di buoi, ed altri animali",,,,
"",,,,,,,"Zeigen hiermit an, Verbesserungen Mechanischer Klavir Structuren, wo die Klavitur über den",,,,
261,Mueller,Mathias sen.,Mueller,Mathias jun.,,,,Klavier,Wien,1824,07.07.1824
"",,,,,,,"Saiten ligt, gemacht zu haben, ...",,,,
262,Stummvoll,Joseph,Wingat,Joseph,,,Recept alle Minerall Farben auf der Druckmaschine Acht zu drucken,Zeugdruck,Wien,1826,01.10.1826
"",,,,,,,"Beschreibung der ... Entdeckung, welche ... darin besteht: daß aus Steinkohle allerley Kunst- und",,,,
