PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,Beschreibung der ... Erfindung ...: In neuen u. verbesserte Vorrichtungen für neue und geruchlose,,,,,
"",,,,,,,"Reriraden, welche durch zierliche Sekretär-Comode und Nachtkästchen etc., jeder noch nicht",,,,,
1448,Morsch,Michael Anton,,,,,,"Zimmerklosett, Möbel",Wien,,1835,24.01.1835
"",,,,,,,"bestandenen Art u. Gattung, mit Schubladen u. Gesperr der Art dargestellt werden, daß selbe als",,,,,
"",,,,,,,"zierliche Moebels, für ihren wahren Zweck gänzlich unmerkbar geworden sind, ...",,,,,
"",,,,,,,Beschreibung zu der beiliegenden Zeichnung einer neu erfundenen Aufrauh-Maschine für,,,,,
1449,Rausch,Johann Gabriel,,,,,,Rauhen,Prag,,1831,20.12.1831
"",,,,,,,Baumwoll-Waaren,,,,,
1450,Delavilla,Karl,,,,,Beschreibung meiner neu verbesserten: Oekonomischen Kaffee-Dampf-Maschine,Kaffeemaschine,Wien,,1822,15.02.1822
"",Hackelberg -,,,,,,,,,,,
1451,,Joseph Frh.v.,Palffy,Ferdinand Graf,Ofenheim,Anton,Beschreibung einer Scheiterholz-Sägemaschine,"Brennholz, Säge, Holzzerkleinerung",Wien,,1822,21.02.1822
"",Landau,,,,,,,,,,,
"",,,,,,,,,Maria,,,
1452,Pogatschnig,Matthaeus,,,,,Beschreibung deren ... Erfindung Wollkämme von allen Gattungen und Formen zu verfertigen,Wollkamm,,,1822,14.01.1822
"",,,,,,,,,Laufen/Krain,,,
"",,,,,,,"Beschreibung eines ... ganz neu erfundenen Dampfwagens und respective einer ... zu diesem, und",,,,,
1453,Neshoda,Bartolommeo,,,,,"anderen Zwecken vereinfachten, und zu allerhand Triebwerken anwendbaren, ganz verbesserten","Dampfwagen, Dampfmaschine",Padua,,1822,15.01.1822
"",,,,,,,Dampf-Maschine,,,,,
"",,,,,,,Beschreibung der Erfindung eienr Art Pottasche unter den Namen leicht schmelzendes Doppelkali,,,,,
1454,Meyr,Paul,,,,,,"Pottasche, Schmelzmittel, Glas",Linz,,1822,15.04.1822
"",,,,,,,...,,,,,
"",,,,,,,"Beschreibung einer zum Scheren von Tuch und anderer Stoffe geeigneten Maschine, durch",,,,,
1455,Magnan,Emile,,,,,,"Tuchschere, Pendelbewegung",Wien,,1822,11.10.1822
"",,,,,,,exzentrische Hin- und Hergängige- oder Pendul-Bewegung /:à Oscillation:/,,,,,
1456,Jahonnes,Ferdinand,,,,,"Beschreibung der ... Erfindung einen Brantwein aus Lebzelten und Methlager zu erzeugen, ...","Branntwein, Lebkuchen, Metlager",Wien,,1822,25.02.1822
