PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatu
"",,,,,,,"Beschreibung uiber die zur Güsung der Bleyplatten neu erfundener Maschin, und ihren",,,,,
390,Missilieur,Johann,Vallier,Joseph,,,,"Bleiplatte, Gießmaschine",Wien,,1821,12.11.1821
"",,,,,,,Bestandtheilen,,,,,
"",,,,,,,"Beschreibung der ... Verbesserung, welche ... darin besteht, alle Gattungen Zuckerbäckereine,",,,,,
"",,,,,,,"Konfekturen, eingesottenen Früchten, Gefrorenes, Essenzen etc. mit Beseitigung aller hierbei",,,,,
391,Bauer,Mathias,,,,,,"Geschirr, Zuckerbäcker",Wien,,1828,07.01.1828
"",,,,,,,"bisher üblichen Kupfergefäße zu erzeugen, wodurch diese Erzeugniße von dem Grünspanne, ...",,,,,
"",,,,,,,ganz frei bleiben,,,,,
392,Bauer,Mathias,,,,,"... zeigt an eine Erfindung in der Läuterung und in dem Sieden des Zukkers gemacht zu haben, ...",Zucker,Wien,,1829,24.04.1829
393,Balke,Wenzel,Kinderfreund,Michael,,,Beschreibung der Erfindung und Verbesserung des musicalischen Instruments Aelodicon,"Aeolodicon, Musikinstrument",Prag,,1826,14.03.1826
"",,,,,,,"Beschreibung der ... Erfindung, welche ... darin besteht, daß durch eine Vorrichtung beym",,,,,
"",,,,,,,,"Branntwein, Destillierapparat, Likör,",,,,
394,Wagner,Johann,,,,,"Brantweinbrenner beym rektifizieren zum Weingeist, oder Verarbeitung zum Liquer, Essig, oder",,Wien,,1824,08.05.1824
"",,,,,,,,Essig,,,,
"",,,,,,,"jeder anderen zu siedenden Flüssigkeit, ... geschwinder ins Sieden kommt, ...",,,,,
"",,,,,,,Descrizione: Nuova invenzione ... che consiste in sostanza in un meccanismo applicabile ai Carri ed,,,,,
395,Cattaneo,Luigi,,,,,,"Wagen, Wagenachse",Milano,,1821,11.08.1821
"",,,,,,,alle Carroze ...,,,,,
"",,,,,,,,"Seidenhaspel/Ofen,",,,,
396,Nani,Giovanni,Nani,Luigi,,,Descrizione d'una nuova macchina per la filatura dalla seta,,Bergamo,,1821,11.05.1821
"",,,,,,,,Ofen/Seidenhaspel,,,,
"",,,,,,,Descrizione del miglioramento che ... consiste - in un nuovo miglioramento introdotto per la,"Seidenhaspel/Ofen,",,,,
397,Mappelli,Leonardo,,,,,,,Bergamo,,1821,01.09.1821
"",,,,,,,filatura della seta ...,Ofen/Seidenhaspel,,,,
398,Cavalleri,Luigi,,,,,Processo di miglioramento economico per la lavorazione del Corallo greggio in natura,Korallen,Milano,,1823,21.05.1823
399,Heckmann,Joseph,,,,,Verfertigung meines ganz neu erfundenen Kopallackfirnisses,"Kopallack, Firnis, Lack",Wien,,1823,29.07.1823
400,Dietsch,Bernhard,,,,,Beschreibung der verbesserten Handschuh mit einer Hauptnath,Handschuh,Wien,,1826,13.07.1826
"",,,,,,,"... zeiget hirmit ... an, eine Erfindung gemacht zu haben, welche ... darin besteht: eine Luftlampe",,,,,
401,Havekost,Heinrich,,,,,,Lampe,Wien,,1828,25.11.1828
"",,,,,,,"ohne umzustürzen, wo der Oehlbehälter 5 Zoll unter der Flamme ...",,,,,
