PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,Ort,Jahr,Einreichdatum
"",,,,,,,Descrizione della nuova invenzione che ... consiste in sostanza in una macchina da applicarsi al,,,,
4609,Prato,Francesco,,,,,,"Seide, Vorbereitungsmaschine",Milano,1843,27.03.1843
"",,,,,,,lavoro delle Sete per ridurle in organzini e trame etc. [Seide-Vorbereitungsmaschine],,,,
4610,Tierhir,Peter,,,,,Beschreibung der ... erfundenen elastischen Mantenelle zu Billardtischen,Billardplatte,Prag,1843,15.03.1843
4611,Slatin,Michael,,,,,"... Erfindung einer neuen Art, Seide, Schaf- und Baumwolle auszuschneiden und zu färben ...","Seide, Wolle, Färben",Wien,1844,19.02.1844
"",,,,,,,,"Paramente, Goldborte, Silberborte,",,,
4612,Seykotta,Franz,,,,,... zeigt ... an die Erfindung ... Kirchenparamente zu erzeugen ...,"Imprägnierung/Borte,",Wien,1845,08.04.1845
"",,,,,,,,Kampfer/Nichtflüchtiger,,,
"",Widman -,Johannes,,,,,Durchschnitts-Zeichnung einer neu erfundenen hydrostatischen Kraftmaschine auf rotirender,"Schiffsantrieb, Wagen,",,,
4613,,,,,,,,,Venedig,1845,24.03.1845
"",Rezzonico,Abbundius v.,,,,,Bewegung,Getriebe/Hydraulisches,,,
"",,,,,,,"... Gegenstände aller Art, wesentlich Bücher, Portefeuilles, Zeitungs-Umschläge, Taschen u.d.g.","Galanterie, Lederwaren, Buchbinderei,",,,
4614,Dobinger,Johann,,,,,"mehr flach hautrelief und pasrelief in Gold, Silber und Farben auf Leder, Sammt, Seide und","Pressen, Golddruck, Silberdruck,",Wien,1846,09.03.1846
"",,,,,,,Leinwand auf die minder kostspieligste Art in größter Schnelligkeit zu erzeugen,Farbendruck,,,
"",,,,,,,"Beschreibung u. Zeichnung der ... Entdeckung, bestehend aus einer Maschine, durch welche einen",,,,
4615,Gilardi,Johann,,,,,und den selben Körper so woll zu Wasser als zu Land in bewegung gesetzt werden kann mit ein u.,"Schwimmwagen, Getriebe",Wien,1847,18.02.1847
"",,,,,,,die selben Räder,,,,
"",,,,,,,Neue Erfindung zur Erzeugung aller Gattungen chirurgischer Instrumente und Bandagen aus Gutta,"Chirurgische Instrumente, Bandage,",,,
4616,Elfinger,Joseph,Vogl,R. Emanuel,,,,,Wien,1847,05.05.1847
"",,,,,,,Percha ...,"Guttapercha, Raffinade/Guttapercha",,,
"",,,,,,,Beschreibung zu dem Privilegium ... auf die Verbesserung: Alle Getreidegattungen mittelst ...,,,,
4617,Heindoerffer,Daniel,,,,,,Mühle,Wien,1847,16.02.1847
"",,,,,,,seinen verbesserten excentrischen portativen Universal Mühlen ... zu vermahlen ...,,,,
4618,Orth,Louis v.,,,,,Specification einer Verbesserung in der Construction und Einmauerung von Dampfkesseln,"Dampfkessel, Kesselhaus",Wien,1847,10.04.1847
"",,,,,,,"Specification einer neuen Erfindung, bestehend in einem verbesserten Apparat zum Rollen der",,,,
4619,Orth,Louis v.,,,,,,"Rollgerste, Graupenmühle",Wien,1847,03.06.1847
"",,,,,,,Gerste,,,,
4620,Pollak,A.M.,,,,,Beschreibung der ... neu erfundenen Sonnen-Cigar-Zünder,Zündholz,Wien,1847,07.10.1847
"",,,,,,,"Beschreibung der ... Entdeckung u. Verbesserung, welche ... in einem zweckmässigen System als",,,,
"",,Jakob Franz,,,,,,,,,
4621,Hemberger,,,,,,"das dermalig übliche, der Organisation der Spitzen- oder Schienennadeln ... zur Ausweiche der","Geleise, Wechsel, Weiche",Wien,1843,29.04.1843
"",,Heinrich,,,,,,,,,
"",,,,,,,Geleise bey Eisenbahnen bestehet,,,,
4622,Ammann,Stephan,,,,,Beschreibung der Seifenbereitung ...,Seife,Wien,1848,08.01.1848
"",,,,,,,"Beschreibung: Die Art der Erzeugung der ... Schilder und Monumenttafeln mit plastischen Lettern,",,,,
4623,Stadler,Karl,,,,,,"Schild, Metallbuchstabe",Wien,1842,14.09.1842
"",,,,,,,...,,,,
"",,,,,,,Beschreibung zu dem ... Privilegium auf die ... Verbesserung in der Mechanik bei Verfertigung von,,,,
4624,Beregszaszy,Ludwig,Mata,Franz,Schweighofer,,,Klaviermechanik,Wien,1844,05.12.1844
"",,,,,,,Piano-Forte ... [zediert an ... Schweighofer],,,,
"",,,,,,,Allgemein brauchbares Schaerfepulver zum Schärfen und Abziehen fein schneidender,"Rasiermesser, Messer, Polieren,",,,
4625,Emperger,Vinzenz v.,,,,,,,Wien,1845,19.06.1845
"",,,,,,,"Instrumente, Rasier- und Federmesser zum Selbstgebrauche für Jedermann",Abziehen/Messer,,,
4626,Vorauer,Joseph,,,,,Beschreibung der ... Verbesserungen für Eisenbahn-Chronometer ...,"Uhr, Sperrvorrichtung",Wien,1846,30.06.1846
"",,Jakob Franz,,,,,"Beschreibung der ... Verbesserung, welche ... in einem neuen System von Ventilations-Camin-",,,,
4627,Hemberger,,,,,,,Champion,Wien,1847,13.02.1847
"",,Heinrich,,,,,dächer oder Aufsatz ... besteht,,,,
"",,,,,,,Beschreibung der ... Verbesserung in der Erzeugung der Theater und Reise-Hüte von Thibet auf,,,,
4628,Ballarin,Franz,,,,,,Hut,Wien,1847,03.07.1847
"",,,,,,,Stahlfedern,,,,
4629,Kauffmann,Karl,,,,,Beschreibung dieser neuen Solar-Lampe oder des Heliophor,Lampe,Wien,1847,03.07.1847
4630,Orth,Louis v.,,,,,"Specification eines Verfahrens um Eisen, Guß und Kupfer mit Bley zu überziehen","Eisen, Gußeisen, Kupfer, Bleiüberzug",Wien,1846,18.07.1846
"",,,,,,,,"Zinkblende, Zink/Schwefelsaures, Zink ,",,,
4631,Orth,Louis v.,,,,,Beschreibung einer neuen metallurgischen Behandlungsart verschiedener schwefelhaltiger Körper,"Schwefelantimon, Aufbereitung,",Wien,1846,31.07.1846
"",,,,,,,,Schwefelsäure,,,
4632,La Peyrouse,Leo de,,,,,Specification verschiedener Verbesserungen in der Zubereitung der Thierhäute ...,"Tierhaut, Konservierung",Wien,1847,10.07.1847
"",Hennin de,,,,,,,,,,
4633,,Eduard de,,,,,Specification verschiedener neuerfundener Verbesserungen in der Fabrikation von Korkstöpseln,"Flaschenkork, Schneidemaschine",Wien,1847,23.06.1847
"",Boussu,,,,,,,,,,
"",,,,,,,"Specification einer neuen Erfindung bestehend in der Anwendung wesentlicher Oele, harziger und",,,,
4634,Orth,Louis v.,,,,,"gummiharziger Stoffe, so wie der Rückstände dieser Substanzen, zu der Fabrikation von Kerzen","Cerosin, Raffinade/Cerosin, Kerze",Wien,1847,08.10.1847
"",,,,,,,"aller Art, ...",,,,
"",,,,,,,,,Boskowitz/Mäh,,
4635,Czech,C.,Czech,Franz Alois,,,Beschreibung des Doppel-Abdampf-Apparats,"Alaun, Vitriol, Verdampfapparat",,1843,01.04.1843
"",,,,,,,,,ren,,
"",,,,,,,Beschreibung: Alle Gattungen trockene schmutzige Wäsche in Dampf-Waschkuffen zu reinigen,,,,
4636,Puettner,Johann Karl,Senft,Anton,,,,Wäscherei,Prag,1843,29.03.1843
"",,,,,,,und zu waschen,,,,
