PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,Ort,Jahr,Einreichdatu
"",,,,,,,"Genaue Beschreibung der neuen Gegenstände meiner Erfindung ""den Dampf auf eine chemische",,,,
913,Bernhard,Anton,,,,,"Art nämlich durch condensirung und verdinung"" der Luft zum Heben des Wassers zu verwenden, -","Kondensatorpumpe, Pumpe",Preßburg,1821,07.11.1821
"",,,,,,,"der DampfCondensations Maschine""",,,,
914,Schmid,Fidelius,,,,,Beschreibung der ... gemachten neuen Verbesserung eines Essigerzeugungs Apparates ...,"Essig, Gärapparat",Wien,1821,07.11.1821
915,Pausinger,Leopold,Wurm,Franz Xaver,,,Beschreibung der neuerfundenen Flachs-Band- und Loken-Maschinen,"Krempeln, Flachs",Wien,1821,04.11.1821
916,Troyer,Joseph,,,,,Beschreibung der neu entdeckten Verbesserung der bestehenden Sparheerde,Kochherd,Wien,1822,18.03.1822
"",,,,,,,Beschreibung. Nach vieler Mühe des Nachdenkens und achtjährigen Kostspieligen Versuchen,,,,
917,Till,Anton,,,,,"gelan es mir endlich, das spanische Siegelwachs vulgo Siegellack in dreyerley Rücksichten zu",Siegellack,Prag,1822,04.01.1822
"",,,,,,,"verbessern, wie es meines Wissens bisher von niemanden gethan worden",,,,
"",,,,,,,"Beschreibung der ... Verbesserung, ..., daß zum Weben der Schawls, derley Tücher u. Westen etc.",,,,
918,Gratzl,Johann Michael,,,,,"auch die Kette aus feiner Wolle besteht, mithin die nämliche Qualität oder Waare wie bey den","Schal, Tuch, Wollwaren",Wien,1822,22.07.1822
"",,,,,,,"Cashemir-Schawls u. Merions Zeugen ezweckt wird, ...",,,,
919,Wappenstein,Ascher,,,,,Beschreibung der neu erfundenen Controlle - Maschine,"Registrierapparat, Spiel, Spielmarke",Wien,1822,23.04.1822
"",,,,,,,"Beschreibung der ... Erfindung, welche in einer neuen Art von Oefen besteht, sowohl zum Heitzen",,,,
920,Buresch,Karl,Mahalick,Thomas,,,,"Ofen, Kochherd",Wien,1822,20.09.1822
"",,,,,,,der Zimmer als zum Kochen/Braten und Backen mit Nutzen und Bequemlichkeit zu brauchen ...,,,,
"",Visentini di,,,,,,Descrizione della nuova invenzione che ... consiste in un Pomata che tinge in nero sul momento la,,,,
921,,Antonio,,,,,,"Haar, Färben/Haar, Schwarz",Venezia,1829,14.03.1829
"",Marco,,,,,,cappellatura ... [Pomade zum Schwarzfärben der Haare],,,,
922,Fagnani,Paolo,,,,,Descrizione dell'invenzione che ... consiste nel litografare sul vetro ... [Lithographie auf Glas],Glasdruck,Milano,1828,09.06.1828
"",,,,,,,Descrizione del processo praticato da Paola Pedretti nello fabbricazione dei pennelli ad uso dei,,,,
923,Pedretti,Paola,,,,,,"Pinsel, Malen",Milano,1825,27.12.1825
"",,,,,,,Pittori [Malerpinsel],,,,
924,Calderolo,Giacomo,,,,,Processo per la Preparazione alla Fabbricazione della Carta di Legno [Papier auf Hobelspänen],"Papier, Hobelspäne",Milano,1825,04.06.1825
"",,,,,,,Descrizione dell'invenzione che ... consiste nell raccogliere con mezzi semplicissimi un corpo aerei,,,,
925,Franco,Lodovico,Manin,Pietro,,,"forme, inodoroso, ed inocuo, fine qua inavestito, o trascurato, del quale abbondano i Canali, Rivi e","Kanalgas, Gasbehälter",Venezia,1829,08.08.1829
"",,,,,,,Lagune ... [Auffangen der Kanalgase],,,,
"",,,,,,,"Descrizione del miglioramento, che ... consiste in un nuovo metodo di eseguire le distillazioni nel",,,,
926,Jappelli,Giuseppe,,,,,,Destillierapparat,Padova,1826,14.04.1826
"",,,,,,,vuoto,,,,
"",,,,,,,"Zeichnung und Beschreibung der ... Erfindung, welche in einer Vorrichtung, / von dem Erfinder",,,,
"",,,,,,,"Thermograd genannt:/ besteht, mittelst welcher in einem verschlossenen Raum eine stäts gleiche",,,,
